"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40445",24,17,9,17,15,25,19,17,29,26,25,16,20,21,18,30,32,22,16,33,34,19,18,35,-0.702813816943515,1.61914823197457,-4.91093029847132,4.35130199450602e-05,0.433868321872196,-3.55905020083406
"2","GB40274",54,89,45,47,75,108,69,63,125,49,91,67,45,72,48,36,33,20,16,67,62,28,25,55,0.439905529355954,2.87442836338231,2.81895610669012,0.00913655201937095,0.888825433447685,-3.93848301875903
"3","GB41333",96,223,48,115,148,244,64,160,230,182,152,175,55,119,107,68,54,49,44,127,112,72,71,128,0.455234508544931,3.87660132392214,2.86098812132732,0.00826832413596751,0.888825433447685,-3.70005500595572
"4","GB41410",26,23,7,14,19,14,36,27,23,19,15,16,30,22,15,21,30,30,23,26,30,11,11,32,-0.633066915897592,1.54231749611542,-3.08163164064726,0.00485446915036455,0.888825433447685,-4.08328183788129
"5","GB42549",62,47,18,161,110,75,38,28,114,35,46,35,61,3,27,15,7,10,22,50,24,6,29,24,1.25591333567782,2.11247292873653,3.27506275591217,0.00301243833207674,0.888825433447685,-3.93680625899791
"6","GB42571",646,1007,630,567,935,1411,774,781,1000,1285,844,436,1263,824,681,1341,1225,827,671,1384,993,468,684,1682,-0.579083961061102,6.94543732457959,-3.67272532651436,0.00110283298760793,0.888825433447685,-3.16630023030087
"7","GB42964",83,107,40,72,113,117,40,87,88,120,84,53,91,67,57,88,92,101,53,99,103,79,65,96,-0.379067658601667,3.49371331438291,-2.75095539907173,0.0107258439133001,0.888825433447685,-3.83758230376895
"8","GB43212",112,264,64,195,214,241,147,130,367,179,159,123,91,101,161,139,105,61,65,163,162,63,71,86,0.383773019497142,4.18073351726457,2.79946834655695,0.00956770082208494,0.888825433447685,-3.67351555045004
"9","GB43314",67,149,41,46,150,132,53,82,197,75,123,46,45,61,63,46,69,24,20,102,82,28,18,63,0.512947954612378,3.13216349962064,2.63220107842229,0.0141409580375083,0.888825433447685,-3.97656077005088
"10","GB43337",9,48,5,10,10,17,7,27,53,11,19,21,10,17,8,6,1,4,2,1,11,9,8,3,1.2219808456299,0.399647911320071,3.002052329504,0.00589153396607957,0.888825433447685,-4.26510938687517
"11","GB43897",1288,1053,936,658,1260,1253,832,1448,1544,1438,854,501,1353,1326,655,1028,1040,1168,548,1833,2170,862,1007,1270,-0.466546083916241,7.23649100049629,-2.75959785209308,0.0105103010067658,0.888825433447685,-3.77503834796942
"12","GB44010",16,52,14,35,36,43,21,33,61,22,28,34,12,25,20,23,18,7,11,18,29,12,17,15,0.517946770166164,1.66761906423545,2.80310887402661,0.00948572594878637,0.888825433447685,-4.15117037562697
"13","GB44701",46,30,24,36,41,53,22,34,33,29,37,25,23,28,25,38,43,54,17,57,50,40,24,57,-0.500118907963333,2.28666538719119,-2.84696340966331,0.00854895423425989,0.888825433447685,-4.02977403609119
"14","GB44770",322,846,187,369,524,661,295,455,739,327,518,417,283,342,371,279,306,197,183,402,363,161,177,322,0.297128241386574,5.59141192010075,2.65598241300136,0.0133846163294753,0.888825433447685,-3.66668244635536
"15","GB45208",290,114,301,134,280,228,107,150,132,224,142,101,304,184,92,258,276,236,104,325,201,128,161,374,-0.684350355425757,4.70606455553984,-2.75881040254181,0.010529769897346,0.888825433447685,-3.60617684134995
"16","GB45397",271,338,184,256,314,276,228,285,268,327,243,196,242,267,257,268,167,287,171,344,342,206,191,264,-0.285905175017694,5.15267774379883,-2.76157222704116,0.0104616354909346,0.888825433447685,-3.5728250216031
"17","GB45740",401,261,298,257,396,411,247,280,315,354,295,198,458,290,189,302,409,311,229,466,357,235,242,463,-0.451580188051198,5.44277240923522,-2.79977127892525,0.00956085418408041,0.888825433447685,-3.54510609414055
"18","GB45742",7,12,2,10,14,12,5,11,13,6,14,7,5,13,8,12,20,17,13,10,14,7,11,18,-0.746459496800298,0.546475515187485,-3.29933115914404,0.00283568777773954,0.888825433447685,-4.18437591026682
"19","GB45846",32,33,9,81,89,62,18,22,64,42,76,47,6,8,14,38,3,26,5,25,32,9,29,53,0.996707337957796,1.8177464213487,2.75270407288819,0.0106818990625136,0.888825433447685,-4.15299041410388
"20","GB46055",29,51,13,35,45,50,24,38,52,26,33,38,17,13,14,23,11,12,22,16,25,4,16,34,0.742498812171095,1.72332593901665,3.86421671591714,0.000673817267323659,0.888825433447685,-3.82739011502587
"21","GB46096",18,27,10,70,17,69,18,10,51,15,6,7,12,1,16,1,1,2,8,16,15,1,3,12,1.59995943891226,0.482325923063336,3.29312896625454,0.00287988219039806,0.888825433447685,-4.19983566164281
"22","GB46179",11,11,19,10,18,11,12,9,5,21,18,9,13,8,10,27,25,24,12,26,17,12,8,33,-0.86615781247673,1.01509066082086,-2.96679551418709,0.00641572990113491,0.888825433447685,-4.1954798344734
"23","GB46188",212,143,88,118,147,141,71,228,200,138,133,99,146,211,80,109,139,189,117,164,236,96,117,227,-0.472324413421333,4.30258651117549,-2.86911992995137,0.00810962734099107,0.888825433447685,-3.58970056680849
"24","GB46218",546,985,347,516,665,853,466,619,814,544,635,506,309,712,466,344,245,388,209,602,538,279,282,479,0.292029189892276,6.06873670667453,2.75017587991615,0.0107454882996763,0.888825433447685,-3.63418499191216
"25","GB46486",38,28,28,24,50,26,32,29,25,37,46,24,60,39,23,54,36,21,33,39,40,42,30,43,-0.625376568736544,2.27565231529802,-2.96595715075443,0.00642871968619801,0.888825433447685,-3.98769905827136
"26","GB46668",12,5,1,8,43,5,32,10,7,22,9,5,21,7,7,16,40,7,7,29,27,19,12,20,-1.06233070088199,0.777316093344854,-2.70096628745527,0.0120563857371476,0.888825433447685,-4.28600353274457
