"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB47505",93,45,70,83,88,66,127,86,118,106,136,74,172,111,257,138,175,214,126,159,204,367,146,322,-1.27613096866438,4.17135744037384,-5.12363183068356,2.49971715962607e-05,0.249246797986316,-2.27326424279539
"2","GB40280",2507,2959,8885,2054,2583,2300,1470,3117,2532,4602,2571,2304,2386,1349,3891,3262,815,1853,4153,667,819,1690,2014,971,0.621210956605271,8.25276173750982,3.13623067710078,0.00425127330477677,0.878540372363276,-3.70602810465744
"3","GB40386",168,114,164,80,75,91,84,116,156,256,202,189,189,172,202,232,90,124,154,95,98,211,217,153,-0.385767871798318,4.32241559314979,-3.26019847335286,0.00312974682943325,0.878540372363276,-3.32342383773614
"4","GB40567",162,92,187,76,75,96,104,106,166,145,178,140,142,120,198,206,84,164,181,125,119,170,139,191,-0.448409521725523,4.24382241859437,-3.93067379549153,0.000568523713913829,0.878540372363276,-2.89572304432337
"5","GB41467",332,184,582,147,173,258,284,268,438,740,406,314,457,355,443,494,221,409,365,375,278,603,388,335,-0.495799841141969,5.59374182018289,-3.72400809142056,0.000968704225462078,0.878540372363276,-2.86709662546901
"6","GB41687",56,80,85,48,37,86,63,45,49,86,49,71,74,56,129,99,43,68,82,58,57,88,105,82,-0.503922585992771,3.25503273479445,-3.40187364638733,0.00219645663199896,0.878540372363276,-3.55713031395719
"7","GB42046",5,3,8,2,13,6,2,4,9,16,2,6,11,9,9,17,26,24,11,48,43,87,7,90,-1.99777315086721,0.663398704439236,-3.70488271854734,0.00101740313755713,0.878540372363276,-4.09590361400848
"8","GB42412",45,41,18,22,14,20,19,27,37,28,47,34,36,48,39,54,29,29,47,28,40,72,46,56,-0.787760104547545,2.27429919904707,-3.66872497354184,0.00111610619302048,0.878540372363276,-3.73131148716715
"9","GB42600",72,41,122,29,65,78,80,75,79,111,101,108,69,73,139,139,43,77,91,53,62,142,125,95,-0.360469566568996,3.50386482938401,-3.12959750359801,0.00432107413742604,0.878540372363276,-3.62793816636646
"10","GB42768",63,41,28,20,40,57,65,22,70,62,77,60,17,20,19,32,20,9,52,16,17,14,44,28,0.926252954556359,2.17031427975047,3.47160494757601,0.00184247975780318,0.878540372363276,-3.83907573064542
"11","GB43219",244,169,348,126,221,242,211,220,270,321,286,316,301,240,340,308,128,239,301,195,224,348,297,338,-0.304760395212005,5.14132774840446,-3.37548941634843,0.00234690683830264,0.878540372363276,-3.11637531448432
"12","GB43246",386,153,312,135,178,188,457,180,436,647,388,247,481,328,511,500,190,470,399,189,275,561,497,321,-0.603706311374867,5.48960251870797,-3.61942737539116,0.00126589937724403,0.878540372363276,-2.94039884226737
