"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB55029",628,415,331,443,487,865,688,965,743,828,171,619,167,6260,6028,11323,708,1511,1629,6700,3069,1688,3611,6395,-2.3059854789501,7.39118790198084,-4.87903846222303,4.72975074281869e-05,0.471603446566452,-2.71067190549666
"2","GB40534",142,234,70,71,74,96,135,149,145,145,139,70,109,145,108,182,167,91,155,296,80,178,125,147,-0.351035915674659,4.15678601381259,-3.18129431620378,0.00380007912751827,0.952621141301086,-3.44883854399058
"3","GB41122",86,101,45,46,49,66,62,76,70,70,68,31,40,46,39,47,76,26,40,73,24,56,51,56,0.352821883625847,2.90400054508285,3.40879052320981,0.00215522242789241,0.952621141301086,-3.68354467529718
"4","GB41126",246,364,127,172,114,325,324,207,274,308,259,106,206,302,283,297,731,99,271,583,170,368,353,155,-0.40936018303882,5.11256922081231,-3.04487910749319,0.0053090316672276,0.952621141301086,-3.40334704818917
"5","GB41776",489,448,265,524,220,475,1333,1304,916,406,362,565,110,99,122,220,143,111,1330,1135,138,131,370,238,1.20710213822814,5.57009051519712,3.17320028322691,0.00387671990085641,0.952621141301086,-3.3537802788986
"6","GB41824",12,48,4,19,14,16,16,31,26,32,13,8,15,41,14,15,39,29,15,51,30,66,46,75,-0.880927041631941,1.70898860443877,-3.03756789151775,0.00540431489856887,0.952621141301086,-4.08683964335706
"7","GB42244",230,651,90,85,118,208,243,224,178,141,178,372,157,311,181,467,422,197,199,1034,400,575,173,804,-0.897479623270311,5.1675656214489,-3.04196377990504,0.00534683156928315,0.952621141301086,-3.41855844071869
"8","GB43823",6930,4864,2603,3426,5511,3316,6593,5053,7804,3494,4922,4344,4423,1733,1477,3321,3374,1318,6296,4003,2164,2401,3292,1181,0.799950295845159,8.92910500249865,3.32086161315416,0.00268689610178619,0.952621141301086,-3.74034371853791
"9","GB44095",31,31,13,43,18,31,32,29,43,51,31,14,27,10,19,19,32,7,28,14,16,19,19,13,0.675393331877012,1.66714010289392,3.27778302210104,0.00299167744144392,0.952621141301086,-4.02100681927848
"10","GB44328",37,48,10,13,11,67,25,58,30,49,16,28,38,100,33,39,49,55,24,85,46,80,27,89,-0.869895987733022,2.39598340997769,-2.98971291293857,0.00606950249030342,0.952621141301086,-3.97844228684667
"11","GB45340",187,218,217,302,197,212,292,567,417,192,296,285,132,144,95,158,247,107,180,190,156,155,277,165,0.669676435501906,4.8622686264835,3.30069115265598,0.00282566898588078,0.952621141301086,-3.25175011993252
"12","GB45454",9,26,1,5,3,12,9,16,16,14,12,10,8,20,17,12,28,11,11,58,18,27,13,15,-0.940105087124268,0.85160744288555,-3.58431442330075,0.00138189889458768,0.952621141301086,-4.09355424795771
"13","GB45682",18,64,11,18,21,35,52,45,30,46,26,19,26,40,49,33,56,17,40,75,22,48,53,42,-0.499149383053553,2.24318121364903,-3.24780999128978,0.00322314735244101,0.952621141301086,-3.90964571294144
