"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40019",168,177,101,255,202,239,464,231,171,269,443,326,-0.497491110026118,4.91054484512703,-3.3056656335631,0.00557231553643569,0.730473494761405,-3.79753562639199
"2","GB40760",325,208,163,356,355,383,618,381,228,380,658,472,-0.384923942190738,5.49308641877632,-3.44345881596844,0.00426687832779364,0.730473494761405,-3.74577313166487
"3","GB41427",2026,1163,1136,2519,2077,2718,5106,2767,1610,2663,5404,2935,-0.565170707656574,8.26896072089031,-3.38753948774383,0.00475477872422271,0.730473494761405,-4.0452044443133
"4","GB41647",37,18,22,34,52,51,74,53,43,57,120,59,-0.680864283499973,2.58099297809834,-3.34785727375572,0.00513475168138922,0.730473494761405,-4.1571271033154
"5","GB41771",98,77,54,86,178,147,339,214,87,132,572,210,-0.910935626690725,4.23275447370035,-4.27221330613435,0.000876598537793253,0.730473494761405,-3.62605011379653
"6","GB42048",2,1,2,9,9,1,21,11,25,10,37,7,-2.03355911311397,-0.0886950908648524,-3.33528605629227,0.00526138640557278,0.730473494761405,-4.44424724540163
"7","GB42074",193,153,91,402,252,281,659,381,177,422,1012,481,-0.913191294453848,5.30417108788119,-4.00468919188771,0.00145240434047068,0.730473494761405,-3.58454331127157
"8","GB42075",333,228,134,369,280,328,648,327,225,450,918,526,-0.596141715390154,5.4998285904719,-3.6234362616815,0.00301388719963758,0.730473494761405,-3.692402216586
"9","GB42177",146,91,67,120,112,167,82,91,35,70,72,128,0.839497488392656,3.56121318300793,4.11692054308506,0.00117415985161175,0.730473494761405,-3.79081886480463
"10","GB42300",123,110,89,116,137,158,346,219,150,157,477,186,-0.745096514530519,4.43013729927898,-4.32845764399529,0.000789035995731644,0.730473494761405,-3.56223189733506
"11","GB42764",134,95,77,155,198,220,643,430,124,162,632,400,-1.05701231728281,4.78614200384944,-4.91467829570682,0.000269290948250512,0.730473494761405,-3.39670856858242
"12","GB42768",63,41,20,40,70,77,28,17,20,9,62,52,1.10516846358987,2.18335234705818,3.6255467856613,0.00300165256971519,0.730473494761405,-4.17607681250301
"13","GB43206",27,14,11,32,49,37,64,52,29,50,111,48,-0.840244791741131,2.26552748046062,-3.62449384955237,0.00300775009047692,0.730473494761405,-4.16810789909905
"14","GB43447",31,12,13,45,31,35,72,67,16,45,86,73,-0.883436215902746,2.24415027063677,-3.60993170902689,0.0030933791410876,0.730473494761405,-4.17304795973675
"15","GB43615",15,11,5,24,14,22,51,28,23,23,45,24,-0.867727347870816,1.42737920663121,-3.36428687077781,0.00497385843867916,0.730473494761405,-4.31635267473286
"16","GB43779",8,9,5,21,9,18,59,13,22,32,128,102,-1.88481873791899,1.50027019671154,-3.69568321207659,0.00262250453999568,0.730473494761405,-4.29114471329187
"17","GB43783",13,10,1,60,22,25,147,26,48,39,252,199,-2.3526791319264,2.14563522784842,-3.49827337761665,0.00383762822209516,0.730473494761405,-4.24875187725496
"18","GB43784",64,25,33,192,64,75,334,59,225,220,725,721,-1.97647362482105,4.07865153078393,-3.35536859695849,0.005060554531225,0.730473494761405,-3.96254693186964
"19","GB44014",105,66,52,67,102,105,57,64,37,36,82,104,0.676460809978322,3.149400654926,3.49424285865722,0.00386764938603485,0.730473494761405,-4.01754328106455
"20","GB44424",211,158,125,256,357,383,735,337,163,388,836,373,-0.618495623617395,5.30643888181801,-3.4710331399518,0.00404520265212075,0.730473494761405,-3.73751700150607
"21","GB44876",132,105,54,156,197,183,418,229,103,179,575,192,-0.687307888855514,4.49503231972332,-3.43053809327303,0.00437492938381172,0.730473494761405,-3.80170637722166
"22","GB44976",347,173,151,203,320,294,480,362,247,311,697,383,-0.517196538913687,5.28895861134732,-3.63574241198092,0.00294325480846144,0.730473494761405,-3.68009281650146
"23","GB45365",33,35,20,68,77,61,172,80,36,74,127,82,-0.733887363688846,2.99140344985711,-3.31614323473517,0.00546027538165559,0.730473494761405,-4.0937232064009
"24","GB45417",776,470,393,513,913,812,2095,997,754,706,2054,938,-0.682712782035747,6.74821011653129,-3.8633252389381,0.00190151652310355,0.730473494761405,-3.75693724297253
"25","GB45478",56,39,28,38,64,55,43,38,15,26,47,40,0.666044339577249,2.3172146441532,4.60837620557689,0.000469807334836262,0.730473494761405,-4.01986848603021
"26","GB45677",41,24,11,28,46,34,27,25,6,17,34,24,0.704136597118922,1.62303087791246,3.32335410926017,0.0053844844526327,0.730473494761405,-4.29025118785809
"27","GB46422",430,212,229,663,543,534,1262,739,287,622,1335,875,-0.703122427342599,6.14669729677825,-3.3571186948639,0.00504342245957164,0.730473494761405,-3.82943576116772
"28","GB46626",18,13,12,33,26,35,112,55,29,20,135,49,-1.17696559017556,2.13229962708143,-3.52282897836054,0.00365974777492495,0.730473494761405,-4.20864772699618
"29","GB46812",17,7,5,26,14,13,57,28,14,28,55,26,-1.14013600429275,1.35031045902196,-4.12736959263017,0.00115120913889854,0.730473494761405,-4.25566153367039
"30","GB46981",103,121,63,62,120,136,65,78,27,57,76,105,0.825609941984876,3.33229494882424,3.79869647319071,0.00215190713774051,0.730473494761405,-3.91500389079215
"31","GB47250",332,239,189,216,333,344,292,257,114,169,323,279,0.45782896490266,4.98336747878546,3.98721902004608,0.00150144316432067,0.730473494761405,-3.56493415007986
"32","GB47940",757,596,459,1213,1172,1301,2412,1850,788,852,3019,1537,-0.651880116076475,7.20720298775066,-3.29889538302786,0.00564593672191614,0.730473494761405,-3.96162509249517
"33","GB48046",130,107,54,142,117,207,78,70,41,81,157,134,0.691808718431545,3.68974497920865,3.39194361188482,0.00471439169675331,0.730473494761405,-3.9305916823432
"34","GB48235",16,16,13,28,17,31,61,33,29,34,86,34,-0.92238648002715,1.90014970931214,-3.72560359689591,0.00247592467609731,0.730473494761405,-4.2132377579137
"35","GB48311",170,100,88,168,254,203,422,246,246,182,534,267,-0.703735092649665,4.77632748236795,-3.52049806830247,0.0036762685654207,0.730473494761405,-3.74485835962772
"36","GB48450",279,174,127,267,328,343,621,393,169,301,597,397,-0.447152298059449,5.27414900090672,-4.04138641689112,0.0013546673885181,0.730473494761405,-3.55391528238488
"37","GB48574",216,190,96,234,280,262,488,333,241,229,469,355,-0.518802087276314,5.07185171481211,-3.52568988116693,0.00363957315948565,0.730473494761405,-3.71830701799217
"38","GB48598",12,10,7,27,15,19,50,35,11,20,79,30,-1.02267763017561,1.44770493638487,-3.60800733741024,0.00310487841542954,0.730473494761405,-4.28855471974382
"39","GB49284",137,76,53,184,134,162,390,150,105,173,502,209,-0.713865288462382,4.35063312665794,-3.31364035189836,0.00548683206879256,0.730473494761405,-3.8579501973125
"40","GB49680",49,33,25,63,91,64,159,98,60,55,193,92,-0.759895223769722,3.1782951346999,-3.58929202597704,0.00321899944859585,0.730473494761405,-4.00313093413798
"41","GB50418",65,27,32,124,80,76,267,156,66,77,314,102,-1.01827003340787,3.54353484885425,-3.30450127939216,0.0055849080024576,0.730473494761405,-4.00543163592362
"42","GB50526",579,254,293,677,791,722,3691,1254,338,1329,2195,1086,-1.11580304462276,6.70674152801595,-3.82594539196214,0.00204247258062857,0.730473494761405,-3.76595250387252
"43","GB50550",419,197,195,476,222,318,1059,310,1696,1627,1381,2373,-1.94172916890321,6.2336144264445,-4.08075279009082,0.00125729200423893,0.730473494761405,-3.66732843370932
"44","GB51155",64,28,39,30,108,82,181,149,40,79,331,109,-1.05027570251071,3.35087210183322,-3.50114439600837,0.00381638727914715,0.730473494761405,-3.99539573093083
"45","GB51167",28,19,20,29,39,34,78,46,20,47,59,56,-0.588170091789237,2.22689336004482,-3.48055592793184,0.0039713785843359,0.730473494761405,-4.18971081844159
"46","GB51218",56,61,73,138,70,59,182,225,86,130,381,182,-1.16644140889703,3.87206528550682,-4.02809374402583,0.00138926701550872,0.730473494761405,-3.77190056160948
"47","GB51759",153,92,94,151,233,194,485,288,135,214,805,239,-0.849106371927407,4.75215851879508,-4.11205185176611,0.0011850135904967,0.730473494761405,-3.57939516987211
"48","GB52553",48,30,30,29,45,44,84,60,34,55,82,74,-0.536962688973922,2.63428969159472,-3.55079170285708,0.00346731397575819,0.730473494761405,-4.10981320516596
"49","GB53028",204,67,54,152,166,140,514,248,367,202,1616,357,-1.57507425340571,4.83759467284663,-4.29842898525263,0.00083460264082851,0.730473494761405,-3.58402554270456
"50","GB54356",41,24,16,30,54,51,80,81,60,52,148,62,-0.891306599803514,2.69901389224972,-3.83936817289477,0.00199066882352968,0.730473494761405,-4.0585050192461
