"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB45919",1079,1589,1463,1253,1237,1377,464,426,352,174,552,870,1.28908726492093,6.58952350139554,6.77939543208036,1.17738626430429e-05,0.116914456045416,3.01331736670572
"2","GB45746",2298,3566,4253,3085,3064,3857,657,886,466,121,554,1364,2.28080133492239,7.42130782473626,6.2909868709739,2.54560529835041e-05,0.126389303063098,2.28362543218092
"3","GB42931",4521,4722,3407,3711,3650,4658,1006,1507,868,279,1229,2997,1.63605726255107,8.0559198175366,5.69775584152762,6.78806764622851e-05,0.224685039090164,1.46096740990591
"4","GB40888",255,361,238,206,267,289,127,176,89,86,223,242,0.502779341806537,4.65847725564867,4.97714969891754,0.000238568149566548,0.231322027706505,0.684160623800901
"5","GB42428",281,544,546,355,454,354,100,199,153,53,141,239,1.27808869336572,4.90920696376388,5.19913243226215,0.000160763385614144,0.231322027706505,1.00192606159187
"6","GB43727",10573,19408,11624,13418,13405,13688,2078,3762,2035,498,2676,12913,2.10380030552212,9.55420714960929,4.93733287974708,0.000256247966240842,0.231322027706505,0.245800216164167
"7","GB44140",1061,926,678,989,712,1057,278,443,331,172,446,598,0.988412335047211,6.16738283597779,5.03321943617904,0.000215796393208135,0.231322027706505,0.752328294661774
"8","GB46444",274,371,452,323,292,303,74,173,85,69,102,266,1.19084686529612,4.63692432142096,4.96512527154737,0.000243769441826473,0.231322027706505,0.643616199146369
"9","GB49543",7207,9073,3795,5257,7837,7990,2406,2682,2301,1025,2642,4006,1.11769177342982,8.97644351099616,5.49833101548672,9.54369209817679e-05,0.231322027706505,1.05921433985331
"10","GB50091",368,291,172,194,400,347,377,583,207,249,455,758,-0.85562691822192,5.42636009453426,-4.94540069802672,0.000252558575708219,0.231322027706505,0.65844990776038
"11","GB51368",481,1011,785,638,638,729,108,314,115,58,203,747,1.53601621814516,5.51084414404983,4.95175039517582,0.000249693761007352,0.231322027706505,0.632868314235252
"12","GB41889",2154,3402,3139,2388,2080,2545,680,1359,615,416,1215,2963,1.08348792072772,7.66861974839478,4.7884828933268,0.000335365053776107,0.245251335434924,0.281373729975805
"13","GB44132",817,936,1071,858,827,764,412,398,293,187,406,594,0.92797521725669,6.171777244142,4.84026200404598,0.000305300700772037,0.245251335434924,0.462594809671495
"14","GB49875",836,2675,1605,1274,1347,874,171,348,145,27,206,1057,2.34256713346155,6.02268498339616,4.77167510712269,0.000345772275537657,0.245251335434924,0.326398416424003
"15","GB47974",1026,2692,2262,1599,1570,1585,382,923,382,155,638,1396,1.40273702606657,6.91377863995243,4.66360291026823,0.000421207286842333,0.278839223889624,0.149876750558252
"16","GB45000",438,504,415,396,479,361,98,184,124,52,139,523,1.18910261610154,4.99532927499245,4.6250019080022,0.000452125878561364,0.280600623382147,0.136768273083821
"17","GB40431",60,90,121,77,130,109,12,50,27,7,17,64,1.61584684021196,2.58574260611172,4.4912554079996,0.000578694276310405,0.281416528578639,-0.430438653733969
"18","GB51283",1363,2052,2246,1737,1614,1719,528,1218,401,276,711,1771,1.07723042270068,7.12628607484579,4.47803928933415,0.000593048973545064,0.281416528578639,-0.143264052152961
