"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40138",19,5,15,2,13,28,48,8,32,43,46,39,-1.40642257034019,1.25667552005046,-3.87738502109022,0.00183902921662533,0.998458840908634,-4.29640177622788
"2","GB41643",847,520,262,646,318,941,9,205,110,99,454,340,2.31449750868183,5.03235930081064,3.01093938392339,0.00983218074291134,0.998458840908634,-3.98355911409601
"3","GB42192",82,61,87,45,54,72,41,30,51,59,61,63,0.500851018249162,2.87583117231868,2.96307005791366,0.0107884156169234,0.998458840908634,-4.19248869775866
"4","GB42598",41,21,43,13,18,9,72,92,23,47,93,73,-1.37750482742062,2.20954681735845,-3.04768600944863,0.00915558618858616,0.998458840908634,-4.27866352397503
"5","GB43070",17,15,16,13,8,31,9,1,3,7,19,8,1.29784542650686,0.361937352954272,3.32061212527135,0.005388651741315,0.998458840908634,-4.41673721698264
"6","GB43504",48,60,78,84,78,107,33,16,46,42,82,53,0.835044117889782,2.82497133756078,2.96833897299687,0.010678809131379,0.998458840908634,-4.2027261444984
"7","GB43508",1584,713,1606,1130,1120,1400,856,376,687,1116,929,1219,0.728804729025329,6.99330110543026,3.39239585598778,0.00468778621182512,0.998458840908634,-3.94052601405248
"8","GB43513",12,5,20,1,10,18,40,14,29,39,26,15,-1.26751033765816,0.932474049380332,-3.0014897185973,0.0100140457160895,0.998458840908634,-4.40529847727283
"9","GB43571",2046,2700,1427,1231,2672,4567,504,619,455,771,1303,2082,1.5739144208507,7.43409275604825,4.34129812415978,0.000763902561296416,0.998458840908634,-3.78527496881979
"10","GB43955",17,12,23,11,11,14,6,2,7,13,18,10,0.827921417689085,0.499541132895906,3.08341557594674,0.00854211241697247,0.998458840908634,-4.42288255317793
"11","GB44029",72,62,85,52,70,81,58,40,31,47,78,61,0.548191452927975,2.93635836269104,2.89383467763587,0.0123362819085753,0.998458840908634,-4.19905438199656
"12","GB44109",409,279,507,233,292,433,249,181,218,310,546,347,0.379299330761548,5.34487494318331,3.09180557725619,0.00840408905754361,0.998458840908634,-3.88769246216733
"13","GB44163",631,577,309,398,319,650,120,210,65,277,517,260,1.37901915858185,5.27918801730006,3.3665540959546,0.00492885849011196,0.998458840908634,-3.8174312955344
"14","GB45809",22,18,19,15,15,19,29,22,23,30,41,42,-0.677917911243783,1.60837501273144,-3.03084128135671,0.00945980158157171,0.998458840908634,-4.33609776996454
"15","GB45911",917,570,314,455,329,906,271,153,141,522,606,357,1.00146613768333,5.66974371992646,2.88823284470295,0.012470704620176,0.998458840908634,-3.97815517980283
"16","GB46557",143,11,0,0,22,7,218,132,536,140,250,355,-5.21032481903314,2.33571064560983,-4.90579936214731,0.000270686956881574,0.998458840908634,-4.22634616762827
"17","GB46558",91,299,11,1,48,48,295,99,349,90,272,242,-2.48517038609037,3.36089941100397,-3.10369393029405,0.00821230736378689,0.998458840908634,-4.1554798962696
"18","GB47518",49,29,25,15,17,52,10,8,7,7,36,19,1.25633107442137,1.26889016827526,3.35454728974696,0.00504507412783492,0.998458840908634,-4.33853280901982
"19","GB47909",8,2,3,0,4,13,14,4,10,14,23,24,-1.81579410751101,-0.161266216502171,-3.8419389034552,0.00196824627631783,0.998458840908634,-4.41784069670459
"20","GB48109",388,98,375,51,739,450,1155,188,913,821,1325,2201,-1.61658009760483,5.91760148504133,-3.14239693168182,0.00761764576104829,0.998458840908634,-3.93553431059404
"21","GB48241",570,558,534,379,522,827,442,150,315,620,451,319,0.777851149507381,5.82077805281212,3.57299923873702,0.00330386691296256,0.998458840908634,-3.76183711440486
"22","GB48380",53,33,99,31,64,68,86,39,98,94,175,82,-0.600983858804338,3.14590138693598,-3.32066332733967,0.00538811602343252,0.998458840908634,-4.0765587238325
"23","GB49434",16,10,18,9,10,15,5,4,4,11,16,7,0.885875253909984,0.332539864735424,3.45250923608426,0.00417192901267733,0.998458840908634,-4.40708056600383
"24","GB49539",425,281,304,235,270,433,191,118,172,256,368,251,0.690610716088041,5.05984598293618,4.10739887385402,0.00118661617217127,0.998458840908634,-3.57486990919285
"25","GB49545",204,159,251,100,170,225,86,79,85,122,172,209,0.715822089747726,4.2140376693374,4.48699165449435,0.000582339541811009,0.998458840908634,-3.58462191636749
"26","GB49561",10,10,25,2,4,14,22,6,19,25,51,20,-1.09282615376531,0.789734259666323,-3.20298497101264,0.00677182692238591,0.998458840908634,-4.39474170408066
"27","GB49805",47,19,32,19,22,39,15,7,13,21,33,15,0.871096162229242,1.45807752476667,3.64900796028812,0.00285271777819926,0.998458840908634,-4.28335012534682
"28","GB49953",328,231,324,201,249,317,192,131,208,246,315,267,0.420483137131333,4.9668711389982,3.05195286532203,0.00908008183730162,0.998458840908634,-3.90276552703945
"29","GB50043",713,530,311,385,390,849,380,132,133,484,527,236,1.01356654031862,5.56253503379585,3.07941028165,0.0086087962950864,0.998458840908634,-3.90837919577299
"30","GB50780",428,231,423,197,197,292,153,165,111,233,335,185,0.724153719288608,4.87250813265307,3.40503383486346,0.00457424696183348,0.998458840908634,-3.79294574222767
"31","GB51189",408,274,453,313,312,630,146,163,200,226,673,377,0.713639219186177,5.32754501386326,2.88873877179972,0.0124585052092165,0.998458840908634,-3.96242167466343
"32","GB51380",8,6,18,5,6,4,20,4,19,23,33,16,-1.16204952581341,0.523403964963449,-3.3899365087614,0.00471020862955186,0.998458840908634,-4.39974510080403
"33","GB51840",75,49,84,39,81,52,108,51,157,83,172,152,-0.794606637065309,3.41043510002248,-3.38886601611646,0.0047200022496073,0.998458840908634,-4.01609833895094
"34","GB51943",364,171,405,156,221,316,204,82,200,255,366,239,0.404636040615277,4.88057113483224,2.94134195285589,0.011252292831296,0.998458840908634,-3.94444694490423
"35","GB52710",85,65,146,65,81,133,47,25,35,78,143,71,0.71762706019364,3.21467087252986,3.65883225455077,0.00279915515470506,0.998458840908634,-3.99327176280383
"36","GB52786",298,291,376,130,144,365,175,84,125,284,286,160,0.63827556114784,4.71888369356561,3.20638312998978,0.00672726973323114,0.998458840908634,-3.86595157456727
"37","GB52788",134,127,147,72,80,144,71,44,55,122,87,74,0.76174318707055,3.53907672746589,3.92773170593424,0.00167021892634811,0.998458840908634,-3.86606513377651
"38","GB52857",2204,1537,3199,2855,2260,2742,11548,2262,8823,5840,9018,9076,-1.36782118197581,9.0333278742898,-4.27846770837647,0.000859365496703368,0.998458840908634,-3.98284607101223
"39","GB53096",41,36,55,8,41,73,128,35,59,63,108,73,-0.808258210147486,2.70810800833117,-2.94236620888681,0.0112299894605501,0.998458840908634,-4.22546578257515
"40","GB53433",204,147,206,119,165,212,100,103,85,138,249,162,0.50302198358104,4.26937238059947,2.89295161682541,0.0123573767662745,0.998458840908634,-4.00933949913884
"41","GB53674",101,60,103,55,70,111,57,37,59,85,77,67,0.492156916286755,3.18568468187427,3.09702700955479,0.00831931443525227,0.998458840908634,-4.11566001647151
"42","GB53848",62,61,211,20,118,98,247,69,245,141,186,210,-0.9619121081638,3.86600626117971,-3.02330956650743,0.00959905047255224,0.998458840908634,-4.04167674176367
"43","GB54139",38,17,146,27,130,139,262,57,137,353,427,182,-1.54985507841881,3.80850070867913,-3.71491712449938,0.00251234842980943,0.998458840908634,-3.90199688952982
"44","GB54417",799,463,402,570,638,598,62,210,103,287,647,549,1.49804483455776,5.52607332021077,3.04500560653448,0.00920333599564069,0.998458840908634,-3.93103264234344
"45","GB54716",284,168,219,105,167,315,128,76,80,153,272,196,0.625804666395257,4.39815378243806,3.42781783678452,0.00437650799951995,0.998458840908634,-3.82749442086893
"46","GB54758",200,138,109,102,95,151,70,44,28,131,99,67,1.02617354052799,3.55936237478666,3.25061340208705,0.00617337854641292,0.998458840908634,-4.02594307829933
"47","GB54890",266,176,226,217,191,352,91,108,96,227,231,194,0.770450548501335,4.56550870477139,3.13208382294569,0.00777177559107616,0.998458840908634,-3.90607972272797
"48","GB54903",42,24,20,22,18,27,6,8,11,6,26,21,1.13081948794566,1.12551269442608,2.91561377396767,0.0118271106746695,0.998458840908634,-4.39523762811443
"49","GB55575",442,278,533,215,351,545,829,255,436,504,1247,591,-0.485376676830528,5.89011669089313,-2.92335616430751,0.0116511458263534,0.998458840908634,-3.97519848278887
"50","GB55710",333,273,527,220,178,516,263,104,182,251,464,285,0.519225704115136,5.12706817374697,2.98450846661353,0.0103492789344823,0.998458840908634,-3.92498725573177
