"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB46547",43,31,16,27,25,33,24,25,13,25,17,41,16,5,6,10,14,24,12,25,9,25,17,16,20.9442111005559,1.0421775269016,0.246253152285982,4.23213882635413,2.31479448561255e-05,0.321432362272159
"2","GB40286",1,2,3,1,0,0,8,28,7,0,2,26,744,17,45,14,127,13,0,26,116,1,4,13,36.177788772048,-3.65700129846665,0.902873251915045,-4.0504038531543,5.11293146298646e-05,0.35499083147515
"3","GB53872",42,60,57,19,17,91,175,124,121,10,9,114,1943,149,275,73,566,264,3,100,580,118,35,70,166.802105086192,-2.04226824116558,0.538259312757446,-3.79420883719272,0.00014811497394715,0.685574842743374
"4","GB40001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0934247608911229,-0.351309612885574,3.00317535619469,-0.116979387221237,0.906876387934991,0.999385705004888
"5","GB40003",0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.114834230571465,-0.351310821537593,2.98861235033041,-0.11754981254051,0.906424372920341,0.999385705004888
"6","GB40005",3,4,5,0,4,1,13,7,1,11,7,22,1,7,0,10,0,1,23,1,2,5,5,15,7.38297694721013,-0.0883634885850393,0.71326486508391,-0.123885940427816,0.9014055850992,0.999385705004888
"7","GB40006",11,11,30,8,8,12,150,31,25,753,371,426,36,9,25,11,10,22,239,13,22,30,10,690,127.964452335179,1.9520237638323,0.843611551664616,2.31388932498679,0.0206737938288434,0.999385705004888
"8","GB40007",114,187,519,24,193,139,73,501,245,88,108,237,487,213,288,134,53,129,68,356,124,753,177,76,204.379343878545,-0.172258197537597,0.384410485054306,-0.448110039228671,0.65407378306368,0.999385705004888
"9","GB40008",1620,1527,2325,345,474,1066,830,2591,1360,458,721,1046,1971,1256,994,943,867,955,903,2344,1773,2701,1178,396,1212.34030283604,-0.148256132550773,0.27026272256095,-0.548563009896188,0.58330537667884,0.999385705004888
"10","GB40009",462,2149,801,76,1152,417,387,926,1174,307,401,463,751,717,544,450,589,363,258,1436,880,1286,716,188,701.112927561886,0.264066152824877,0.373969377327539,0.706117048171022,0.480115350631515,0.999385705004888
"11","GB40010",1905,3284,5200,267,1389,1660,1084,6512,3077,1027,1261,2777,5093,1979,2179,1660,1461,2078,1003,4785,2711,4323,2881,1236,2339.03131760553,-0.034834424860899,0.299672923377161,-0.116241482441366,0.907461161333919,0.999385705004888
"12","GB40011",0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,4,0,2,1,0,0,0,0.539824380083333,0.337105147666242,1.4332080113206,0.235210203266742,0.814045587068156,0.999385705004888
"13","GB40012",373,226,91,176,123,92,125,162,78,90,137,164,57,38,30,125,119,91,190,155,106,158,136,119,136.513325569631,0.542094614976622,0.319617105756981,1.69607510115182,0.0898716583073586,0.999385705004888
"14","GB40013",170,458,213,97,50,23,73,91,22,46,50,114,31,312,24,194,295,158,246,106,248,90,344,31,156.56895804669,-0.56202648240194,0.507801912297527,-1.1067829182822,0.268387795262055,0.999385705004888
"15","GB40014",148,83,143,94,68,172,118,292,193,84,104,173,359,59,206,128,145,215,87,156,172,201,94,184,142.897858083237,-0.148650623135435,0.160818498896587,-0.924337835232651,0.355310449708491,0.999385705004888
"16","GB40015",33,31,46,44,18,48,45,134,82,22,41,61,133,15,71,57,78,110,20,50,60,56,64,60,51.7698549766021,-0.222191882793215,0.195837626321531,-1.13457197662524,0.256554700238873,0.999385705004888
"17","GB40016",23,8,20,7,8,16,8,48,15,5,10,47,22,1,10,10,8,29,18,26,10,21,28,22,15.9780320547104,0.0774463892098262,0.323369695146287,0.239497981326886,0.810719461591775,0.999385705004888
"18","GB40017",105,70,112,70,70,114,77,214,135,74,68,140,227,39,134,95,102,142,43,137,118,139,94,136,103.254044884931,-0.0355998990362988,0.138234558877151,-0.25753255427202,0.796767687877561,0.999385705004888
"19","GB40018",261,274,208,375,269,286,262,254,441,177,220,273,295,164,218,401,483,392,159,287,315,264,435,244,284.436006616994,0.0390771775572326,0.158702680156171,0.246228844520955,0.80550508808448,0.999385705004888
"20","GB40019",168,177,231,308,89,276,269,443,216,96,110,251,464,101,255,262,328,541,171,202,326,239,277,161,230.71297416322,-0.191658120086401,0.168659092357832,-1.13636399560229,0.255804257691507,0.999385705004888
"21","GB40020",57,54,78,81,37,78,52,176,68,45,57,114,152,29,59,72,143,153,48,87,94,109,111,107,79.3298619791435,-0.230018993349799,0.151752998169222,-1.51574595642125,0.129583602233234,0.999385705004888
"22","GB40021",6745,4521,9563,4446,5833,12443,9801,16038,6220,5621,5502,13392,31809,5561,12932,9202,12105,15838,4390,10062,7788,8769,7109,20590,9620.56674945348,-0.415760542507378,0.224421623577812,-1.85258682242455,0.0639416026491407,0.999385705004888
"23","GB40022",220,103,138,147,107,461,192,227,231,44,108,169,193,99,310,370,213,434,52,80,256,214,181,80,180.338869481451,-0.0808024541480148,0.273513218231904,-0.295424311374614,0.767669763831702,0.999385705004888
"24","GB40025",0,2,4,0,0,1,0,1,0,1,1,2,1,0,0,0,1,1,0,3,1,2,1,0,0.845691980267621,0.482868410238706,0.782301697362504,0.617240652636542,0.537076005276412,0.999385705004888
"25","GB40026",2,2,6,4,5,2,3,8,1,3,1,6,1,3,1,2,2,2,0,14,3,9,2,3,3.38067193043216,0.169968092656988,0.475286642387134,0.357611759933586,0.720633876424593,0.999385705004888
"26","GB40027",161,119,123,86,66,98,82,137,86,73,74,101,48,33,56,91,69,73,62,135,66,176,110,77,90.6536175881557,0.411597804069294,0.205527856527528,2.0026375549446,0.0452162058222414,0.999385705004888
"27","GB40028",105,68,78,78,97,107,73,108,123,41,71,105,126,44,75,102,97,153,48,120,94,115,96,89,88.372431151351,0.0259191683057831,0.109956946088526,0.23572106381452,0.813649123855286,0.999385705004888
"28","GB40029",34,18,49,25,15,36,22,77,49,35,34,65,101,19,46,26,60,68,22,38,38,51,37,69,40.3532017578299,-0.187967877312362,0.206230131647696,-0.911447206140897,0.362059790486986,0.999385705004888
"29","GB40030",90,89,101,132,79,104,97,108,110,52,64,109,138,70,84,119,146,180,72,99,139,113,155,53,100.920596626425,-0.0975692156281331,0.135633639985116,-0.719358528155994,0.471920042584012,0.999385705004888
"30","GB40031",803,778,717,722,527,971,914,1116,886,352,373,652,1226,511,908,776,1198,1202,353,894,1021,844,818,469,752.462221495275,-0.0579426736520017,0.117427382612822,-0.493434089756123,0.621705900109243,0.999385705004888
"31","GB40032",325,401,309,377,498,261,206,241,410,194,240,344,244,308,218,292,457,506,222,360,459,345,523,213,332.845656378615,0.0524919373509749,0.206351376470926,0.254381328822253,0.799200974082819,0.999385705004888
"32","GB40033",390,317,291,316,369,298,261,463,317,207,250,424,371,281,189,361,477,489,234,383,428,408,532,281,340.49547649805,-0.0422157273193856,0.133152357805658,-0.317048289756923,0.751206960956072,0.999385705004888
"33","GB40034",6,11,9,1,9,3,2,11,6,2,3,4,9,4,0,3,5,4,2,8,8,7,7,1,4.95356779643093,0.379148079536964,0.371113860857963,1.0216489318411,0.306947089529668,0.999385705004888
"34","GB40035",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.180743844601899,0.370026648084596,2.14177082499041,0.172766686223888,0.862834823768723,0.999385705004888
"35","GB40038",7,3,11,5,1,13,6,14,3,0,5,17,5,9,3,13,2,8,1,2,12,14,12,10,6.92960933701618,-0.0921118818397502,0.417838847420233,-0.220448343681913,0.825521998505196,0.999385705004888
"36","GB40046",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.151282149263063,0.370026858945256,2.22457027775721,0.166336331400739,0.867892275955535,0.999385705004888
"37","GB40047",26,28,23,17,16,39,15,25,40,16,19,21,72,19,30,27,42,55,9,29,27,17,23,25,25.9457646985477,-0.196382850772372,0.206081345370163,-0.952938512797604,0.340621225321316,0.999385705004888
"38","GB40053",13,0,6,5,2,11,12,18,9,6,1,6,5,4,5,2,3,7,4,6,3,4,4,4,5.57522555002673,0.858960419423031,0.35191113775173,2.44084465445086,0.0146529564056976,0.999385705004888
"39","GB40054",4603,2099,2987,1749,4155,2667,4802,2716,3015,1267,1113,2259,2920,2108,2779,2387,2522,2441,1314,3299,3040,3043,2939,1143,2606.19276029943,0.286075195281526,0.210055680898222,1.36190173033281,0.173228900055191,0.999385705004888
