"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB41710",191,86,370,32,22,2281,57,1450,956,3875,62,115,75,99,224,129,29,41,41,65,38,29,102,77,380.335643412866,3.2293188126553,0.623394384941003,5.18021799789057,2.21626741706354e-07,0.00307750893533443
"2","GB41708",2878,552,370,307,51,3438,175,3216,1712,2268,94,233,264,226,475,326,223,191,181,250,116,199,39,23,722.914458148538,2.64876000072526,0.528784554271973,5.0091478265133,5.46715692939094e-07,0.00379584705607613
"3","GB47618",42,1,23,5,0,408,11,102,590,698,4,5,7,15,10,3,1,1,2,8,0,2,8,136,44.5389264154172,3.89798931609619,0.86842535848517,4.48857150244393,7.1702358178177e-06,0.0331886315220722
"4","GB41981",554,2569,188,1005,129,824,213,1358,738,269,344,2172,433,559,126,707,180,224,708,296,297,147,313,147,642.20174981967,1.65743869186861,0.432273830011415,3.83423324938464,0.000125956577459091,0.437258258649235
"5","GB50878",113,43,66,31,18,100,57,73,85,111,84,59,35,19,41,57,40,38,41,57,35,43,34,52,56.8883208583042,0.937796623819489,0.25299607332238,3.70676355369556,0.000209924763451451,0.485835877547808
"6","GB53368",59,18,159,92,3,59,38,90,25,73,83,16,16,10,25,38,18,48,59,10,14,23,13,15,42.2325883652387,1.4945472422348,0.40208487434838,3.71699443968606,0.000201606878628712,0.485835877547808
"7","GB41706",23,10,7,11,5,87,14,107,37,13,6,14,4,12,9,9,7,21,9,9,3,13,2,1,18.3615174592783,1.8312705257147,0.502373917075926,3.64523408455127,0.000267148523029006,0.495785147630275
"8","GB42252",846,1221,488,756,316,468,360,1126,512,503,376,1315,552,458,319,919,346,396,659,374,384,250,326,219,569.553337608015,0.929753806467681,0.256272130179846,3.62799421776843,0.000285631656419573,0.495785147630275
"9","GB43689",459,134,521,260,11956,503,370,730,35,619,121,488,3131,140,565,731,3679,1529,1211,701,943,129,744,230,715.72172250463,-1.52553638851002,0.428903941053597,-3.55682529930257,0.000375363597689699,0.521229891751916
"10","GB46229",1323,882,1806,341,446,912,828,1225,687,1361,540,615,589,451,621,1024,436,955,839,454,651,481,556,140,723.258111520199,0.726308637078955,0.202998603202022,3.57789967823641,0.000346366336653009,0.521229891751916
