"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40084",3.95124371858143,4.69134788222914,4.18965474202643,4.79579054559674,4.64439089914137,4.33073334028633,3.63758615972639,4.15888308335967,4.65396035015752,4.39444915467244,4.00733318523247,3.71357206670431,0.155757838928489,6.523989297463,4.57190695864464,0.00034884081263833,0.79488006454126,-0.19092012555071
"2","GB40705",4.04305126783455,5.17048399503815,4.51085950651685,5.26785815906333,4.99043258677874,5.23644196282995,4.40671924726425,4.80402104473326,5.12396397940326,4.69134788222914,4.60517018598809,4.44265125649032,0.116907517100966,6.67159612381846,3.44126715034279,0.00354345668403968,0.79488006454126,-1.70465042009004
"3","GB41179",4.15888308335967,4.43081679884331,4.18965474202643,4.7361984483945,4.36944785246702,4.55387689160054,4.07753744390572,4.14313472639153,4.18965474202643,3.17805383034795,3.63758615972639,4.23410650459726,0.231234451662238,6.49050016339664,3.47439290122308,0.00330850857283341,0.79488006454126,-1.83347461236525
"4","GB41214",2.07944154167984,3.29583686600433,2.77258872223978,2.77258872223978,3.25809653802148,2.70805020110221,3.61091791264422,3.49650756146648,4.12713438504509,3.68887945411394,3.52636052461616,3.17805383034795,-0.24720386429071,6.15186726853274,-3.78007059541004,0.00175748421377492,0.79488006454126,-2.33835965607854
"5","GB41616",2.83321334405622,4.58496747867057,3.63758615972639,4.52178857704904,4.17438726989564,3.46573590279973,4.89783979995091,4.8283137373023,5.05624580534831,5.12396397940326,4.71849887129509,4.48863636973214,-0.211295657100142,6.54180103314527,-3.93736667945697,0.00127050249507544,0.79488006454126,-1.12784224821607
"6","GB41776",4.71849887129509,6.00881318544259,4.93447393313069,4.88280192258637,5.91620206260743,5.47646355193151,7.19368581839511,7.17395831975679,7.0352685992811,6.82110747225646,5.89440283426485,6.33859407820318,-0.268149380817228,6.97103992732259,-4.62270147625905,0.000315027473787619,0.79488006454126,0.344511553374828
"7","GB41824",3.40119738166216,3.49650756146648,3.43398720448515,4.20469261939097,3.85014760171006,4.33073334028633,2.77258872223978,3.46573590279973,3.95124371858143,3.29583686600433,2.63905732961526,2.19722457733622,0.300331051073132,6.22829790495137,3.401366763452,0.00384866653665265,0.79488006454126,-2.48698896883415
"8","GB42215",3.61091791264422,3.93182563272433,3.49650756146648,3.93182563272433,3.95124371858143,3.68887945411394,4.47733681447821,4.63472898822964,4.97673374242057,4.51085950651685,4.14313472639153,3.58351893845611,-0.150516869485356,6.46406565436183,-3.43984116206822,0.0035539364867871,0.79488006454126,-1.93010494262771
"9","GB42475",4.87519732320115,5.92692602597041,5.36597601502185,5.85220247977447,5.85220247977447,5.40267738187228,6.40357419793482,6.75460409948796,6.45047042214418,6.9177056098353,6.27476202124194,5.65948221575962,-0.140309274116925,6.96592239373525,-4.55738866619163,0.000359173159595933,0.79488006454126,0.256158565907008
"10","GB42985",4.72738781871234,6.18620862390049,5.14166355650266,5.95324333428778,5.68017260901707,6.13772705408623,6.73815249459596,6.53524127101366,6.56807791141198,6.51025834052315,6.62273632394984,5.78996017089725,-0.130923962147023,6.98110948427852,-3.42949669665399,0.00363089134308705,0.79488006454126,-1.69580102067497
