"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40098",89,215,233,316,232,158,96,202,178,81,100,173,0.507346962071603,4.54504474583911,3.1936914930922,0.00658519633849037,0.979571602208245,-3.93037743940412
"2","GB40606",2,9,9,2,4,26,15,14,17,33,19,34,-1.71086680193675,0.769071376050892,-2.95838374202374,0.0104819184290475,0.979571602208245,-4.43865926246463
"3","GB40699",4,8,15,4,4,9,13,11,17,17,16,15,-1.12514615709763,0.593732603554098,-2.83812173979656,0.0132791876478289,0.979571602208245,-4.45389664459421
"4","GB40773",127,443,469,379,335,325,582,575,860,244,220,548,-0.556894072293956,5.80650654546731,-3.28840815629403,0.00545959278751945,0.979571602208245,-3.84291191093406
"5","GB41067",4,15,9,4,9,10,11,16,24,12,20,13,-0.995653659063313,0.74258366920084,-2.87148316810995,0.0124370016711236,0.979571602208245,-4.44259745468863
"6","GB41085",18,35,33,55,44,27,20,31,36,10,14,22,0.601018669597209,1.96111919492102,2.94466742382767,0.0107690516920463,0.979571602208245,-4.34514818400027
"7","GB41467",221,365,406,314,388,335,409,438,740,375,278,603,-0.529506639819203,5.82905023370327,-3.40632894445673,0.00432327241213664,0.979571602208245,-3.80520995394927
"8","GB41896",28,57,60,78,76,70,41,45,61,22,27,44,0.534088821957105,2.80441014295484,2.88441223764355,0.0121249071224737,0.979571602208245,-4.26742772112313
"9","GB42154",9,28,22,16,13,12,23,37,55,12,9,56,-0.8790465356904,1.59128484673146,-3.02127808741562,0.00925912736328824,0.979571602208245,-4.36854519928067
"10","GB42411",33,69,58,48,66,60,71,82,139,59,56,78,-0.593673235410786,3.25660079054845,-3.43981876427896,0.00404616217448887,0.979571602208245,-4.09793293895713
"11","GB42424",177,290,463,256,210,355,431,527,872,426,413,360,-0.907842464727401,5.74848101580846,-3.73318430149824,0.00226819535708294,0.979571602208245,-3.70775552510769
"12","GB42904",12,18,24,5,4,6,60,42,38,10,13,16,-1.47291635483391,1.19785659562776,-2.94908834479386,0.0106756688796476,0.979571602208245,-4.41016008448488
"13","GB43337",2,1,11,11,3,21,7,27,53,9,8,19,-1.70041814912778,0.50233064207987,-2.87837644526963,0.0122696358905382,0.979571602208245,-4.45661807958995
"14","GB43711",21,66,80,34,23,39,104,100,119,45,53,77,-1.06586560596676,3.02948711995426,-4.12550836535311,0.0010540535164564,0.979571602208245,-4.03202525104801
"15","GB44590",58,93,179,47,87,70,77,184,276,85,70,205,-0.826992150423913,3.91755637248146,-2.96890841985448,0.0102667283667548,0.979571602208245,-4.09515416014261
"16","GB44639",3,4,8,4,4,18,12,12,30,9,9,17,-1.35800563668873,0.4372881287995,-3.51154504077362,0.00351126522261282,0.979571602208245,-4.41489850788102
"17","GB44712",37,88,55,67,95,40,44,41,53,31,25,41,0.597278840727655,2.82431189431822,2.85814511623587,0.0127672313779837,0.979571602208245,-4.27000092139806
"18","GB44799",91,265,260,370,263,161,178,175,154,77,99,192,0.587783218948426,4.66680370958563,3.10632066606241,0.00782734733068322,0.979571602208245,-3.94390242073174
"19","GB45062",13,10,22,9,9,5,17,24,84,10,12,17,-1.16577385234666,1.14120810375191,-2.91915046009555,0.0113239810329858,0.979571602208245,-4.41417262904451
"20","GB47338",32,74,78,111,83,54,34,84,70,14,23,50,0.666510650832794,2.91654215216295,2.99663623938578,0.00972044930156555,0.979571602208245,-4.23449777685052
"21","GB47342",32,51,60,73,70,34,26,36,32,30,20,47,0.682821466009333,2.55529676332241,2.94785545204723,0.0107016306485628,0.979571602208245,-4.28555346487611
"22","GB47805",492,547,659,555,321,1840,2402,789,10134,3593,7831,2683,-2.52231917617499,7.73218318202914,-3.98338505136227,0.00138949065873243,0.979571602208245,-3.92445284727786
"23","GB47806",21,29,27,28,15,26,30,34,173,38,61,51,-1.27136252398528,2.39741276401881,-3.35200772713145,0.0048138543072095,0.979571602208245,-4.24725399390553
