"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB41965",17,11,31,21,32,26,17,8,33,25,75,38,5,4,6,4,10,4,7,8,8,10,6,2,17.9402076240451,2.31928900278638,0.350982177024024,6.60799651552573,3.89555855332035e-11,4.47054299579044e-07
"2","GB52318",238,175,2368,100,1861,276,531,113,566,1213,2284,3825,75,391,86,109,123,498,448,167,858,152,105,233,721.557950681601,2.38512964433854,0.507781571566622,4.69715676561453,2.63807977184787e-06,0.0151373017308631
"3","GB48344",78,169,80,57,133,128,119,116,120,140,270,287,52,136,44,53,40,53,52,58,200,98,68,101,110.595587331342,1.12994293830941,0.253139751886174,4.46371196104158,8.05518351990762e-06,0.0304025904037003
"4","GB50550",419,310,1299,290,586,471,1696,2373,7067,6731,2525,4521,197,1059,195,476,273,546,1627,222,1381,318,515,361,1809.80560092167,2.53048036508477,0.574505895965824,4.4046203578654,1.059692938435e-05,0.0304025904037003
"5","GB40006",11,30,11,8,10,22,239,22,753,371,426,690,11,36,9,25,8,12,150,13,31,30,25,10,159.021916818578,3.32201267187352,0.769328818343447,4.31806607612416,1.57402312648246e-05,0.0361269787990254
"6","GB42637",182,77,288,61,156,42,212,27,121,195,132,302,43,54,22,22,34,96,76,28,204,67,37,80,114.787279107958,1.65470560732934,0.387825447156208,4.26662463606432,1.9845264570065e-05,0.0379573760343444
"7","GB45462",6,12,7,6,7,12,60,8,35,50,61,121,4,16,3,6,5,5,22,10,19,4,12,12,24.3714017010159,2.17632976634464,0.529050208648242,4.11365449019538,3.89444197528281e-05,0.055865770135432
"8","GB52441",25,39,48,25,67,49,61,269,54,120,72,120,16,50,7,38,31,37,34,31,83,39,51,34,58.1545851682551,1.34203610781572,0.32570479742111,4.12040632634765,3.78204812674559e-05,0.055865770135432
"9","GB42908",7,16,40,7,6,7,17,4,202,70,93,32,5,4,1,5,9,2,31,17,30,9,8,6,32.4219506231131,2.53331826630566,0.625823642318597,4.0479746928704,5.16627307014712e-05,0.061256734889502
"10","GB46013",1134,1245,1347,886,1292,1485,781,1541,910,1004,1142,1359,794,1425,707,543,680,784,799,975,1517,1195,1239,821,1049.9390941284,0.471493290908068,0.11734781809594,4.01791271928541,5.87159361959325e-05,0.061256734889502
