"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB52184",99,16,16,58,12,73,25,199,136,42,17,90,6,311,242,877,20,106,70,51,160,205,276,433,152.339368244918,-2.22672090591081,0.51882327777839,-4.29186777325347,1.77176449681162e-05,0.246027218027262
"2","GB40414",185,135,99,255,96,143,208,281,238,209,246,203,241,164,131,155,115,127,169,184,66,96,170,100,157.157055216188,0.252283142766352,0.0690920059088619,3.6514085739403,0.000260805944400114,0.42672158261787
"3","GB43444",808,713,470,1192,465,812,1180,1639,894,831,770,944,2089,1119,1254,1001,699,964,928,1575,660,652,846,962,933.881571888694,-0.40662450207832,0.108289426359291,-3.75497881694554,0.000173356139302214,0.42672158261787
"4","GB43660",51,56,18,37,54,41,62,43,40,63,39,45,38,33,18,26,20,24,28,20,27,20,25,12,35.1930012653498,0.806323187142573,0.222764776222133,3.6196170723981,0.000295039304010191,0.42672158261787
"5","GB44620",7,1,4,10,1,7,8,14,4,7,6,12,1,5,2,0,2,1,4,0,2,2,4,0,3.90089113301623,1.58145209312233,0.424881795197973,3.72209897198691,0.000197573546585588,0.42672158261787
"6","GB46394",21,27,6,32,5,22,14,48,43,15,13,20,26,4,11,35,44,217,33,545,30,24,42,5,49.5793347461561,-2.06568302492881,0.543196947479452,-3.80282517144843,0.000143055312952919,0.42672158261787
"7","GB49803",89,65,47,131,41,68,112,147,106,93,107,116,169,100,80,79,96,93,118,127,71,69,131,91,93.2786565119157,-0.309724695281032,0.0850557567317104,-3.64143130556101,0.000271126474063005,0.42672158261787
"8","GB52511",143,116,104,222,78,154,182,232,193,173,220,207,219,161,159,232,213,137,211,291,160,121,274,187,177.750229069,-0.410371503989287,0.10448717364393,-3.92748209830755,8.58398079575233e-05,0.42672158261787
"9","GB54988",118,72,38,184,80,104,112,352,101,65,33,109,157,62,56,50,47,19,86,38,8,22,36,27,73.1860322525782,1.05727945491355,0.292951128513438,3.60906428413043,0.000307303458604256,0.42672158261787
"10","GB55030",14292,11334,8582,17209,9672,8882,9848,22952,7715,12976,7901,14080,28536,13166,8688,23672,11170,14500,17008,36831,12224,15170,20637,21350,15030.3412163883,-0.718432721386718,0.185258146302774,-3.87800879866605,0.000105314909365656,0.42672158261787
"11","GB48798",177,106,68,308,59,175,209,302,203,196,203,243,342,183,166,200,234,184,209,267,117,130,242,224,186.24860673531,-0.372797414508064,0.104771564080221,-3.55819270028862,0.00037341532819449,0.471385931573517
"12","GB40378",20,11,3,15,6,10,34,31,10,13,11,15,20,13,7,6,4,2,9,9,5,3,3,7,9.95438227196175,0.859607991342137,0.292321781269665,2.94062244560954,0.00327553512599238,0.494392182168806
"13","GB40519",184,119,52,167,80,103,227,327,121,196,91,127,172,144,70,65,64,53,114,122,64,58,129,63,111.77439599958,0.513312169265661,0.166775024514071,3.07787194612195,0.00208484481906875,0.494392182168806
"14","GB41346",324,208,143,574,121,241,293,505,339,367,290,494,595,355,259,383,389,287,306,527,229,223,430,343,323.194982462461,-0.357970179229727,0.104924767609835,-3.41168427039882,0.000645628469789353,0.494392182168806
