"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB47118",82,38,35,81,44,50,70,114,47,35,111,33,432,262,60,209,160,229,415,169,219,94,41,75,110.37648711787,-1.19515293964868,0.250828345696398,-4.76482407253638,1.89018495683528e-06,0.020678623427778
"2","GB50505",58,60,42,100,42,37,68,88,24,35,39,55,341,186,61,172,104,165,264,120,176,78,43,107,89.9309890983799,-0.983043175523069,0.214532479732259,-4.58225801869222,4.59981843039111e-06,0.0251610068142394
"3","GB42652",149,73,63,147,82,48,170,152,72,60,152,153,348,214,190,241,91,306,370,220,362,188,137,285,161.285151146481,-0.739831034811698,0.168053330158107,-4.40235866861819,1.07080343251165e-05,0.039048631838925
"4","GB51901",5,5,2,3,4,1,6,12,1,5,5,5,112,12,3,17,12,21,43,19,32,10,4,5,11.2129892919742,-1.87964280477476,0.436079115923887,-4.31032520507777,1.63014638357075e-05,0.04458450359066
"5","GB41706",23,10,11,5,87,14,9,107,37,13,14,1,7,4,12,9,7,21,13,9,9,3,6,2,18.3615174592783,2.01304889041083,0.481246879655439,4.18298585510232,2.87705298873274e-05,0.0566579906893295
"6","GB50170",70,37,34,148,43,38,55,70,31,27,57,25,448,218,42,135,193,186,343,163,192,82,44,62,98.4739732734923,-1.23605069281476,0.296738787821133,-4.16545036761362,3.10738522976213e-05,0.0566579906893295
"7","GB46130",33,24,12,43,26,22,25,29,19,16,40,10,123,91,19,66,31,72,195,49,61,48,28,55,41.0288055906988,-0.975486166258364,0.240153808222217,-4.06192253822489,4.86702281747801e-05,0.0582241335344677
"8","GB51271",172,132,106,148,177,159,173,258,83,124,199,184,179,115,109,186,125,164,170,172,152,223,134,150,155.9449459371,0.427012528987637,0.10546656759955,4.04879516520323,5.14819771912341e-05,0.0582241335344677
"9","GB52656",773,267,336,506,633,296,483,1173,356,472,643,315,1518,1013,864,1139,922,1162,2584,1784,1058,721,492,689,755.738188622627,-0.720180045064674,0.178934899962784,-4.02481598175907,5.70198852885617e-05,0.0582241335344677
"10","GB53688",1,5,0,1,1,4,5,4,1,1,1,2,8,10,2,7,4,8,12,11,14,10,4,10,4.5735780561345,-1.50682457905936,0.374962005389913,-4.01860603847702,5.85434615063203e-05,0.0582241335344677
"11","GB54884",28,16,20,80,31,29,34,43,17,24,51,21,460,188,9,98,66,129,343,72,138,72,19,50,69.1286288246989,-1.4815865474449,0.366865323236741,-4.03850256103061,5.37935062080523e-05,0.0582241335344677
"12","GB40443",9,14,6,7,10,13,7,18,10,11,25,5,6,8,10,7,5,9,8,7,7,10,4,8,9.60232368278295,1.01594118519084,0.262753451114277,3.86651890158802,0.000110399911128178,0.0778552681687126
"13","GB41306",2510,1020,922,1411,1559,272,1527,2173,869,593,1149,861,5721,3834,1767,2306,1988,4355,4983,4236,3328,1639,871,2486,1931.39565678698,-0.896851386913828,0.229796528422306,-3.90280650918125,9.50837128383255e-05,0.0778552681687126
"14","GB45523",515,507,385,342,435,461,446,769,227,265,696,278,316,345,422,576,311,344,394,482,381,515,259,357,414.83969325714,0.560657327102016,0.1448310693274,3.87111225309409,0.000108339883997169,0.0778552681687126
"15","GB47618",42,1,5,0,408,11,10,102,590,2,5,136,23,7,15,3,1,1,698,2,8,0,4,8,33.7815124219338,3.26933798755131,0.846384019101452,3.86271233124432,0.000112135026694255,0.0778552681687126
"16","GB51979",1029,574,652,899,516,856,572,1069,274,739,939,551,1864,1468,1205,1350,1556,1508,1520,1655,1881,1368,834,1328,1033.3966667295,-0.595372460298654,0.155446219821633,-3.83008645036086,0.000128098247443951,0.0778552681687126
"17","GB52446",224,169,189,285,202,224,225,501,104,140,213,134,781,535,294,520,515,506,576,502,532,275,140,369,310.075103769675,-0.658205341323171,0.171560042664709,-3.83658881811743,0.000124755089931258,0.0778552681687126
"18","GB55239",211,145,129,198,133,96,207,251,149,93,257,172,376,400,138,278,279,575,1068,340,380,339,159,383,252.406181761878,-0.719325057939066,0.187761977903332,-3.83104751010562,0.00012759886144889,0.0778552681687126
"19","GB41625",908,486,589,1225,534,464,638,898,443,524,636,310,5613,2372,531,1308,1681,2220,3430,2270,2532,916,384,566,1137.62905251754,-1.08054951234043,0.286338689574779,-3.77367625012562,0.000160859482920794,0.0926211970080784
"20","GB42303",14,19,10,34,24,23,18,19,15,6,14,16,75,46,27,40,33,61,107,46,49,22,10,40,28.4112757841454,-0.877390399243776,0.234941138663324,-3.73451156419692,0.000188079849516363,0.0979806454147146
"21","GB47956",50,28,24,38,55,31,48,91,30,41,87,62,159,112,70,92,66,127,195,73,157,64,31,123,69.1685551591119,-0.677693898306709,0.181104861539481,-3.74199727465057,0.000182563495721757,0.0979806454147146
"22","GB43719",15,7,8,12,8,6,15,17,8,5,21,18,41,17,10,26,14,33,50,23,39,22,16,34,17.279800387895,-0.771742364554565,0.207615067115857,-3.71717898549195,0.000201459722395535,0.100180425591234
"23","GB53304",46,44,17,1,22,47,13,10,26,18,11,11,7,13,11,6,11,13,8,7,18,17,12,7,18.5599445219189,1.48575796933671,0.401686911720559,3.69879606724729,0.000216624561942223,0.103037943810779
"24","GB50866",175,148,115,269,120,97,134,297,64,91,151,88,1095,353,153,328,294,449,979,440,317,205,76,185,235.504838936471,-0.952102898298432,0.258242355286784,-3.686858018473,0.000227039945034298,0.103492374944801
"25","GB41724",173,98,93,125,124,61,135,170,56,103,98,100,383,263,134,207,176,254,457,302,250,142,83,166,157.077954037739,-0.595246597823516,0.16227183739091,-3.66820643307056,0.000244257938540427,0.106887273905291
