"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB47595",126,127,83,167,190,186,108,106,49,63,70,94,0.943843871414023,3.76313228859722,6.35245887137945,2.18611338694484e-05,0.217081059323623,1.90734647516299
"2","GB40098",192,151,89,202,215,233,179,159,91,126,96,178,0.473269780683856,4.28735271538812,3.84918956046175,0.00190513783183991,0.288879640073883,-1.18558696753674
"3","GB40243",103,82,41,109,73,124,53,60,28,42,45,112,0.761720508211412,3.08910340624128,3.80081393823332,0.00209151105357191,0.288879640073883,-1.43577647309278
"4","GB40996",100,82,37,113,71,130,63,55,21,49,45,74,0.862770261510549,3.02516228625237,4.65731334022863,0.000413493312290733,0.288879640073883,-0.343246569044785
"5","GB41212",148,174,32,217,162,189,75,28,63,45,47,169,1.2769542084443,3.53145889822447,3.75844579935698,0.00226995519103399,0.288879640073883,-1.42209692781123
"6","GB41247",336,258,156,262,234,265,171,170,148,80,145,169,0.910866120986025,4.59228143481597,3.81956839235167,0.00201714636205107,0.288879640073883,-1.21857587710698
"7","GB42278",82,70,34,61,39,56,32,37,19,12,25,35,1.1740918541103,2.26326946190797,3.8759059193184,0.00180955649339784,0.288879640073883,-1.57742840270996
"8","GB42592",79,43,34,31,37,44,8,25,7,8,24,16,1.78780494001179,1.61960603886097,4.31697697904024,0.000780452007610197,0.288879640073883,-1.39853532558745
"9","GB42738",116,130,60,218,260,258,794,350,103,427,248,585,-1.06545873606618,4.89736815193265,-4.26226054152162,0.000865399572553687,0.288879640073883,-0.537304284791823
"10","GB43218",699,464,327,649,555,757,562,423,256,269,397,657,0.53719626245132,5.9251069177684,3.98398556708393,0.00147022203525552,0.288879640073883,-0.959228143975204
"11","GB43937",44,26,21,39,25,37,13,14,8,12,18,36,1.06458444034849,1.50451273363375,3.90414689668678,0.00171382874521814,0.288879640073883,-1.82039929623071
"12","GB44123",731,446,471,452,359,641,290,294,186,145,296,498,1.03177256439823,5.54973158639007,3.77908808624245,0.00218115722154376,0.288879640073883,-1.27183960828245
"13","GB44601",40,36,29,37,28,33,27,19,10,8,13,29,1.04212530226114,1.59999434867417,3.94901441411354,0.00157224780314341,0.288879640073883,-1.73705198775363
"14","GB44888",162,106,100,264,313,324,813,359,142,399,251,518,-0.831346451192655,5.06955436907085,-3.95534651256832,0.00155325173150598,0.288879640073883,-0.995121969999316
"15","GB45063",141,97,72,61,37,78,23,30,12,8,35,23,1.93743074979928,2.31621472605624,4.04766667176402,0.00130148352445849,0.288879640073883,-1.40269904425813
"16","GB45493",126,120,59,131,143,126,102,83,67,62,70,109,0.60871032947715,3.62278223170756,3.94050070064866,0.00159816348643925,0.288879640073883,-1.1309544592198
"17","GB45548",54,32,26,18,14,27,3,6,2,0,13,6,2.8275959364046,0.344005045995348,4.2409923427519,0.000900935935386003,0.288879640073883,-2.14618158482851
"18","GB45627",101,80,43,103,93,112,89,63,35,46,58,77,0.624454073678268,3.18974986243026,4.6595919776662,0.00041175712837133,0.288879640073883,-0.272475143438554
"19","GB45748",43,11,5,17,17,18,146,73,74,16,36,119,-1.88207077979944,2.00986530049214,-3.77782431542435,0.00218649066406375,0.288879640073883,-1.82988459628328
"20","GB45852",402,304,213,417,322,554,240,285,148,114,176,464,0.809971400935535,5.1428860879959,3.85408372372761,0.00188725084581354,0.288879640073883,-1.15080551370843
"21","GB45863",161,101,72,152,153,174,130,98,57,105,98,139,0.463224876116714,3.88174524856594,3.87910947157752,0.00179842857838608,0.288879640073883,-1.18090603158538
"22","GB45907",126,99,71,118,130,179,99,66,71,52,65,85,0.826235902979472,3.55641851401034,4.55776605196067,0.000497237819277432,0.288879640073883,-0.292011873957674
"23","GB45911",917,570,455,522,357,906,314,271,153,141,329,606,1.23086000651622,5.66974371992646,4.23870439729206,0.000904847157881387,0.288879640073883,-0.570916015064903
"24","GB46001",23,15,8,14,17,31,9,5,4,4,10,18,1.21770833179884,0.557126316013693,4.07303823952593,0.00123990307230131,0.288879640073883,-2.0935952912538
"25","GB46087",135,76,74,88,121,196,59,36,42,40,79,122,1.00521491058329,3.34405475382142,3.84069897262234,0.001936579944313,0.288879640073883,-1.33213709089047
"26","GB47503",1093,768,207,1018,1937,1100,3747,1869,601,2990,2394,4637,-1.36289528276628,7.48274053629598,-4.02789402595306,0.00135164085677118,0.288879640073883,-1.01049370589528
"27","GB47995",10,7,3,23,27,17,46,27,16,20,21,42,-1.00367405675721,1.21713823266208,-3.78460867257164,0.0021580137102676,0.288879640073883,-2.06677565833013
"28","GB48005",436,342,138,158,131,495,40,78,62,26,207,106,1.98942917528411,4.06992800179251,3.78270960824504,0.00216594667059319,0.288879640073883,-1.34194004377606
"29","GB48216",940,912,438,1056,1136,1066,881,797,402,478,582,1039,0.49372251670132,6.61695291279002,3.83634114863373,0.00195292262669122,0.288879640073883,-1.22179605477392
"30","GB48481",281,239,125,297,340,373,820,413,210,368,245,961,-0.616857336001864,5.42711702143072,-3.87947576836703,0.00179716065909286,0.288879640073883,-1.11045369975212
"31","GB48854",750,528,297,505,377,572,235,330,161,130,216,474,1.14046854953522,5.4377386053612,4.51935741768679,0.000534076192422777,0.288879640073883,-0.14613721417801
"32","GB49004",663,329,348,247,333,494,152,175,155,90,215,344,1.25452207225031,5.05083450040193,3.797972874856,0.00210301745313281,0.288879640073883,-1.2452165156169
"33","GB49780",24,26,16,26,33,27,11,9,5,3,13,33,1.34336298923232,1.02478253410859,4.08487869751387,0.00121219430039575,0.288879640073883,-1.87291516867353
"34","GB49929",198,121,151,352,195,232,1834,608,147,401,251,1344,-1.31094351529819,5.3768081131768,-3.85153240228328,0.00189655384376246,0.288879640073883,-1.1637259486776
"35","GB50457",116,100,63,171,277,191,564,239,105,224,190,398,-0.769682369756738,4.57397844194048,-4.06859904617912,0.0012504581318839,0.288879640073883,-0.838887005926746
"36","GB50474",166,147,82,205,327,313,811,289,138,276,287,500,-0.724260551840154,4.99650600265562,-3.82598800884229,0.00199231487743332,0.288879640073883,-1.19633075821646
"37","GB50482",1195,731,692,2899,1915,1949,6628,4565,1124,3189,1700,4352,-1.07430536212482,8.03567392369384,-3.937671503661,0.00160687183191088,0.288879640073883,-1.18914531270929
"38","GB50655",207,71,76,214,164,191,556,277,134,356,189,349,-0.913396456969377,4.67324616499128,-4.33381409507495,0.000756077386318748,0.288879640073883,-0.437787477922209
"39","GB51109",10,11,6,20,19,17,28,31,14,20,19,43,-0.792804854028404,1.2181957432856,-3.76395903449803,0.00224588466312345,0.288879640073883,-2.07528301152508
"40","GB51650",35,20,29,93,76,85,415,156,32,131,124,360,-1.63784614870564,3.4659740515156,-4.44399462261142,0.0006147799135147,0.288879640073883,-0.521900441140613
"41","GB51801",25,17,10,13,26,16,8,13,6,4,3,9,1.41595023324512,0.497080773848545,4.23496044888202,0.000911285103347955,0.288879640073883,-2.00426573279014
"42","GB51905",134,185,66,104,114,117,66,60,66,46,42,62,1.15003959486729,3.37538384262584,4.07434546731261,0.00123681231334133,0.288879640073883,-1.00362972783399
"43","GB52629",31,15,17,27,21,33,15,12,10,10,9,19,0.993867010401954,1.14385282645375,4.34648957423182,0.000738245700608318,0.288879640073883,-1.55581496580304
"44","GB53373",334,218,137,383,675,557,794,917,297,880,656,729,-0.945119571027845,5.93215954233421,-4.11515639678741,0.00114418952546774,0.288879640073883,-0.764097229744879
"45","GB53965",100,45,47,160,152,118,277,250,54,197,168,458,-1.01951428210199,4.11571422209451,-4.06715992907149,0.0012538996435739,0.288879640073883,-0.890629091226551
"46","GB54486",514,354,167,482,913,397,1191,1179,631,1236,813,745,-1.13186221543083,6.32767990549169,-4.31837508702067,0.000778397543550676,0.288879640073883,-0.486777919006459
"47","GB54730",70,49,32,96,120,97,295,108,45,117,108,265,-0.833649921443357,3.62889106877439,-4.05695490000589,0.00127858405276073,0.288879640073883,-0.97465681534969
"48","GB54853",52,27,20,70,80,78,302,95,35,109,73,258,-1.19255148456667,3.25420310829771,-4.18574515473047,0.0010004277133492,0.288879640073883,-0.894649486812237
"49","GB55301",87,129,44,170,260,190,1365,366,91,408,202,599,-1.37806876081556,4.78700671447501,-3.8021570954802,0.00208609356016718,0.288879640073883,-1.25277656464884
"50","GB55406",274,180,139,473,681,527,1459,707,234,969,754,809,-1.07530103872452,5.9609875623472,-3.94092217623721,0.00159687030598657,0.288879640073883,-1.03312723521412
