"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB49890",412,395,443,253,520,427,1582,1179,844,1108,1205,1339,-1.090996646988,6.53542229252526,-7.7963354727571,2.4126016116801e-06,0.0238799307524096,4.79785988201338
"2","GB54551",129,119,106,63,88,54,65,46,36,53,36,44,1.45855230446485,3.1101846492458,6.84467144450535,9.96464261060512e-06,0.0493150162798847,3.34742671389416
"3","GB40563",333,276,296,172,359,185,717,469,623,517,690,645,-0.739150928206153,5.73860966927839,-4.78506464079593,0.000325899537851357,0.0762396945187307,0.499933859671753
"4","GB41786",596,537,691,344,400,277,640,259,121,208,232,273,1.30809068196155,5.50985149498852,5.23483668376571,0.000144822461396129,0.0762396945187307,1.25099679935627
"5","GB42334",213,198,222,119,159,131,156,121,47,159,132,89,1.11391870899353,4.19480303822129,5.0128024449694,0.000215422232487369,0.0762396945187307,0.876978809459857
"6","GB43702",51,43,30,29,25,34,35,18,5,17,16,22,1.45909779085859,1.70698847589681,4.84177543741835,0.000293794113822769,0.0762396945187307,0.305197629316518
"7","GB44186",934,678,749,491,385,643,586,447,218,505,439,370,1.08826980256874,6.08576947468937,4.8747613149485,0.000276647275499009,0.0762396945187307,0.65145914584816
"8","GB44254",2924,2203,3009,1778,1348,2679,2524,1163,836,1053,1217,1209,1.33172715183742,7.81310473211177,5.88567989754641,4.70050429740875e-05,0.0762396945187307,2.15498378446806
"9","GB44514",426,247,319,193,416,322,619,603,754,736,899,1066,-0.837323784079975,6.03187822372953,-4.69828200635376,0.000382247863258408,0.0762396945187307,0.352956887781674
"10","GB44528",132,159,123,72,63,141,59,59,31,71,62,36,1.58334833947873,3.33226676754223,5.29914122539396,0.000129248842794977,0.0762396945187307,1.26633791938679
"11","GB45221",596,257,548,208,631,290,1199,904,715,924,1154,1320,-0.929646009076365,6.39312245178699,-4.92788034497388,0.000251186388345894,0.0762396945187307,0.737182732703781
"12","GB45336",146,181,180,157,150,96,78,107,52,111,81,128,1.21070546674835,3.958996603072,5.07737262937046,0.000191798566420735,0.0762396945187307,0.9736524322717
"13","GB45459",3652,3145,4049,2085,2375,3875,2695,1482,349,1968,1716,1366,1.69566495220477,8.11310519829528,4.80996996965768,0.00031137366473375,0.0762396945187307,0.501360899303836
"14","GB45644",229,165,207,141,123,96,122,53,8,80,55,76,1.97838842777475,3.58497510896689,5.25100116955379,0.000140731996920167,0.0762396945187307,1.21128966719067
"15","GB45677",41,24,25,11,28,33,27,12,9,15,20,12,1.23625028767054,1.4157824054406,4.78003097133453,0.00032891981664997,0.0762396945187307,0.155202277713805
"16","GB45708",413,228,227,191,106,110,80,77,56,74,165,62,1.73806185463972,4.06000958285371,5.12593022470067,0.00017581973931759,0.0762396945187307,1.05162096658899
"17","GB46287",129,70,82,51,132,48,295,230,123,159,249,292,-0.942176614581794,4.13428957204732,-4.78031468528966,0.000328748814323829,0.0762396945187307,0.486987574541002
"18","GB46921",159,91,143,65,150,55,430,242,159,264,269,339,-0.904687832911241,4.48775493386422,-4.91420692326338,0.00025749830898776,0.0762396945187307,0.715059341301963
"19","GB46981",103,121,78,63,62,78,65,41,24,40,72,81,1.14162416734403,3.11079955167535,5.09011373977355,0.000187464762468618,0.0762396945187307,0.923328944835752
"20","GB47146",192,181,198,127,139,173,207,70,37,118,125,130,1.14545389939553,4.12602147551554,5.09598178184002,0.000185503199857396,0.0762396945187307,1.01048872199907
"21","GB47388",1550,1251,1091,1098,710,1074,822,859,477,728,971,869,1.01214469582791,6.95224349283476,4.73283329536187,0.000358691626270051,0.0762396945187307,0.407115233755705
"22","GB48369",72,70,71,39,66,47,145,114,89,111,156,190,-0.649000039045401,3.57138638162237,-4.84406718393918,0.00029256788453667,0.0762396945187307,0.572999903987302
"23","GB48385",298,229,421,138,198,211,355,137,100,149,145,194,0.976584145833813,4.73092093990726,4.93686298922458,0.00024712751111394,0.0762396945187307,0.756175679726589
"24","GB48629",351,260,264,197,208,277,294,207,67,198,169,168,1.0626806300873,4.80518119045331,4.64621614869301,0.000420815042639653,0.0762396945187307,0.261670731031774
"25","GB48828",363,340,319,188,268,231,412,207,122,239,245,248,0.743747948718029,5.09311717325229,4.66883810679168,0.000403585480060082,0.0762396945187307,0.298641185857433
"26","GB49180",729,640,672,384,563,558,577,511,411,424,679,708,0.583619629554357,6.23477086030675,4.7533899535953,0.000345395318201669,0.0762396945187307,0.446545423005454
"27","GB50628",297,210,309,166,362,182,665,514,390,442,712,747,-0.717241948430217,5.64031847756761,-5.23427539766488,0.000144966704334459,0.0762396945187307,1.24834397823677
"28","GB50701",305,212,356,161,302,206,845,428,403,400,633,694,-0.642519685352346,5.62684483487879,-5.21564214506811,0.000149841240771628,0.0762396945187307,1.21822933615033
"29","GB50820",77,71,60,43,44,43,25,31,11,43,47,44,1.30426748547831,2.47118369369308,4.78661100438484,0.000324977483045461,0.0762396945187307,0.372700897739202
