"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40069",18,15,45,11,5,18,48,16,31,10,54,76,-1.27518119677239,1.59827440812358,-3.09785680085012,0.00818451607859039,0.9992930348898,-4.37487513225224
"2","GB40138",19,5,15,32,4,16,48,8,18,12,25,43,-1.06034588192356,1.1556413603357,-2.47136349362983,0.0275114066021207,0.9992930348898,-4.46217395941119
"3","GB40409",76,34,51,140,20,45,111,30,165,71,95,94,-1.00508292098521,3.14416484922239,-2.53922448427904,0.0241698053015444,0.9992930348898,-4.33031060324285
"4","GB40843",173,115,238,186,144,241,127,59,154,101,133,180,0.335622166437337,4.29005579175616,2.49831802743733,0.0261341081318075,0.9992930348898,-4.24012418723027
"5","GB40968",11,9,2,5,9,2,11,5,19,13,15,11,-1.39831190720692,0.158305959930955,-2.62748264125918,0.0204052404642081,0.9992930348898,-4.48833083921297
"6","GB41162",47,36,78,36,57,72,38,15,24,19,39,65,0.541107622911551,2.41697903711392,2.51298592383477,0.0254127174936663,0.9992930348898,-4.38837212944002
"7","GB41667",645,414,698,364,392,711,525,337,733,498,581,851,-0.351202960960261,6.18237320330166,-2.48187988513023,0.0269659543030874,0.9992930348898,-4.2399046782203
"8","GB41767",124,114,129,154,49,237,211,107,243,102,258,216,-0.766693406608507,4.31139591450367,-3.00666115752319,0.00977966551736283,0.9992930348898,-4.10858398320015
"9","GB42081",28,21,60,21,22,60,24,8,15,11,25,34,0.615980947283035,1.68765041755485,2.53108930374247,0.0245487629902462,0.9992930348898,-4.42979290711259
"10","GB42682",113,78,60,38,48,106,95,75,89,119,80,121,-0.674077435661146,3.44780101471188,-2.48255034545853,0.0269315339563607,0.9992930348898,-4.31471989673798
"11","GB43096",12,10,34,14,12,22,21,2,1,7,11,7,1.20472761506215,0.423734334483302,2.51073049287966,0.0255223831493701,0.9992930348898,-4.48842303466009
"12","GB43582",10,5,8,23,2,20,28,7,16,25,14,23,-1.15783219732907,0.776531326450769,-2.62528548927577,0.0204916578609977,0.9992930348898,-4.46539742108518
"13","GB43851",47,24,51,34,33,58,29,14,21,20,30,43,0.436320825147595,2.09084092911011,2.45755925580806,0.0282434729429069,0.9992930348898,-4.41549944740094
"14","GB44229",25,17,24,10,9,18,13,2,8,8,8,10,0.835524373348561,0.606130267842909,2.68163015058408,0.0183839435822211,0.9992930348898,-4.46830053009236
