"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40304",473,457,289,487,520,288,490,350,474,519,580,228,120,347,195,230,512,219,497,288,150,356,419,168,0.723572528557597,5.53998925582321,3.61269563509444,0.00128684658465366,0.400612842417329,-0.928665766294922
"2","GB40305",8147,10601,3862,6192,8583,4888,6500,4222,4646,5718,10157,3179,2539,4822,3266,3478,6262,3404,5932,3955,1892,3413,6458,1612,0.834820309257761,9.34721590104072,3.47934933342852,0.001805541045353,0.400612842417329,-1.41338688598543
"3","GB41471",836,396,872,787,376,450,741,468,810,2105,825,325,330,749,346,451,698,543,746,536,337,401,420,336,0.513673024783956,6.28297573288588,3.54105624056321,0.00154420099673478,0.400612842417329,-1.09459845444046
"4","GB41655",722,253,645,327,346,526,712,191,255,614,681,312,614,707,454,1447,1282,507,621,957,306,664,871,500,-0.624197843873816,6.23576509726661,-3.46089685849258,0.00189171940543848,0.400612842417329,-1.26112620058269
"5","GB41915",503,295,583,478,214,420,695,183,430,605,634,299,502,701,442,576,786,592,522,846,244,549,669,505,-0.380927896812389,6.06952178320004,-3.70027051962402,0.00102866809766159,0.400612842417329,-0.753726414112662
"6","GB42196",614,270,422,472,241,246,312,358,504,626,462,327,195,241,226,269,399,342,452,281,153,323,373,265,0.508727251857365,5.53222513762432,3.6195500981147,0.00126454044096706,0.400612842417329,-0.913170030632867
"7","GB42215",91,59,133,95,35,51,99,36,102,144,90,32,38,65,39,63,76,87,50,62,35,50,51,39,0.544054247701622,3.11997057193091,4.22233652767238,0.000265791998546086,0.400612842417329,0.0619421647077036
"8","GB42597",107,105,124,96,127,52,97,4,104,108,91,17,15,35,21,24,51,43,43,22,43,9,39,10,1.47470378235635,2.55356049172214,3.83367506837208,0.000729892729845661,0.400612842417329,-0.850327914597694
"9","GB42598",41,21,43,72,92,21,49,13,47,93,73,14,23,22,15,7,42,18,9,12,33,18,19,11,1.30651134118969,1.89628914948376,4.16646240928418,0.000307565128065865,0.400612842417329,-0.51217306446563
"10","GB42792",7508,17042,4111,7756,11758,3726,5621,3153,5484,7069,10236,3132,2453,6190,2453,3534,5423,2890,6042,3246,1452,3346,5585,936,1.09940113326715,9.29569382427966,3.60988168336164,0.00129611471742791,0.400612842417329,-1.16931138294095
"11","GB43053",16304,18064,15193,18659,12558,7757,10252,8414,18351,19124,19103,6208,8293,9925,4579,10312,12465,10384,20693,11886,3909,9509,10076,3503,0.704635611249937,10.5508165480576,3.43596801865944,0.00201451524838246,0.400612842417329,-1.60930264515667
"12","GB43618",24012,32195,17826,24727,25296,14214,22196,16651,18360,30552,37525,8938,10569,17906,10275,12507,23900,15787,21893,13292,6487,12995,20991,6307,0.762886845373286,11.2053286524552,3.57301509092855,0.00142372613272514,0.400612842417329,-1.45188375557927
"13","GB44560",1741,1416,1924,2113,939,1802,1573,1292,2291,2809,2434,965,877,1327,637,1310,1851,1421,2410,1352,640,1339,2060,671,0.548814616808815,7.64943326234513,3.74111635682012,0.000926307740278937,0.400612842417329,-0.769550213039038
"14","GB44841",398,226,489,372,192,220,401,135,218,404,508,191,492,703,250,539,475,545,425,882,191,610,383,505,-0.644142645650981,5.68595292501601,-4.17621183890591,0.00029983449587558,0.400612842417329,0.276500615476504
"15","GB46025",23,18,34,32,13,32,47,11,21,34,36,19,40,36,25,34,56,28,39,73,29,39,47,27,-0.560931028093371,2.11867643272824,-3.86528555394795,0.000672683724970778,0.400612842417329,-0.908330198629904
"16","GB46597",211,205,238,182,136,99,239,139,215,346,210,127,89,215,89,103,202,115,190,132,157,137,115,88,0.565954973806317,4.45058909468175,3.7601730849726,0.000882033079708244,0.400612842417329,-0.638205190860512
"17","GB46814",101,111,324,75,101,141,228,94,182,230,168,78,91,124,111,103,152,119,77,81,80,83,100,54,0.607730465269314,4.01069830759619,3.41209087675888,0.00213936652843598,0.400612842417329,-1.38630559990357
"18","GB47076",216,133,306,188,77,183,283,106,213,312,242,112,192,234,188,271,418,182,313,343,122,268,229,204,-0.318654954329057,4.86293526685969,-4.01567157372949,0.000455554213132228,0.400612842417329,-0.0689903062926858
"19","GB47574",760,381,1005,832,425,455,985,184,482,843,1033,401,1142,1179,653,1066,1322,880,875,1489,325,859,958,636,-0.569283030552858,6.65724452341293,-3.60654315109351,0.00130719517413117,0.400612842417329,-0.976280331911571
"20","GB47665",56,38,110,55,30,74,109,36,72,82,78,36,84,81,67,68,129,65,108,112,47,101,90,79,-0.433152220681821,3.31167678536433,-4.0611867275814,0.000404694468026392,0.400612842417329,-0.196730990419067
"21","GB47953",15,11,21,14,12,25,35,12,21,38,29,8,8,16,9,11,14,11,13,13,9,25,9,10,0.661475030696505,1.08158890419277,3.56871999950161,0.00143936764461462,0.400612842417329,-1.73981917010549
"22","GB48173",24,37,18,8,19,7,35,17,13,62,15,13,3,9,1,16,19,9,10,10,15,10,2,3,1.3682136519648,0.732822881475054,3.52730654397543,0.00159903776607301,0.400612842417329,-1.93871287627216
"23","GB48444",120,86,180,109,58,95,132,65,121,178,164,82,115,135,100,120,193,137,152,174,92,189,136,148,-0.284124952730955,4.11047858660171,-3.58198538816691,0.00139159160829598,0.400612842417329,-1.0303602346238
"24","GB48523",50,35,110,69,18,53,74,22,33,69,104,45,107,75,49,68,144,61,98,120,42,75,84,80,-0.605342852704659,3.14961305600227,-3.79958701973897,0.000796945610539166,0.400612842417329,-0.744640892273449
"25","GB48539",559,799,859,695,343,361,665,396,902,1056,761,216,353,329,230,527,836,373,734,473,182,577,573,189,0.583634295222698,6.0812841024082,3.48609223085167,0.00177501196211725,0.400612842417329,-1.20355960798718
"26","GB48540",64,54,52,66,32,51,65,35,64,70,57,21,24,43,27,27,68,23,49,35,17,38,63,10,0.658982417094653,2.49002108319067,3.51634640082635,0.00164410315514655,0.400612842417329,-1.41536248639729
"27","GB48543",12,6,17,13,4,7,23,6,11,20,13,7,3,4,1,8,11,11,5,15,3,8,4,6,0.905620806150407,0.168611155079238,3.81268283932427,0.000770498776046532,0.400612842417329,-1.75820194173823
"28","GB49018",163,53,162,58,118,76,53,30,44,168,226,60,160,269,86,320,297,132,198,218,41,162,119,148,-0.90473219212247,4.01979100378943,-3.46860645129066,0.00185523785705019,0.400612842417329,-1.27340929046807
"29","GB49320",17958,17789,16179,24326,9852,7376,10937,11983,22480,25277,22950,6495,7479,8196,5899,11303,11134,13049,23534,11233,5653,8748,13732,4503,0.706831378848163,10.6908316690693,3.41663687899917,0.00211503122074537,0.400612842417329,-1.6569415926038
"30","GB49338",161,107,269,168,82,188,281,84,209,197,227,121,173,210,181,226,361,189,214,310,137,264,245,203,-0.383677072062071,4.72939771930192,-3.95657495907191,0.000531097263361209,0.400612842417329,-0.20228919395257
"31","GB49427",78,72,148,100,58,152,140,58,110,121,114,77,121,152,111,129,216,131,127,197,61,143,191,100,-0.447258808893936,4.00481895382819,-3.61071528360341,0.00129336236929405,0.400612842417329,-0.981432803931524
"32","GB49590",1060,1158,618,639,924,385,773,446,646,744,1015,438,380,428,409,452,845,432,833,489,277,457,558,227,0.720479838506938,6.30057025316942,3.62531445977597,0.00124607443461495,0.400612842417329,-0.919842032609014
"33","GB50303",1462,1055,2348,1908,885,1060,1422,890,1692,2433,1837,772,1194,1219,679,1291,1672,1343,1408,1261,682,1350,1259,803,0.329304188218682,7.46193177707153,3.41123460617175,0.00214398054974152,0.400612842417329,-1.41229181698218
"34","GB50509",594,315,910,445,318,247,601,248,455,1086,518,150,224,304,348,261,373,492,302,288,178,140,239,165,0.737707010008791,5.54861247363756,3.79196955715168,0.000812736765382585,0.400612842417329,-0.546700676638698
"35","GB50522",26,24,20,25,32,21,50,13,38,80,25,16,21,15,10,11,29,18,23,14,15,15,15,10,0.8318122923344,1.56969169240722,3.82037880021161,0.000755360929150789,0.400612842417329,-1.18461462059664
"36","GB50609",4483,3968,1776,3064,5389,2501,2334,1608,3879,3647,5648,2111,1589,1968,724,2124,3169,1587,3493,3351,1426,1407,1916,627,0.955739153895161,8.34689019609766,3.59906544365858,0.00133234995608215,0.400612842417329,-1.10358192210157
"37","GB50958",1594,1949,2431,1944,1041,1567,1869,1001,2152,3570,2233,830,1091,1115,490,1391,2132,1086,2504,1232,709,1836,1585,968,0.540553942150041,7.67256047226773,3.83485420811153,0.000727675313902283,0.400612842417329,-0.584208097290893
"38","GB51772",100,55,72,81,28,46,69,67,64,123,68,39,27,34,39,36,32,29,86,59,27,38,48,35,0.743463707015104,2.80778731840141,4.33514664866746,0.000197838253923116,0.400612842417329,0.166858976639902
"39","GB51841",1018,864,1379,891,687,759,1131,473,1238,1787,1265,476,774,710,559,693,1165,861,988,859,450,650,581,452,0.448057609851203,6.82444749474465,4.20454546742933,0.000278443474061666,0.400612842417329,0.257287883376486
"40","GB52389",7,6,4,12,2,5,8,1,3,16,10,2,12,10,15,21,14,12,12,15,3,15,12,5,-1.03189306518765,0.162086666798654,-3.95612075292035,0.000531723242847453,0.400612842417329,-1.55902892883975
"41","GB52455",176,125,226,154,94,236,247,94,193,232,225,100,243,242,166,189,358,250,204,306,120,265,230,192,-0.390202859002987,4.75302267727207,-3.69680275320985,0.00103785172760723,0.400612842417329,-0.755781166162577
