"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40089",501,409,182,146,230,229,265,370,388,131,252,142,210,87,165,73,158,165,162,316,211,178,198,187,0.790353021686307,4.83047276968148,3.5260438854153,0.00160702429345347,0.547984415094049,-2.66431696560374
"2","GB41192",9,9,28,5,8,10,10,24,21,18,28,19,12,10,18,5,7,9,14,13,12,14,2,8,0.728563387457934,0.72836638950971,3.23021125374505,0.00337431607288955,0.547984415094049,-4.01760943670484
"3","GB41740",348,366,578,260,327,193,277,703,404,218,352,231,365,258,197,124,281,306,277,429,372,369,217,317,0.437449830147283,5.41770875360027,3.19973029679089,0.00363858507408964,0.547984415094049,-2.93094350708304
"4","GB42544",120,91,221,62,80,49,107,195,139,81,152,123,111,172,157,174,150,231,265,147,164,169,84,183,-0.355816757882534,4.21906695750959,-3.34967778757164,0.00250604801994809,0.547984415094049,-2.9617442663121
"5","GB43221",21,16,31,9,22,8,19,29,30,8,21,14,24,9,6,2,7,6,16,21,20,11,15,10,0.934426408396567,0.958505040739543,3.67733417774393,0.0010931067916406,0.547984415094049,-3.83132675284495
"6","GB43434",1207,838,1577,479,891,380,993,1646,1548,636,1305,740,1205,1134,1367,1185,1228,1464,1598,1263,1540,1862,616,1588,-0.304945949292649,7.26845818646595,-3.13369165748182,0.00428112894133558,0.547984415094049,-3.28140918845786
"7","GB43541",43,39,57,11,29,18,18,65,65,25,40,37,33,15,13,23,15,23,37,56,19,22,24,31,0.697759068903277,2.00207838760842,3.38657455212574,0.00228470029885785,0.547984415094049,-3.66185937821437
"8","GB43818",329,180,424,140,139,163,230,615,491,180,379,146,335,243,333,811,407,529,662,389,511,396,199,560,-0.556527285186742,5.50182930570992,-3.25902989605484,0.00314153323362259,0.547984415094049,-2.89696401028537
"9","GB44102",129,69,174,58,154,42,78,137,136,61,140,133,110,130,143,168,144,206,242,142,166,185,69,207,-0.416281500795427,4.11998518801215,-3.13015814677414,0.00431841613514742,0.547984415094049,-3.17747825157117
"10","GB44315",43,43,74,15,22,35,41,144,106,21,81,47,33,30,34,23,51,28,30,52,28,25,39,21,0.828812124361762,2.4357447859103,3.71529382499391,0.000991835332425388,0.547984415094049,-3.36439798030424
"11","GB44757",960,557,1235,396,488,455,728,1575,1161,475,905,517,1018,795,940,1252,1032,1138,1417,1024,1317,1286,411,1306,-0.348188728183887,6.91528691815048,-3.27439956189357,0.00302379785781297,0.547984415094049,-3.10156593048022
"12","GB45264",5,3,13,3,3,4,8,14,12,3,12,5,8,9,15,9,11,20,16,10,10,10,6,13,-0.579169190963314,0.269557453012366,-3.13344752115004,0.00428369521112582,0.547984415094049,-4.11692328782897
"13","GB45267",447,306,982,262,345,229,569,886,560,311,638,462,540,634,670,668,638,959,1068,651,656,729,314,669,-0.356292860051754,6.26100761769418,-3.58532588858935,0.00138238271020425,0.547984415094049,-2.68902094158348
"14","GB45625",32,37,29,18,21,12,20,37,78,20,23,32,26,18,22,9,20,19,11,32,21,25,11,25,0.69789659655635,1.68572688640062,3.15609778162066,0.00405178361640349,0.547984415094049,-3.84464104170736
"15","GB45970",34,36,21,24,17,14,29,51,46,24,31,20,31,11,7,10,7,14,21,46,25,27,12,21,0.845476693029124,1.60443784670657,3.40128365748573,0.0022018461423095,0.547984415094049,-3.76743171325277
"16","GB46074",207,182,298,114,188,109,187,249,249,130,185,153,208,231,237,235,233,305,336,249,265,316,120,289,-0.262974778154801,4.88462928709897,-3.17462847603169,0.00387106693513033,0.547984415094049,-2.98238493257873
