"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40505",10,21,8,13,4,11,21,23,12,10,6,15,10,24,18,11,14,6,39,24,19,9,16,18,-0.495725505862032,0.962418304889549,-2.49209504770444,0.0194723576778798,0.99981101138925,-4.3253463507849
"2","GB40608",1783,1552,1398,871,823,894,1240,1036,657,2883,448,728,915,476,385,1192,265,299,491,1515,1407,377,1099,285,0.769722100307313,6.8021933549945,2.42837622789945,0.0224643503844832,0.99981101138925,-3.95386151212781
"3","GB40842",78,144,36,54,61,123,136,70,80,100,43,71,44,48,71,39,109,40,116,91,79,36,40,48,0.337957357309075,3.23665192458507,2.42482335885054,0.0226430385803293,0.99981101138925,-4.07536804980399
"4","GB40901",261,374,148,254,253,304,367,242,278,347,147,246,195,224,211,167,294,122,353,286,344,154,214,188,0.179916517523161,5.06454498780074,2.55151869917208,0.0170183910970821,0.99981101138925,-3.76661769586781
"5","GB41296",55,3,26,86,100,29,26,16,14,9,14,50,49,41,13,29,59,33,74,111,62,86,40,46,-1.11464340340109,2.2776074397905,-2.39936826302802,0.0239619999432915,0.99981101138925,-4.21726020489604
"6","GB41414",89,57,42,47,56,68,79,47,73,78,45,105,65,101,53,55,75,50,142,143,106,52,86,50,-0.356569644612586,3.28722051091338,-2.48511624928871,0.0197811129023487,0.99981101138925,-4.03884318488901
"7","GB41879",21,18,6,11,2,4,20,2,22,11,7,18,14,21,7,20,13,7,21,36,23,12,30,10,-0.789096575905184,0.815778876968861,-2.52230968830307,0.0181863535423542,0.99981101138925,-4.33311856138146
"8","GB41932",15,36,13,21,8,18,15,28,27,17,11,23,21,34,25,57,18,16,35,32,53,27,26,11,-0.607025035323592,1.65494878367876,-2.48194736781853,0.0199227986599396,0.99981101138925,-4.25952136951905
"9","GB42155",124,145,63,95,80,91,135,100,127,120,64,115,109,123,116,83,148,57,207,153,119,75,119,87,-0.190584423081078,3.90042160531193,-2.44926832424002,0.0214395962757017,0.99981101138925,-3.95731008087755
"10","GB42468",781,1353,559,688,646,554,1511,910,1064,1189,298,560,344,742,648,444,1021,311,1172,887,788,301,822,298,0.362002890003502,6.55159955343339,2.32913908518243,0.027974779721013,0.99981101138925,-3.98706975602648
"11","GB42620",18,18,12,32,3,8,45,14,32,36,11,38,26,32,14,18,44,19,43,33,44,28,36,266,-0.941878980969791,1.83585088219455,-2.47746400583065,0.0201248592306545,0.99981101138925,-4.24380752027096
"12","GB42667",9,9,3,11,7,9,14,7,10,11,6,8,4,9,4,6,13,2,5,9,4,4,7,6,0.488177357293151,0.0224017209713452,2.46472852933628,0.0207092041422198,0.99981101138925,-4.39869674076925
"13","GB43582",10,8,7,16,2,14,20,10,13,23,5,26,5,28,23,25,23,4,25,26,47,7,28,18,-0.788787094280629,1.00369926930618,-2.60470737270917,0.0150686777442049,0.99981101138925,-4.29736375731419
"14","GB43817",11,10,8,9,8,12,12,2,5,8,2,6,9,15,6,12,14,7,15,15,22,5,15,5,-0.659942893089634,0.340419057893335,-2.71360329006538,0.0117093007625109,0.99981101138925,-4.33388241269785
