"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40508",58,36,132,62,43,53,64,109,31,62,68,68,55,33,44,69,44,51,71,65,40,30,69,51,0.360993911767765,2.96416406505461,2.64500062443707,0.0137317530650064,0.999913511835918,-4.01874158862024
"2","GB40536",26,10,17,16,10,7,14,27,2,6,18,14,66,30,25,21,27,37,13,49,12,11,22,22,-0.921057066181469,1.29251450537592,-3.21253079611506,0.00351945212151321,0.999913511835918,-4.11703219500099
"3","GB41122",86,40,101,46,45,46,66,76,26,76,70,56,39,47,49,62,40,73,70,68,31,24,56,51,0.297158477201291,2.90400054508285,2.68909909115174,0.0123968085211723,0.999913511835918,-4.00990931714344
"4","GB41191",214,122,191,258,102,162,224,222,67,107,280,126,323,364,174,243,201,215,289,597,101,146,201,216,-0.488484414168462,4.75908296236289,-2.55840093216644,0.0167526839316403,0.999913511835918,-3.78206621956854
"5","GB41677",1210,1022,1243,835,960,818,1190,1230,642,870,1313,625,657,842,627,1491,843,1131,870,848,370,444,725,997,0.417026998562556,6.92376984348119,3.0826333772615,0.00484410083406112,0.999913511835918,-3.57209267834766
"6","GB42313",7,4,23,8,8,6,8,18,5,15,17,36,11,18,10,15,14,48,23,21,12,18,38,22,-0.744875560390044,1.03060303050553,-2.94919975278536,0.00669549330687852,0.999913511835918,-4.21568789897148
"7","GB42427",3331,1446,1703,414,478,700,2836,6137,54,220,2926,270,8375,2265,1410,2229,5494,6798,2551,8951,206,1082,2056,3409,-1.54930955762272,7.71359225177189,-2.58205217024513,0.0158714063658756,0.999913511835918,-3.9540068265909
"8","GB43516",93,84,97,23,41,68,154,515,17,27,294,134,175,406,310,252,170,454,199,770,53,114,139,346,-1.39470310650697,4.25459593919803,-3.52575158622723,0.00160475161692196,0.999913511835918,-3.28585448075611
"9","GB43581",1489,906,1296,1975,429,644,1726,1899,397,852,3374,1355,3711,3689,1100,2139,2240,4150,2349,5924,452,1042,1392,1809,-0.78395271710469,7.74190684157132,-2.88674645132822,0.00777747021901063,0.999913511835918,-3.79690827700309
"10","GB43582",10,5,8,28,7,2,14,20,4,13,23,18,23,16,25,23,10,25,26,47,5,7,26,28,-0.815405141259024,1.00369926930618,-2.7621058995581,0.0104508549949185,0.999913511835918,-4.26231610792214
"11","GB43704",1451,1417,1400,821,1040,1025,1428,1640,931,1095,1604,920,778,1103,598,1454,1108,1610,1300,1040,602,715,1122,1076,0.353163499036939,7.26317796440604,2.67249330805605,0.0128845523426952,0.999913511835918,-3.85770807830624
"12","GB44202",2595,2244,3465,3170,1080,3332,3375,3468,2147,3779,2140,1145,1358,2939,1087,3221,1187,4005,3107,1815,1119,1049,2567,1573,0.484083214463939,8.23994113850438,2.65664283781808,0.0133668230066692,0.999913511835918,-3.96314477559113
"13","GB44363",345,389,497,407,308,353,290,549,223,395,543,324,214,291,163,447,298,533,485,437,143,220,424,422,0.319307660348922,5.5868516541495,2.71600805707048,0.0116430275894431,0.999913511835918,-3.65150295820036
"14","GB44384",76,54,44,26,22,57,106,113,11,40,36,14,60,88,99,76,91,106,50,112,14,42,85,116,-0.727791899233125,2.90246517811155,-2.59150567145068,0.0155313793736138,0.999913511835918,-4.05594230531921
"15","GB44662",111,76,180,176,72,84,165,271,38,125,199,133,164,183,102,206,142,358,218,286,69,115,300,173,-0.47084650002813,4.35530572363497,-3.27787802795279,0.00299250948869032,0.999913511835918,-3.3564144367644
"16","GB45153",61,113,144,94,53,103,65,109,74,71,125,37,51,53,25,70,55,161,103,53,34,22,79,63,0.528883011828949,3.25430301059173,2.69094526303929,0.01234366487848,0.999913511835918,-3.94725162387168
"17","GB45425",66,36,78,44,26,44,54,82,26,62,52,42,44,43,25,50,47,75,57,46,23,28,52,36,0.260660697138327,2.6655233406465,2.5823434027161,0.0158608285660697,0.999913511835918,-4.09273475592447
"18","GB45464",34,21,34,27,11,28,43,49,8,24,30,32,6,14,16,25,28,26,28,18,7,15,38,27,0.541864241987281,1.64017316530355,2.62576843522459,0.0143550574032141,0.999913511835918,-4.21985502651386
"19","GB45609",479,542,2702,396,802,873,960,1167,1092,487,1366,864,247,1031,160,1024,564,1068,599,381,187,181,1016,296,1.04597283107934,6.43119349181473,3.41103710258822,0.00214430968043204,0.999913511835918,-3.28446499644464
"20","GB45870",225,135,157,180,83,212,173,244,97,161,265,195,193,318,240,265,182,232,275,391,107,143,223,335,-0.398199724737114,4.78869405457403,-2.70198949059634,0.0120301821549515,0.999913511835918,-3.67913645745807
"21","GB45987",74,35,122,44,23,25,98,52,11,47,58,30,33,26,43,48,24,44,31,53,21,19,40,17,0.575949825715718,2.38057499182229,2.67154774442097,0.0129128592291391,0.999913511835918,-4.10315911433299
"22","GB46412",19,5,9,14,6,7,18,14,1,8,37,13,30,33,10,28,24,35,31,44,2,9,20,32,-0.99174950633522,1.02661432267897,-3.04232197634212,0.0053443850981117,0.999913511835918,-4.19671141940083
"23","GB46554",28,15,12,24,13,17,15,21,5,27,27,13,4,10,1,16,7,30,23,9,3,5,11,12,0.939050352542082,0.767545666652868,3.2828941363497,0.00295536902249742,0.999913511835918,-4.17865926412649
"24","GB47474",369,422,712,407,361,303,593,693,205,467,583,221,417,462,209,438,359,677,397,437,127,175,281,268,0.411787673148728,5.68320010566812,2.74894253289023,0.0107790151549944,0.999913511835918,-3.63439916255456
"25","GB47508",56,43,203,89,36,18,67,86,25,92,68,56,53,25,28,52,65,105,63,32,17,13,70,33,0.613117856021396,2.76386674621367,2.56074608660755,0.0166633104358218,0.999913511835918,-4.08820389545369
"26","GB47928",112,144,28,31,32,133,140,186,39,93,145,69,156,162,102,147,177,297,120,240,58,81,119,209,-0.838557908356,3.901752141959,-2.93307267116451,0.00696030757792945,0.999913511835918,-3.68771333245139
"27","GB47955",1095,918,1902,1075,763,1042,1520,1672,786,1206,1282,1556,902,1243,564,1569,765,1772,1006,1004,609,732,1401,1099,0.32405964197966,7.25565260452934,2.79604843294455,0.00964755430906512,0.999913511835918,-3.78746676533935
"28","GB48080",11,0,6,6,6,1,7,10,2,1,58,14,34,30,1,13,18,35,28,43,7,5,9,13,-1.41603303731526,0.316474851758072,-2.59968673671873,0.0152426086799806,0.999913511835918,-4.35651945504765
"29","GB49870",241,296,412,387,154,227,211,318,187,345,328,210,119,250,58,213,151,598,433,184,98,132,260,244,0.510255085831274,4.98116364943665,2.71768052478571,0.0115976276469342,0.999913511835918,-3.65586146714319
"30","GB49959",117,79,207,95,57,154,147,247,75,128,163,144,145,161,128,252,151,223,192,187,96,98,194,194,-0.323582863119457,4.32046209447982,-3.04462885818362,0.00531447055705671,0.999913511835918,-3.51366558771987
"31","GB49998",66,42,64,35,16,30,66,71,16,34,66,26,69,51,43,58,68,113,75,105,23,29,54,50,-0.443303288090746,2.73693091434247,-2.76084958334384,0.0104817639871489,0.999913511835918,-4.01065461490485
"32","GB50235",1376,1335,1785,1301,820,1343,1162,1572,1069,1661,1500,834,765,977,844,1510,1182,1829,1630,1116,640,703,1200,1346,0.310110540756781,7.37330903408108,2.75484010116382,0.0106308086427492,0.999913511835918,-3.82467340285042
"33","GB50238",136,456,181,130,219,157,125,166,145,152,283,59,60,146,29,146,118,209,148,106,41,74,130,102,0.731159510334455,4.14482285021135,2.6420269155176,0.0138264473135652,0.999913511835918,-3.81373460883406
"34","GB50241",126,98,209,197,66,103,121,211,64,178,180,103,138,166,160,232,184,227,217,207,92,91,165,180,-0.296207416213263,4.35421378839122,-3.24687194316798,0.00323228105496116,0.999913511835918,-3.3723202110063
"35","GB50693",74,13,20,22,10,32,70,76,5,13,83,35,112,90,51,140,119,171,58,292,14,42,40,91,-1.46466338817739,2.71223943223573,-3.878130644424,0.000650396834413709,0.999913511835918,-3.58973860316437
"36","GB50958",1594,1949,2431,1944,1041,1567,1391,2132,1001,2152,2233,968,1091,1115,490,1869,1086,3570,2504,1232,709,830,1836,1585,0.404756214695135,7.67256047226773,2.56075574658509,0.0166629432135618,0.999913511835918,-3.95953627286589
"37","GB51238",394,562,2596,478,507,333,1315,1227,335,409,662,345,548,567,179,838,309,589,635,356,178,228,481,442,0.641675908247932,6.11111661101903,2.77556049593071,0.0101251713601197,0.999913511835918,-3.65540174722195
"38","GB51376",3,7,8,16,2,4,3,17,2,9,15,6,14,20,5,15,13,46,13,20,1,3,21,32,-0.982354530592939,0.351812807077421,-2.7757468869765,0.0101207274429619,0.999913511835918,-4.32183454617686
"39","GB52255",1142,1284,1221,924,946,924,971,1332,602,982,1416,687,812,897,538,1188,842,1311,1154,911,469,553,847,1002,0.345806163261161,7.0124786187003,2.86881336668681,0.00811758980483135,0.999913511835918,-3.71332100643825
"40","GB52269",38,7,5,14,58,32,12,106,3,10,24,33,2,1,6,3,13,12,3,5,5,21,8,26,1.54143854858178,0.645499170405964,2.72320104999839,0.0114489475915442,0.999913511835918,-4.31020744936179
"41","GB52729",585,596,927,484,512,654,662,919,422,658,974,474,602,615,354,763,459,761,660,765,267,330,565,528,0.333704569515806,6.34449803959593,3.09074988794986,0.00474894250234853,0.999913511835918,-3.47057118512983
"42","GB52837",94,105,102,255,27,47,48,43,19,85,201,68,194,627,165,157,117,238,3736,441,676,116,55,229,-1.84156531061645,4.28232570471474,-3.3996097423172,0.00220683356444429,0.999913511835918,-3.39794492598106
"43","GB53191",654,752,935,474,452,477,618,788,341,613,668,512,375,543,396,734,449,853,701,643,282,371,589,535,0.261231393459198,6.2703582999904,2.61979905825577,0.014553830812458,0.999913511835918,-3.7723098806656
"44","GB53207",70,38,66,67,30,42,58,78,31,52,84,57,60,54,46,78,62,96,81,99,61,52,99,68,-0.305039401869173,3.10437950089747,-2.70932455390504,0.0118261255249388,0.999913511835918,-3.96529369329843
"45","GB53306",431,170,474,343,104,120,247,491,105,149,734,140,1080,648,194,358,635,983,511,1980,121,152,387,408,-0.874802665565651,5.5343008678958,-2.82686452344812,0.00896902475559058,0.999913511835918,-3.58786859903823
"46","GB53419",89,82,204,115,44,130,133,264,67,138,128,147,162,159,92,265,147,269,133,238,73,84,195,184,-0.349399670591835,4.23666032858296,-2.56871249947862,0.0163630104599067,0.999913511835918,-3.83479608697595
"47","GB54093",16,19,21,21,18,19,20,27,12,10,24,13,8,10,16,20,10,21,17,11,6,5,16,13,0.569165232681294,1.06674983691415,3.04276729139551,0.00533859796113407,0.999913511835918,-4.18752550008885
"48","GB54776",1783,1491,2089,1304,867,1325,1023,1429,608,1198,1917,620,1247,1626,4107,2177,3586,1954,2228,2723,1573,814,1224,2541,-0.641620786151759,7.7599605331864,-2.86207937316284,0.00824890910575254,0.999913511835918,-3.81173334831575
"49","GB55511",208,105,915,178,128,95,330,197,94,212,202,236,163,141,90,103,117,199,189,127,56,44,76,93,0.915082006029524,4.33740963153705,4.00218499625725,0.000471547910773822,0.999913511835918,-2.91320961399451
"50","GB55807",19,7,16,12,11,14,11,18,6,26,18,32,12,30,14,19,19,31,24,26,15,16,44,27,-0.53008503832994,1.34592004102085,-2.55968147809747,0.0167038274528572,0.999913511835918,-4.27196673467415
