"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB48228-RA",6695,1409,846,3,31,4,938.03631419688,7.23550609489235,0.699988786454633,10.3366028640822,4.81297549686789e-25,5.13351966495929e-21
"2","gnl|Amel_4.5|GB44580-RA",1025,619,161,20,9,2,235.142874442946,5.62623975425703,0.628290308905899,8.954840898397,3.40225912795868e-19,1.81442479294036e-15
"3","gnl|Amel_4.5|GB44112-RA",7802,1398,396,6,22,27,891.34458814256,6.18440139682412,0.766328859271754,8.07016638092057,7.02024357032795e-16,2.4959305973706e-12
"4","gnl|Amel_4.5|GB40701-RA",5059,2135,870,391,237,95,1090.19417127631,3.11537727376158,0.422529139279217,7.37316550303733,1.666234200306e-13,4.44301349511596e-10
"5","gnl|Amel_4.5|GB47955-RA",1245,456,195,59,30,28,242.293253139861,3.45387915982379,0.477610570371001,7.23158023311935,4.77405906054892e-13,1.0184022787963e-09
"6","gnl|Amel_4.5|GB50438-RA",2762,664,367,161,98,39,452.008290663357,3.12250728895912,0.435111497978318,7.17633825690059,7.1603270797039e-13,1.27286747720203e-09
"7","gnl|Amel_4.5|GB54714-RA",1211,371,206,77,59,17,229.154560424746,3.1174146685713,0.436406293446153,7.14337697551089,9.10654277441188e-13,1.38757693188396e-09
"8","gnl|Amel_4.5|GB45052-RA",1441,1765,978,131,49,54,744.196665714606,4.1254379252888,0.585050083648429,7.0514269471806,1.77092196317826e-12,2.36108170740742e-09
"9","gnl|Amel_4.5|GB46422-RA",3711,660,688,236,131,64,620.131427103935,3.01053330772363,0.429778684557794,7.00484555398835,2.47258437588102e-12,2.93028721701633e-09
"10","gnl|Amel_4.5|GB48604-RA",724,583,176,48,36,18,225.391225832569,3.63132867562798,0.525975191828342,6.9039923023843,5.05610407848979e-12,5.39284061011721e-09
"11","gnl|Amel_4.5|GB45017-RA",699,572,243,36,5,14,232.510059487716,4.55504868398633,0.662575866088101,6.87475792150368,6.2095214642658e-12,6.02097781253264e-09
"12","gnl|Amel_4.5|GB43716-RA",8106,13166,3337,743,374,291,4251.99480909699,4.07390289817113,0.602626959109912,6.76024004002134,1.3776330478572e-11,1.22448617403707e-08
"13","gnl|Amel_4.5|GB40335-RA",442,538,256,25,39,15,216.791582003152,3.92104735927626,0.586977890754052,6.680059711004,2.38844913065646e-11,1.64170069680134e-08
"14","gnl|Amel_4.5|GB45655-RA",613,580,141,22,2,10,197.669336385493,4.99179194571439,0.747769972610107,6.67557153744812,2.46270496426227e-11,1.64170069680134e-08
"15","gnl|Amel_4.5|GB47352-RA",2282,2689,986,214,208,86,1025.38757080176,3.49133402252652,0.522226479348887,6.68547873497246,2.30170944052745e-11,1.64170069680134e-08
"16","gnl|Amel_4.5|GB53362-RA",786,577,201,42,8,1,224.69254217084,4.95883535411651,0.740378004651262,6.69770755338991,2.11714413536104e-11,1.64170069680134e-08
"17","gnl|Amel_4.5|GB51828-RA",511,302,141,45,29,11,143.338982966465,3.27623267803302,0.491653819915684,6.66369820658543,2.67021510275494e-11,1.67532436976377e-08
"18","gnl|Amel_4.5|GB47453-RA",2612,1026,433,195,117,88,554.345196801084,2.82088272459924,0.429571875048108,6.5667304785336,5.14320156070075e-11,3.04763265813523e-08
"19","gnl|Amel_4.5|GB41604-RA",3771,1839,749,395,273,124,932.197694422023,2.65684317431331,0.407260218016013,6.52369923891964,6.85941896436376e-11,3.70300907346388e-08
"20","gnl|Amel_4.5|GB46296-RA",224,274,167,21,15,4,119.372567187493,4.18821633743594,0.642180194658869,6.52187092076353,6.94357598624392e-11,3.70300907346388e-08
"21","gnl|Amel_4.5|GB48238-RA",1428,529,333,155,120,54,338.595116105091,2.40939362035756,0.370171966611973,6.50884950151605,7.57285439834011e-11,3.84628881012836e-08
"22","gnl|Amel_4.5|GB43800-RA",1070,482,269,103,74,47,274.066254060175,2.62807056203654,0.408254889996659,6.43732782247395,1.21595130109924e-10,5.64594079198594e-08
"23","gnl|Amel_4.5|GB53644-RA",950,504,253,109,62,26,258.740732249892,2.88401617541123,0.448302724093649,6.43318904930135,1.24954075887608e-10,5.64594079198594e-08
"24","gnl|Amel_4.5|GB55591-RA",11385,11198,3894,1321,1074,388,4424.78627944779,3.17537035804239,0.493785205868741,6.43067131275389,1.27041607920179e-10,5.64594079198594e-08
"25","gnl|Amel_4.5|GB50722-RA",213,204,71,8,8,6,77.0060765266381,4.23620812118916,0.661223282662607,6.40662274342615,1.48778341599548e-10,6.3474791660031e-08
"26","gnl|Amel_4.5|GB43618-RA",23951,7957,4561,2407,1189,370,4908.60253635898,2.88385558109629,0.451265743531562,6.39059273262694,1.65243956146969e-10,6.77881552409067e-08
"27","gnl|Amel_4.5|GB45681-RA",331,146,38,11,7,3,63.4260769798492,4.15614148419718,0.656330907842787,6.33238726766272,2.41396654730255e-10,9.53606192352926e-08
"28","gnl|Amel_4.5|GB41455-RA",1040,249,233,2137,2382,873,1062.1233781695,-2.31043474952008,0.367022304210881,-6.29507995294086,3.07241455782345e-10,1.02407417730453e-07
"29","gnl|Amel_4.5|GB48503-RA",553,190,87,30,17,2,102.890173105741,3.74436741167711,0.593927781141388,6.30441533561761,2.89283799831887e-10,1.02407417730453e-07
"30","gnl|Amel_4.5|GB55395-RA",1409,1413,623,159,89,71,591.570545001063,3.28772715182768,0.520843067740144,6.31231815389732,2.74886374627852e-10,1.02407417730453e-07
"31","gnl|Amel_4.5|GB55498-RA",500,412,172,46,38,7,172.832414874778,3.53991231730969,0.561728554716202,6.3018201364147,2.94170425576528e-10,1.02407417730453e-07
"32","gnl|Amel_4.5|GB55736-RA",1906,747,245,87,36,50,366.60526159732,3.40964372644827,0.541567212559068,6.29588285143165,3.05655153825748e-10,1.02407417730453e-07
"33","gnl|Amel_4.5|GB40349-RA",2377,563,563,5240,9743,2417,3228.23255416714,-2.76457016463278,0.440068895911382,-6.28213034440291,3.33964653065172e-10,1.07941423927064e-07
"34","gnl|Amel_4.5|GB46960-RA",587,201,88,32,17,2,107.738804679377,3.76277508599465,0.602495716164993,6.24531425707965,4.22948877043126e-10,1.32681550662999e-07
"35","gnl|Amel_4.5|GB42152-RA",4877,1809,1282,689,411,214,1225.21156359826,2.25329259553586,0.363814768239498,6.19351602036266,5.88367053427984e-10,1.79300656910368e-07
"36","gnl|Amel_4.5|GB54761-RA",1586,1066,274,104,104,53,429.803742935404,3.11190085492877,0.503797324197837,6.17689039909779,6.53764231890771e-10,1.93695813815193e-07
"37","gnl|Amel_4.5|GB43095-RA",3052,1548,769,406,207,78,811.598847586305,2.75053120129208,0.446061317146473,6.1662625642763,6.99229440018818e-10,1.9626266334844e-07
"38","gnl|Amel_4.5|GB48497-RA",1734,692,193,70,60,4,317.352411698717,3.98169353538102,0.645489233682144,6.16848946134664,6.89454442387038e-10,1.9626266334844e-07
"39","gnl|Amel_4.5|GB52526-RA",845,263,128,61,18,10,153.451885461732,3.37274067488374,0.549649260120587,6.1361688618371,8.45353010375176e-10,2.30801569708811e-07
"40","gnl|Amel_4.5|GB53927-RA",3422,3217,963,410,190,51,1206.187924198,3.55792634545781,0.580183737630308,6.13241308691233,8.65559983907037e-10,2.30801569708811e-07
"41","gnl|Amel_4.5|GB49283-RA",745,635,236,57,75,12,257.927636960449,3.42951369097575,0.561403379591818,6.10882266770332,1.0036877164458e-09,2.61105687405144e-07
"42","gnl|Amel_4.5|GB41910-RA",1010,379,154,41,28,34,200.520950652318,3.21759423668041,0.527765797899902,6.09663272891865,1.08326010160815e-09,2.75096481994108e-07
"43","gnl|Amel_4.5|GB41519-RA",3002,1374,765,406,293,148,807.778115907488,2.26124939950766,0.371192073674879,6.09185798910202,1.11607672014982e-09,2.76838937142277e-07
"44","gnl|Amel_4.5|GB52469-RA",429,198,82,35,14,7,97.0280284259182,3.33998729204379,0.549255810278161,6.08093210766822,1.19485882180053e-09,2.89644640757373e-07
"45","gnl|Amel_4.5|GB40109-RA",1125,817,366,104,52,58,370.344499186384,3.10572130976277,0.516705228951015,6.01062488968385,1.84809573710629e-09,4.38039758488348e-07
"46","gnl|Amel_4.5|GB55426-RA",5701,2330,760,534,200,120,1160.17680475433,2.94885763720505,0.495695118362056,5.94893418952575,2.69894119517142e-09,6.25802321471704e-07
"47","gnl|Amel_4.5|GB43946-RA",66,20,22,219,205,151,118.8433918656,-2.9070480422214,0.491450314226613,-5.91524302267702,3.31385922044187e-09,7.5203452011134e-07
"48","gnl|Amel_4.5|GB45615-RA",116,53,29,0,0,0,25.6569346448915,8.02574917737747,1.35875349617294,5.9066999275312,3.49028656999597e-09,7.75570761574522e-07
"49","gnl|Amel_4.5|GB50132-RA",385,241,132,41,38,12,121.977203515086,2.88793491091512,0.490799474996626,5.8841442545043,4.00118751514963e-09,8.7095236809359e-07
"50","gnl|Amel_4.5|GB41471-RA",2111,1264,512,266,95,74,591.864754161796,2.89498944493058,0.493427956472085,5.86709651724884,4.43492540471573e-09,9.4605828733396e-07
