"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"39","gnl|Amel_4.5|GB40021-RA",241971,156111,77132,98817,95360,58577,108124.984898949,0.284898761649231,0.499770492556697,0.570059188952437,0.568637553944172,0.999963576643555
"40","gnl|Amel_4.5|GB40022-RA",44,22,17,18,6,13,18.2301724350441,0.575598523287139,0.847489999893318,0.679180312876371,0.497023619781605,0.999963576643555
"41","gnl|Amel_4.5|GB40026-RA",4,0,0,0,0,2,0.793825179789745,-0.732500038665406,3.76978508378098,-0.194308169401194,0.845934589286284,0.999963576643555
"42","gnl|Amel_4.5|GB40027-RA",59,46,11,8,9,20,21.2636421327331,0.676681712798461,0.864655666202506,0.782602530982524,0.433860554764147,0.999963576643555
"43","gnl|Amel_4.5|GB40028-RA",227,113,57,113,48,32,80.9110848402736,0.434550389248582,0.596244284948611,0.728812669937852,0.466116260272656,0.999963576643555
"44","gnl|Amel_4.5|GB40029-RA",82,67,50,85,65,36,64.2091882392409,-0.258098641739125,0.663050182575562,-0.389259589276581,0.69708412661793,0.999963576643555
"45","gnl|Amel_4.5|GB40030-RA",290,112,21,89,47,30,69.0652864043996,0.383496006889459,0.648325246967846,0.591517928205068,0.554173446317421,0.999963576643555
"46","gnl|Amel_4.5|GB40031-RA",1044,344,56,376,147,36,219.194707614643,0.455618270886601,0.748724428989195,0.608525985323736,0.542838676921254,0.999963576643555
"47","gnl|Amel_4.5|GB40032-RA",1102,1313,454,1671,175,130,686.014055162064,0.290141146360686,0.803485336450276,0.361103225159656,0.718022282366965,0.999963576643555
"48","gnl|Amel_4.5|GB40033-RA",656,250,91,222,178,120,200.950537690516,0.0390016051350631,0.518379558350532,0.0752375445883034,0.940025712733168,0.999963576643555
"49","gnl|Amel_4.5|GB40035-RA",3,10,4,3,1,1,3.602785806137,1.52295711994706,1.56873019762299,0.970821574197216,0.331637137290714,0.999963576643555
"50","gnl|Amel_4.5|GB40038-RA",6,2,0,0,6,2,2.35128054083218,-1.30254777182413,2.07034373695934,-0.629145657588797,0.529253701771102,0.999963576643555
