id	CFB1	CFB2	CFB3	TFB1	TFB2	TFB3	logFC	logCPM	LR	PValue	FDR	sig	up/down
gnl|Amel_4.5|GB49386-RA	1939	978	735	181	148	142	-1.527783938	5.323461004	9.277396429	0.00231999	0.04050958	1	-
gnl|Amel_4.5|GB49387-RA	247	417	312	196	44	188	0.091579079	4.25863415	0.017929452	0.893480935	0.963796022	0	+
gnl|Amel_4.5|GB49388-RA	1113	466	505	175	503	394	0.342130613	5.262717751	0.480799729	0.488060295	0.75540746	0	+
gnl|Amel_4.5|GB49389-RA	634	76	82	38	148	98	0.075262834	3.471867028	0.012328221	0.911590558	0.970640383	0	+
gnl|Amel_4.5|GB49390-RA	1162	323	231	143	609	1162	1.653024219	5.687220437	6.232369918	0.012543575	0.119909276	0	+
gnl|Amel_4.5|GB49391-RA	479	264	307	158	284	218	0.590862369	4.490553874	1.388333687	0.238686702	0.549103777	0	+
gnl|Amel_4.5|GB49392-RA	342	243	96	479	462	514	2.502961807	5.180672702	21.73763435	3.12598E-06	0.000238578	1	+
gnl|Amel_4.5|GB49394-RA	920	224	182	43	133	103	-0.780499386	3.954226994	1.757342042	0.184956391	0.487178024	0	-
gnl|Amel_4.5|GB49396-RA	6	7	3	0	2	6	0.250035699	-1.212073693	0.045990989	0.830192179	0.937485547	0	+
gnl|Amel_4.5|GB49397-RA	233	484	492	78	45	66	-1.520876637	4.046371593	5.345681545	0.020773661	0.159927435	0	-
gnl|Amel_4.5|GB49398-RA	2352	1895	1828	855	585	390	-0.425583532	6.557539512	0.616750006	0.432257574	0.721039048	0	-
gnl|Amel_4.5|GB49399-RA	2867	819	564	493	944	539	0.371001311	6.149640648	0.515737103	0.472665799	0.744574297	0	+
gnl|Amel_4.5|GB49400-RA	1440	684	446	291	444	168	-0.132169524	5.279547074	0.069716725	0.791749675	0.920861927	0	-
gnl|Amel_4.5|GB49401-RA	157	36	21	4	43	20	-0.246565497	1.601485589	0.095183988	0.757687427	0.904253267	0	-
gnl|Amel_4.5|GB49402-RA	1137	790	932	94	131	69	-2.060093708	4.997268156	15.34764556	8.94323E-05	0.003502202	1	-
gnl|Amel_4.5|GB49403-RA	783	170	220	54	222	86	-0.326928357	3.993101882	0.304279656	0.581211817	0.811240526	0	-
gnl|Amel_4.5|GB49404-RA	921	1710	1449	712	300	747	0.00330426	6.308171065	2.84934E-05	0.995740977	0.997948979	0	+
gnl|Amel_4.5|GB49405-RA	47	14	26	9	26	9	0.276978215	0.76719231	0.138412631	0.709864199	0.878638437	0	+
gnl|Amel_4.5|GB49406-RA	3012	1413	1205	444	963	520	-0.230796629	6.394915496	0.225417969	0.634942348	0.842008889	0	-
gnl|Amel_4.5|GB49407-RA	145	74	69	12	90	43	0.209202636	2.400086375	0.096171531	0.756473239	0.904253267	0	+
gnl|Amel_4.5|GB49408-RA	370	51	61	13	78	38	-0.427175352	2.611022703	0.345764544	0.556520567	0.795818888	0	-
gnl|Amel_4.5|GB49409-RA	2570	805	716	274	539	325	-0.425823598	5.760983606	0.747106384	0.387393916	0.689123765	0	-
gnl|Amel_4.5|GB49410-RA	904	224	233	122	308	116	0.09325305	4.391816205	0.028816057	0.865204446	0.952965962	0	+
gnl|Amel_4.5|GB49411-RA	238	158	99	40	30	35	-0.843955864	2.733476816	1.866716702	0.171851594	0.469317575	0	-
gnl|Amel_4.5|GB49412-RA	1400	1519	1444	563	260	232	-0.756565736	6.006420248	1.671129439	0.196107324	0.49923985	0	-
gnl|Amel_4.5|GB49413-RA	1919	909	906	289	309	248	-0.770522239	5.610129791	2.544314227	0.110691963	0.374998225	0	-
