"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40806",88,146,428,95,150,311,669,1552,1179,1384,335,614,-1.8204088002947,5.79744494203619,-5.66179087430266,5.92988894780155e-05,0.19619618292394,1.79639701331515
"2","GB41757",83,175,116,78,75,202,63,90,41,86,89,43,1.22471525638927,3.65940020006327,5.31127013550807,0.000110924269918925,0.19619618292394,1.10138395781095
"3","GB44143",98,313,522,137,170,359,559,1491,651,657,802,434,-1.1631074071586,5.87756908444761,-5.86028435633783,4.19058785070048e-05,0.19619618292394,2.1198768412521
"4","GB45400",171,237,504,96,204,353,670,1621,970,996,414,1004,-1.48831269640602,6.0349475352537,-5.33409424839918,0.000106437963668918,0.19619618292394,1.33282998977746
"5","GB45972",258,484,380,225,183,446,208,383,262,207,289,166,0.785110847083661,5.33433427055291,5.28406923775181,0.000116529112803765,0.19619618292394,1.31795151254955
"6","GB46188",117,228,236,96,117,227,71,200,164,138,133,99,0.747168262065524,4.38892669170969,5.74120704669437,5.15750815262828e-05,0.19619618292394,1.90169439222065
"7","GB40577",102,187,313,128,130,170,246,657,346,437,328,365,-0.80313155086838,5.17909578912947,-4.75707175261835,0.000308632629302334,0.24559815877032,0.465537626195713
"8","GB41760",211,2070,5199,724,999,1760,8684,11040,14362,22181,3735,3181,-2.45579802382223,8.86552857658956,-4.41420400130835,0.000592270884566956,0.24559815877032,-0.321471175268562
"9","GB41833",15,37,36,12,21,53,70,88,78,65,65,70,-0.980771520059267,2.67353551240613,-4.68036251724077,0.000356670557428634,0.24559815877032,-0.0926966314245288
"10","GB42426",2184,4220,8644,1132,2738,9351,15204,25459,20877,27187,8874,6435,-1.66076038884355,10.094571227041,-4.36985373033352,0.000644979354520471,0.24559815877032,-0.532098566138009
"11","GB42586",82,155,540,98,272,543,568,1050,1079,1211,784,600,-1.49987901521179,5.97213509861313,-4.42408579405089,0.000581142691750119,0.24559815877032,-0.0941650343330664
"12","GB42853",8,22,39,9,11,39,40,102,56,108,59,30,-1.25642979199932,2.26456716274509,-4.4075979402711,0.000599832192674792,0.24559815877032,-0.602428168088977
"13","GB43239",144,218,278,139,140,236,138,235,115,132,207,124,0.713768436864755,4.62949239924562,4.27459059096025,0.000775118651255062,0.24559815877032,-0.335074904771449
"14","GB44412",87,157,200,90,99,120,107,153,88,78,87,77,0.759300349522093,3.97807588024649,4.35954303628762,0.000657909579373997,0.24559815877032,-0.247527552476911
"15","GB45951",1056,1125,1346,1112,1036,1810,894,1259,606,880,877,756,0.973820955405365,7.23300697814581,4.46005056235611,0.000542425272505343,0.24559815877032,-0.07701094881598
"16","GB46813",54,69,125,61,81,82,122,263,171,230,180,195,-0.910118333003808,4.13849350817412,-4.61459240041545,0.000403991383495289,0.24559815877032,0.159970613373907
"17","GB46914",1073,1424,1331,919,1053,1394,938,1440,1009,1068,1008,741,0.693222420564308,7.33032340400718,4.26885599651718,0.000783764666070193,0.24559815877032,-0.389380676434601
"18","GB47016",24,85,92,33,39,98,114,194,141,178,119,78,-0.796952710533264,3.63403711881757,-4.59491248933397,0.000419375953173703,0.24559815877032,0.0488519464888553
"19","GB47503",207,1018,1100,373,514,985,2394,4637,1937,1717,1099,1087,-1.24960335452684,7.27831795608904,-4.30183635274196,0.000735357701906532,0.24559815877032,-0.337345581057523
"20","GB47840",22,58,121,26,71,142,158,214,260,367,154,273,-1.4271839137793,4.09051973263636,-4.29931126152253,0.000738953023427253,0.24559815877032,-0.363139346044558
"21","GB47933",288,532,1374,124,334,721,1488,2719,3131,2446,1100,860,-1.60744475780561,6.99626547862758,-4.49060714904533,0.000511619358653608,0.24559815877032,-0.0230696490206004
"22","GB48270",74,138,124,69,50,109,56,86,45,47,98,60,0.950812742219416,3.45900403169618,4.33019529690071,0.000696191025936232,0.24559815877032,-0.371803417351767
"23","GB49331",394,974,2089,425,884,1562,2786,4943,4020,4539,1485,1604,-1.30182111884717,7.8770177590657,-4.38661656643772,0.000624512470859365,0.24559815877032,-0.247392442754105
"24","GB49970",103,182,289,120,132,255,244,544,324,388,340,289,-0.592335092766599,5.14063792027809,-4.60640410213484,0.000410320527176096,0.24559815877032,0.224119637629041
"25","GB51732",34,43,105,25,97,95,120,405,233,337,144,147,-1.43380939287734,4.01179516461013,-4.63896807116683,0.000385739804306406,0.24559815877032,0.1583959537137
"26","GB51846",3,3,13,4,4,23,23,54,24,53,21,47,-1.91227248424182,1.14407751851922,-4.256783858782,0.000802290560227733,0.24559815877032,-1.25325101029369
"27","GB52773",98,131,164,69,80,117,81,125,43,59,90,53,0.999331155726276,3.66987158100797,4.4001521276828,0.000608473787517512,0.24559815877032,-0.229898683919685
