"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42626",590,359,392,1240,1282,838,210,149,80,85,38,67,3.28169459178448,5.20409828641359,7.17647187225867,5.03507394962114e-06,0.0508643170390728,3.3202790586037
"2","GB40534",91,155,296,80,178,147,149,145,145,139,70,125,0.494765237564218,4.30353495157772,4.18474722913264,0.000938011438577733,0.418709875068772,-0.553731414143612
"3","GB41284",744,267,1064,498,583,1081,196,325,263,492,317,265,1.43848963326628,5.99932355247042,3.89036807233091,0.00166352923567424,0.418709875068772,-1.00809359300072
"4","GB41427",1610,2663,5404,1621,3276,3032,2077,2935,2718,2515,1385,1952,0.556248069395322,8.47850503107762,3.79181062770854,0.00201820077785328,0.418709875068772,-1.29793096373124
"5","GB42048",25,10,37,58,49,93,9,7,1,2,33,1,3.24793222171152,0.986896775168502,3.83781494223489,0.00184396190572271,0.418709875068772,-1.95536381719264
"6","GB42177",35,70,72,50,100,27,112,128,167,154,53,158,-0.928027157552779,3.57319551424671,-3.99489901217558,0.00135621890323472,0.418709875068772,-0.951355502528947
"7","GB42244",197,199,1034,400,575,804,224,178,141,178,372,173,1.49516825921758,5.45262111627966,3.83472950874223,0.00185515432615204,0.418709875068772,-1.09676935531965
"8","GB42549",22,38,114,29,46,35,28,50,24,35,6,24,1.0246114312891,2.21082700660621,3.81389706135008,0.00193255350302757,0.418709875068772,-1.48817611092792
"9","GB42621",3821,1236,18040,2313,2461,5052,930,1790,1574,739,1696,779,1.85926672725747,8.24987956278958,3.73687947973702,0.00224831867792568,0.418709875068772,-1.36814804213485
"10","GB42637",212,76,204,195,132,302,28,27,67,37,121,80,2.06158597035426,3.79431380282679,3.88494286449369,0.00168129301245275,0.418709875068772,-1.11099519690922
"11","GB42753",240,275,811,260,508,459,314,456,394,324,182,331,0.536004379928563,5.69259985287133,3.81500458965146,0.00192835724576925,0.418709875068772,-1.12713866760904
"12","GB43206",29,50,111,34,51,94,49,48,37,27,20,37,0.939659951759457,2.69288867108361,3.9181248576471,0.00157559025545915,0.418709875068772,-1.22768773660875
"13","GB43350",48,64,183,38,104,94,62,91,70,55,23,40,0.857185749075572,3.23057319125779,4.06492972780557,0.00118334065643866,0.418709875068772,-0.902487626057521
