"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40695",611,3729,2475,3406,2461,1027,309,1408,121,333,289,218,2.34031581900996,6.84813551578334,4.80099359638903,0.00029277940696434,0.634588591754564,-1.95283756323075
"2","GB48125",277,676,675,649,484,570,215,596,464,180,237,240,0.657864126532673,5.85471136084329,4.76333141389884,0.000314090572042449,0.634588591754564,-1.64523022997967
"3","GB48190",254,698,788,803,484,801,275,552,435,183,266,227,0.759282062217769,5.95492610908695,4.96519091587234,0.000215972436024445,0.634588591754564,-1.53521205828432
"4","GB50149",2689,5174,14107,6675,5775,6931,7367,28581,27993,9413,10296,9382,-1.32879360679289,10.3676969070673,-4.77905689187838,0.000305003469098989,0.634588591754564,-2.88510538004268
"5","GB54362",21,62,64,61,67,61,18,45,39,11,18,23,0.953792247834403,2.3719647901059,5.28551554683378,0.000120488294575103,0.634588591754564,-2.79207315998155
"6","GB40217",63,377,187,321,157,123,63,161,95,42,63,60,1.04259686232091,4.05702340539498,3.69507483653029,0.00245149967509676,0.855906502973334,-2.74511361899727
"7","GB40234",155,486,362,455,332,412,148,508,273,75,129,106,0.79903947203946,5.14043653660098,3.7573882710233,0.00216896534339999,0.855906502973334,-2.42754162984599
"8","GB40263",195,452,335,486,388,578,117,556,233,100,155,114,0.91850868842141,5.2460075943486,3.95704241828547,0.00146746183456086,0.855906502973334,-2.26430545374095
"9","GB40673",2009,5847,9313,6091,5683,6159,7109,9529,9417,5764,7274,8554,-0.813356865937889,9.89115210803326,-3.8867727452796,0.00168327474942741,0.855906502973334,-3.14185354853554
"10","GB40696",4630,15927,7039,16942,21742,8597,2753,7197,1313,3674,3525,1978,1.60936257138598,9.70085196172769,3.7133153295341,0.00236513384528037,0.855906502973334,-3.20123196424279
"11","GB40697",6326,18846,10161,21503,19786,13656,2757,9901,2121,4296,4758,1780,1.69630745183492,10.0140343930387,4.15804138426037,0.0009932489838141,0.855906502973334,-3.05679784561289
"12","GB41860",30,109,98,111,81,142,35,79,48,34,36,34,0.866921228123942,3.15760520171851,4.27584493266549,0.000791471744693814,0.855906502973334,-2.7662185928124
"13","GB42275",8,48,37,48,38,30,10,22,35,6,6,10,1.10190023932455,1.52754743695317,3.62923021258064,0.00279073093616997,0.855906502973334,-3.66119624484316
"14","GB42558",113,66,115,102,159,77,182,863,135,243,131,589,-1.70008754067987,4.60953497926192,-3.81285496967564,0.00194534962201036,0.855906502973334,-2.51466583684953
"15","GB43003",2,1,12,1,3,1,9,30,14,3,5,16,-2.27146457479081,-0.361193594461979,-4.37426069531988,0.000655385838448298,0.855906502973334,-3.92637101364397
"16","GB44112",112763,262800,183028,406031,204089,145796,46488,169755,34189,59114,71927,38089,1.52475623032441,13.9686074539249,3.91125480398551,0.00160463686132342,0.855906502973334,-3.75431162180457
"17","GB44502",884,2609,2052,2044,1352,1690,750,2709,1055,295,525,343,1.10614484143197,7.31011694368395,3.77881811442546,0.00207962925825651,0.855906502973334,-2.66117328868047
"18","GB45763",127,181,296,82,125,300,44,72,87,35,75,18,1.54477415840411,3.73111974391387,3.63114748189036,0.00278021118721362,0.855906502973334,-2.94130417806577
"19","GB46020",6,9,14,10,7,11,2,6,1,1,5,1,1.65025812417475,-0.445364267802379,4.07441048115783,0.00116790497657758,0.855906502973334,-3.97661592733844
"20","GB46248",38,72,76,76,112,54,86,175,99,85,58,122,-0.735521255011595,3.59039131045263,-3.66470992422647,0.00260242130635186,0.855906502973334,-2.91235227619397
