"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB49287",21,75,51,68,51,43,112,96,156,138,48,61,-0.987438563305934,3.31007469729849,-5.91504141660706,4.00148682061217e-05,0.404230198618241,0.0469589701751412
"2","GB50922",2,6,6,6,8,6,26,32,26,19,11,6,-1.67725213186612,0.582382172941914,-5.22940060071158,0.000133780282608604,0.522211461028741,-2.32791543049407
"3","GB55156",251,564,544,422,389,293,234,240,378,355,156,178,0.654832214449588,5.50919596165622,5.1478766364496,0.000155081605928155,0.522211461028741,0.245399332642309
"4","GB40607",4,12,8,7,7,4,12,15,26,16,7,8,-0.965020806999537,0.503291198954544,-4.1324719835326,0.00104577957126868,0.685128011932529,-2.83016667640508
"5","GB40694",80,121,80,80,57,38,110,202,218,196,69,53,-0.904162522605433,3.79330225575182,-3.64455407375155,0.00271197831514753,0.685128011932529,-1.8964403199094
"6","GB41360",17,55,87,93,85,31,36,35,27,43,15,14,1.03413387582214,2.45690106150492,3.47761829828496,0.00376890658742016,0.685128011932529,-2.50583505008199
"7","GB41372",152,310,270,195,268,155,264,348,507,380,180,208,-0.496088830733976,5.21765926543308,-3.917879416143,0.00158692746834421,0.685128011932529,-1.28433097070751
"8","GB41675",32,78,55,73,53,61,78,91,173,120,42,47,-0.615133536704643,3.32717751972376,-3.68859543118225,0.00248691838820428,0.685128011932529,-1.98184711479821
"9","GB41898",76,54,56,84,60,41,62,114,197,238,101,66,-1.03627961281175,3.61495980089079,-3.54149096656226,0.00332259333826336,0.685128011932529,-2.07354769645849
"10","GB42424",177,290,256,360,210,355,431,527,872,463,426,413,-0.988331469350462,5.74848101580846,-4.48213849686509,0.000534886156031856,0.685128011932529,-0.566382097435566
"11","GB42564",111,241,256,180,153,118,221,322,391,316,118,148,-0.518383189036882,4.85853515518237,-3.69938427951633,0.00243473073597024,0.685128011932529,-1.60745829500481
"12","GB42888",4,16,13,7,6,4,29,37,118,25,9,9,-1.88934520326872,1.05873091226304,-4.15461289327234,0.00100195779829777,0.685128011932529,-2.61236288435493
"13","GB42904",12,18,5,16,4,6,60,42,38,24,10,13,-1.63747010151922,1.19785659562776,-3.54394556581749,0.00330654732577054,0.685128011932529,-2.92876382869289
"14","GB43005",957,6687,2889,1030,1845,1140,3158,5110,5731,7728,5155,2426,-1.37965234613997,8.73605695245457,-3.63635673658613,0.00275609139109152,0.685128011932529,-2.09699339152395
"15","GB43222",147,215,167,251,206,140,213,350,536,448,196,135,-0.669638468657795,5.0584242495362,-3.85294842203232,0.00180161191071789,0.685128011932529,-1.38535856926012
"16","GB43510",294,1286,846,378,734,370,728,1082,1335,1345,851,772,-0.887228877014405,6.77982738567649,-3.59023653874878,0.00301816280968131,0.685128011932529,-1.83353627374505
"17","GB43513",1,15,3,6,13,8,10,39,26,18,14,11,-1.49302372359927,0.641178532369902,-3.5090361529058,0.00354228846504158,0.685128011932529,-3.14419147662893
"18","GB43711",21,66,34,77,23,39,104,100,119,80,45,53,-1.03993843246687,3.02948711995426,-3.92042878679584,0.00157905108156941,0.685128011932529,-1.85992572050442
"19","GB43802",5,8,12,11,3,10,10,27,40,30,13,8,-1.35612036143221,0.832535285175514,-3.82084454660982,0.0019184580545389,0.685128011932529,-2.87687925518096
"20","GB44198",1019,3068,2208,2539,2051,1653,4029,4035,4995,3956,1511,2013,-0.709807392498011,8.51736104114236,-4.41104408586119,0.000612383598775049,0.685128011932529,-1.23571464508754
"21","GB44229",8,17,17,13,14,8,18,30,39,29,8,13,-0.774517005928697,1.25042905910099,-3.5914909090444,0.00301071208295387,0.685128011932529,-2.84406730331377
"22","GB44276",96,135,117,106,93,86,142,278,258,268,134,65,-0.805363050789843,4.29343456025912,-3.72016637570445,0.00233731039522106,0.685128011932529,-1.67643481186404
"23","GB44832",17,23,20,14,13,16,26,54,94,30,22,14,-1.09250710441158,1.81895239782143,-3.53740124540407,0.00334950300486988,0.685128011932529,-2.67918617833416
"24","GB45676",28,63,46,60,40,42,98,133,97,94,49,40,-0.839381272191335,3.13668237098387,-3.95742082259365,0.00146914419933519,0.685128011932529,-1.77168315479592
"25","GB45968",2037,6761,4102,3414,3062,2931,6781,9235,14683,6669,3121,2999,-0.849536362697402,9.41228030116128,-3.9049921311719,0.00162736032507515,0.685128011932529,-1.95233735271978
"26","GB47258",80,158,134,137,132,94,123,211,289,266,105,87,-0.514649622275843,4.35804361252271,-3.83590881546319,0.00186269924671937,0.685128011932529,-1.50568479926537
"27","GB47779",66,42,29,100,54,56,88,162,239,219,97,42,-1.3347510621632,3.57392806115959,-3.85181379670228,0.00180561548917622,0.685128011932529,-1.73956209350698
"28","GB47838",47,122,89,84,96,67,141,212,272,137,66,50,-0.713127529819231,3.8860963722309,-3.51523395620088,0.00349923113801641,0.685128011932529,-2.0251946139982
"29","GB48134",481,338,722,1036,449,465,210,312,562,296,156,173,1.06275598306203,5.781266465596,4.15322193613009,0.00100465462422689,0.685128011932529,-1.00186497434381
"30","GB48481",125,340,248,217,210,140,245,297,961,373,216,214,-0.720074167771168,5.23837034781664,-3.73820668893293,0.00225595146227073,0.685128011932529,-1.53328021893278
"31","GB48913",61,101,56,53,49,43,86,110,184,131,53,54,-0.790593501576039,3.44418318601781,-3.78316758554327,0.00206546255446393,0.685128011932529,-1.84061592919053
"32","GB48935",83,193,133,89,87,53,164,175,299,281,97,76,-0.79848887987316,4.21269166354504,-3.52354841242274,0.00344229632235337,0.685128011932529,-1.94633583174998
"33","GB50047",43,105,81,29,33,35,94,166,205,155,65,41,-1.23313329589819,3.3929102022905,-4.13402328689929,0.00104264621452224,0.685128011932529,-1.49853690268683
"34","GB50453",787,3153,1729,1297,1295,843,2609,3366,4500,3451,1115,1116,-0.816526794727882,8.03288373153243,-3.55649293637056,0.00322573673214366,0.685128011932529,-2.06281499371808
"35","GB50525",285,736,379,426,462,248,691,879,1682,861,344,315,-0.773757965670638,6.24979677145967,-3.72105435971739,0.00233323695150264,0.685128011932529,-1.59654119972497
"36","GB50607",688,1372,956,917,1119,801,601,701,986,781,458,490,0.521086763059182,6.84833289440255,3.56269045062288,0.0031865603004595,0.685128011932529,-1.87780810917668
