"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40008",943,345,474,867,955,396,1066,1360,458,721,1046,1178,-0.697577391962301,6.84376750148427,-3.45757247755453,0.00392786130558256,0.970635563491151,-3.90134671341777
"2","GB40074",83,34,67,101,121,71,109,133,108,126,132,129,-0.750828816755813,3.87966243057575,-3.31517047553764,0.00520336959552527,0.970635563491151,-4.03868679706645
"3","GB40083",1261,303,359,1385,499,1100,299,349,181,251,378,528,1.03235160422279,6.15789259963688,3.03454472519249,0.00905526495483983,0.970635563491151,-3.96546215083356
"4","GB40167",1,3,14,9,9,15,16,17,18,10,26,21,-1.48423198704951,0.768348609719063,-3.06225149351754,0.00857390466608478,0.970635563491151,-4.43471672499372
"5","GB40417",198,221,120,272,315,182,148,177,90,94,199,218,0.407176039063271,4.74920218083618,3.02706662824955,0.00918970813775174,0.970635563491151,-3.96752194638567
"6","GB40420",13,12,20,23,13,11,16,46,15,17,38,32,-0.88266384221297,1.594643420454,-3.02256394505298,0.00927160930115754,0.970635563491151,-4.37876807612352
"7","GB40421",18,4,16,24,6,9,29,61,14,31,24,36,-1.55595111032602,1.50350023882711,-3.71579304654933,0.00236232782341203,0.970635563491151,-4.3266429863531
"8","GB40678",11,3,6,12,16,18,17,20,14,9,45,29,-1.12322079065647,1.12520349318204,-3.03765572043634,0.00899990977572726,0.970635563491151,-4.41268192465747
"9","GB40728",103,123,164,148,143,88,86,69,37,45,83,115,0.741075391986564,3.83053882939963,3.45732740249994,0.00392976149994513,0.970635563491151,-4.0188232833057
"10","GB40871",19,5,8,17,42,5,26,50,22,13,44,31,-1.24983105819718,1.54220738068469,-3.48423064668025,0.00372659200820278,0.970635563491151,-4.34126110826437
"11","GB42145",20,15,18,32,33,35,37,55,20,25,51,55,-0.760516135885389,2.24031121067214,-3.59999271595052,0.00296635135099882,0.970635563491151,-4.24794495683215
"12","GB42866",20,13,44,30,30,43,55,59,47,28,72,62,-1.03168448079098,2.5600386802521,-3.48060378742775,0.00375335249584729,0.970635563491151,-4.22472788259098
"13","GB43938",522,422,361,767,682,481,419,441,281,257,470,488,0.34445010614395,6.10039410111709,3.04654417725983,0.00884359325838203,0.970635563491151,-3.94237188894346
"14","GB44214",251,251,136,385,348,240,361,432,177,238,378,436,-0.428680758604494,5.46126649092036,-3.13779993167682,0.00738652238613977,0.970635563491151,-3.88214487597921
"15","GB44523",240,97,195,157,383,199,290,626,156,285,341,421,-0.842776536139652,5.27475381405546,-3.28845141682498,0.00548541912067723,0.970635563491151,-3.84675019068083
