"","x"
"GB40007",0.0168111907135039
"GB40008",1.2193311290637e-06
"GB40010",0.00636145403930194
"GB40018",0.00728581342650042
"GB40057",0.0398872706956491
"GB40061",0.0387339240531972
"GB40074",0.000321138820315276
"GB40075",0.0355394129096019
"GB40077",0.00070137364238059
"GB40095",5.07796955588931e-10
"GB40102",0.0273920414004963
"GB40108",0.00541004468111349
"GB40109",0.00587943856577149
"GB40112",2.02611459744629e-05
"GB40114",0.043259991352313
"GB40129",0.00420262570853866
"GB40134",7.15584944601095e-08
"GB40136",0.000877374302855251
"GB40166",0.0201653198432453
"GB40168",2.8993367975333e-05
"GB40207",0.037129012376102
"GB40221",0.0226180708773073
"GB40234",0.0424387190596083
"GB40263",0.0354473730082915
"GB40265",0.00782571879011079
"GB40270",0.000139226220696605
"GB40278",0.0159793391630966
"GB40280",0.00210015090956462
"GB40306",0.00211013604867928
"GB40307",0.00297086518144032
"GB40318",0.00366712030844135
"GB40338",0.0404784917081873
"GB40341",0.0235104727392497
"GB40364",0.019925401544619
"GB40378",0.0145109440004423
"GB40391",0.0388217929321772
"GB40395",0.000735781670270029
"GB40399",0.0428727598761672
"GB40401",0.0416089349202541
"GB40423",0.0171048701444959
"GB40426",0.0171786348259895
"GB40435",4.78443503102232e-05
"GB40441",0.0288176332684817
"GB40473",0.00109408088701632
"GB40492",0.0284786937498337
"GB40498",0.0327691032516429
"GB40500",0.0182743072071068
"GB40506",0.00874117672739679
"GB40509",0.0126848742335716
"GB40510",4.02576370702262e-05
"GB40514",0.00182160435234933
"GB40515",0.00825366938646436
"GB40519",0.00219975963176499
"GB40521",1.55610056388669e-05
"GB40523",0.0295683808969514
"GB40562",4.19360178079028e-05
"GB40572",0.0128410464732624
"GB40576",0.0403835315914372
"GB40580",0.0121304941967181
"GB40589",0.0124151388485308
"GB40609",8.32706707927228e-06
"GB40624",0.00117935439628529
"GB40629",0.0239979408904158
"GB40638",0.0051853370059989
"GB40648",0.0146529973781367
"GB40651",0.0358552499677643
"GB40653",0.0111597988238613
"GB40655",0.0356008283646194
"GB40670",1.85585331705267e-05
"GB40672",0.0352389833526232
"GB40691",0.000756350673433066
"GB40694",2.52620348348362e-05
"GB40703",5.85188661464396e-09
"GB40705",0.0210820420198108
"GB40711",1.46616157821229e-08
"GB40720",0.0236357613578176
"GB40727",0.00435794621198738
"GB40731",0.0252267025528674
"GB40735",0.031343103966334
"GB40741",0.0421898998449607
"GB40758",0.00375045774503045
"GB40759",0.00055527762874401
"GB40782",0.0246109191689412
"GB40784",0.00366712030844135
"GB40795",0.00148742736667522
"GB40800",0.023998993742814
"GB40808",0.000268257529878232
"GB40810",0.0373976999503161
"GB40816",0.0159594662987897
"GB40845",0.0138151794773667
"GB40847",0.000899834928599805
"GB40865",0.00519672129134014
"GB40868",1.33307513950104e-05
"GB40870",0.00811616106069387
"GB40871",0.000335211002713121
"GB40873",0.0379371434907952
"GB40876",0.0223971285429018
"GB40877",0.00196086015394222
"GB40879",0.00571701488050348
"GB40888",0.0228761312681487
"GB40895",0.0359790519623329
"GB40916",0.0148642454646498
"GB40944",0.00154761105637003
"GB40949",0.00112438774214807
"GB40963",0.00272227491333581
"GB40984",0.00363259310317436
"GB40997",0.0355431057502806
"GB41000",0.0065501771177419
"GB41011",0.000604457468955546
"GB41015",1.05347833956088e-06
"GB41078",0.0114364573147621
"GB41137",0.000814358262482589
"GB41153",0.00749409295754941
"GB41165",0.0162044770761307
"GB41173",0.000712422035557894
"GB41183",0.000744270670997416
"GB41189",0.0307111609543535
"GB41193",0.00836876050190507
"GB41196",0.0201847995190126
"GB41203",0.000846778155866925
"GB41204",0.02399205507183
"GB41205",0.0318339627344866
"GB41206",0.0158253452108817
"GB41210",0.00884526227335977
"GB41227",0.0185810264771658
"GB41233",0.0437263090306267
"GB41244",0.0165901469877461
"GB41246",0.0385088830231367
"GB41251",0.0225647560963516
"GB41301",0.0318339627344866
"GB41306",0.00232013369787345
"GB41308",0.000115530811960614
"GB41310",7.23628485555946e-07
"GB41335",0.0480149892383942
"GB41340",0.0223620140817465
"GB41343",0.00581673884342096
"GB41344",0.00113892368250628
"GB41346",0.00315838599150826
"GB41352",0.00341373307697618
"GB41374",0.03749378500366
"GB41378",2.39748225626494e-06
"GB41392",3.94996359903163e-05
"GB41393",1.50562347733381e-05
"GB41398",0.0164365624974385
"GB41419",0.000326433414136285
"GB41430",0.0473477410540045
"GB41464",0.0174983004470934
"GB41465",0.0436083741442611
"GB41469",0.000298262710265872
"GB41471",0.0166140438818164
"GB41485",0.0142804633074792
"GB41490",0.00141065594453534
"GB41495",0.0124983234385046
"GB41520",0.000307473572034833
"GB41521",0.000605734472898692
"GB41523",0.00694136605473197
"GB41580",0.00594376574475255
"GB41595",0.000737550898012391
"GB41603",0.0228252144688304
"GB41606",1.49173296315108e-06
"GB41609",0.0080477698801916
"GB41617",0.0223971285429018
"GB41625",3.09008461672081e-07
"GB41626",0.00211013604867928
"GB41629",0.000198418660421116
"GB41630",0.00028193376730101
"GB41634",0.00404583558541104
"GB41640",0.0215840912597179
"GB41646",0.0476461872679343
"GB41655",0.0137355524471057
"GB41662",0.0150627508406086
"GB41663",0.0135887772191034
"GB41668",0.0462956409400114
"GB41671",0.00572356553097484
"GB41680",0.00366390505687882
"GB41681",0.000166689822720891
"GB41690",0.0137866682639366
"GB41703",0.00549741013556504
"GB41704",0.00442199576232388
"GB41723",8.28916033986861e-06
"GB41724",0.00214276456492055
"GB41727",0.000221027529177596
"GB41728",1.81108936981514e-06
"GB41729",0.0230637357889369
"GB41730",7.14714572563507e-06
"GB41731",0.00805537056006594
"GB41732",0.0063956001707466
"GB41735",0.0017773945216541
"GB41740",0.0358552499677643
"GB41753",0.0391206099743513
"GB41759",0.0138151794773667
"GB41762",0.0158757936715604
"GB41772",0.0281414599635495
"GB41773",0.00926831795780169
"GB41782",0.00483611873225633
"GB41785",0.00267709464315694
"GB41786",6.32412649615212e-11
"GB41800",0.00124746691820322
"GB41801",0.0043180296410898
"GB41811",0.00597348178641132
"GB41818",0.0139838162085577
"GB41821",0.00285961133261791
"GB41834",0.00211013604867928
"GB41835",0.00308685714337752
"GB41836",0.000604457468955546
"GB41848",0.00172927445389994
"GB41861",0.0282216691360533
"GB41881",0.000297037480423181
