"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB40001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0934247608911229,-0.509362151802275,3.00317535619469,-0.169607862142184,0.865318539045586,0.999544718469924
"2","GB40003",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114834230571465,0.897430774341861,2.99099034497839,0.30004469116678,0.764143066517692,0.999544718469924
"3","GB40005",3,1,7,10,4,0,23,13,2,5,22,5,4,5,0,0,1,1,1,7,1,11,7,15,7.38297694721013,0.871890306375127,0.697601952143076,1.24983925818531,0.211358271923819,0.999544718469924
"4","GB40006",11,36,9,11,8,10,239,150,22,30,426,10,11,30,25,8,12,22,13,31,25,753,371,690,49.7458155840871,-1.0698986289424,0.678350741906248,-1.57720565903098,0.114748211296547,0.999544718469924
"5","GB40007",114,487,213,134,193,53,68,73,124,753,237,177,187,519,288,24,139,129,356,501,245,88,108,76,204.379343878545,-0.0143404134963733,0.38568202348931,-0.0371819598088443,0.970339922652481,0.999544718469924
"6","GB40008",1620,1971,1256,943,474,867,903,830,1773,2701,1046,1178,1527,2325,994,345,1066,955,2344,2591,1360,458,721,396,1212.34030283604,0.0933027159191326,0.271156332079606,0.344091967919602,0.730777123188146,0.999544718469924
"7","GB40009",462,751,717,450,1152,589,258,387,880,1286,463,716,2149,801,544,76,417,363,1436,926,1174,307,401,188,701.112927561886,-0.109625415361403,0.376575025350173,-0.291111751926361,0.770965852248759,0.999544718469924
"8","GB40010",1905,5093,1979,1660,1389,1461,1003,1084,2711,4323,2777,2881,3284,5200,2179,267,1660,2078,4785,6512,3077,1027,1261,1236,2339.03131760553,-0.189486267197274,0.297554053547865,-0.636812925039831,0.524246706068562,0.999544718469924
"9","GB40011",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,2,0,0,0,2,0,0.539824380083333,-1.88388703768555,1.31779053032096,-1.42958003896622,0.152837587908567,0.999544718469924
"10","GB40012",373,57,38,125,123,119,190,125,106,158,164,136,226,91,30,176,92,91,155,162,78,90,137,119,136.513325569631,0.191902474495919,0.333690439968382,0.575091316712887,0.565229540217431,0.999544718469924
"11","GB40013",170,31,312,194,50,295,246,73,248,90,114,344,458,213,24,97,23,158,106,91,22,46,50,31,156.56895804669,0.786952823094819,0.498808842805975,1.5776641381655,0.114642789120462,0.999544718469924
"12","GB40014",148,359,59,128,68,145,87,118,172,201,173,94,83,143,206,94,172,215,156,292,193,84,104,184,142.897858083237,-0.207541247428687,0.158122005852138,-1.31253867107379,0.189338447015237,0.999544718469924
"13","GB40015",33,133,15,57,18,78,20,45,60,56,61,64,31,46,71,44,48,110,50,134,82,22,41,60,51.7698549766021,-0.270537065258266,0.194027152618079,-1.39432580238287,0.163219242643641,0.999544718469924
"14","GB40016",23,22,1,10,8,8,18,8,10,21,47,28,8,20,10,7,16,29,26,48,15,5,10,22,15.9780320547104,-0.0345475912578024,0.323775201131303,-0.106702400730784,0.915025077974947,0.999544718469924
"15","GB40017",105,227,39,95,70,102,43,77,118,139,140,94,70,112,134,70,114,142,137,214,135,74,68,136,103.254044884931,-0.24722386530354,0.129614509446211,-1.90737801161169,0.0564716546583228,0.999544718469924
"16","GB40018",261,295,164,401,269,483,159,262,315,264,273,435,274,208,218,375,286,392,287,254,441,177,220,244,284.436006616994,0.0256931001249207,0.158772871001571,0.161822986274944,0.871445251186951,0.999544718469924
"17","GB40019",168,464,101,262,89,328,171,269,326,239,251,277,177,231,255,308,276,541,202,443,216,96,110,161,230.71297416322,-0.0391434405632052,0.172910227681109,-0.226380134293709,0.820905777440947,0.999544718469924
"18","GB40020",57,152,29,72,37,143,48,52,94,109,114,111,54,78,59,81,78,153,87,176,68,45,57,107,79.3298619791435,-0.10005477971622,0.158047123397895,-0.63306928696402,0.526688397676251,0.999544718469924
"19","GB40021",6745,31809,5561,9202,5833,12105,4390,9801,7788,8769,13392,7109,4521,9563,12932,4446,12443,15838,10062,16038,6220,5621,5502,20590,9620.56674945348,-0.117727968456424,0.237722388775127,-0.495232986102073,0.620435668748332,0.999544718469924
"20","GB40022",220,193,99,370,107,213,52,192,256,214,169,181,103,138,310,147,461,434,80,227,231,44,108,80,180.338869481451,-0.0486044266317551,0.273773079207219,-0.17753544933089,0.859087822924293,0.999544718469924
"21","GB40025",0,1,0,0,0,1,0,0,1,2,2,1,2,4,0,0,1,1,3,1,0,1,1,0,0.845691980267621,-0.908558783609486,0.78906850168474,-1.15143207677106,0.249554523810245,0.999544718469924
"22","GB40026",2,1,3,2,5,2,0,3,3,9,6,2,2,6,1,4,2,2,14,8,1,3,1,3,3.38067193043216,-0.295846122211151,0.473577150987093,-0.62470522827064,0.532164541069377,0.999544718469924
"23","GB40027",161,48,33,91,66,69,62,82,66,176,101,110,119,123,56,86,98,73,135,137,86,73,74,77,90.6536175881557,-0.156081150928493,0.218900019305724,-0.713024838570269,0.475830387206515,0.999544718469924
"24","GB40028",105,126,44,102,97,97,48,73,94,115,105,96,68,78,75,78,107,153,120,108,123,41,71,89,88.372431151351,-0.0354603903103378,0.109675384448548,-0.32332132217848,0.746451907688494,0.999544718469924
"25","GB40029",34,101,19,26,15,60,22,22,38,51,65,37,18,49,46,25,36,68,38,77,49,35,34,69,40.3532017578299,-0.260878023653808,0.204158762103384,-1.27781938412078,0.201313117991041,0.999544718469924
"26","GB40030",90,138,70,119,79,146,72,97,139,113,109,155,89,101,84,132,104,180,99,108,110,52,64,53,100.920596626425,0.151609534594382,0.13375596373836,1.13347869027318,0.257013285107083,0.999544718469924
"27","GB40031",803,1226,511,776,527,1198,353,914,1021,844,652,818,778,717,908,722,971,1202,894,1116,886,352,373,469,752.462221495275,0.0169019127047748,0.118001522016495,0.143234700840656,0.886104825055587,0.999544718469924
"28","GB40032",325,244,308,292,498,457,222,206,459,345,344,523,401,309,218,377,261,506,360,241,410,194,240,213,332.845656378615,0.181458910721327,0.203538024620203,0.891523395001619,0.372648446403121,0.999544718469924
"29","GB40033",390,371,281,361,369,477,234,261,428,408,424,532,317,291,189,316,298,489,383,463,317,207,250,281,340.49547649805,0.248098525237757,0.122953707530191,2.0178206108737,0.0436099475203698,0.999544718469924
"30","GB40034",6,9,4,3,9,5,2,2,8,7,4,7,11,9,0,1,3,4,8,11,6,2,3,1,4.95356779643093,0.155427858427357,0.376572420787764,0.412743604808371,0.679794473746885,0.999544718469924
"31","GB40035",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.180743844601899,0.211973238715455,2.14331275630461,0.0988998166935416,0.921217814451135,0.999544718469924
"32","GB40038",7,5,9,13,1,2,1,6,12,14,17,12,3,11,3,5,13,8,2,14,3,0,5,10,6.92960933701618,0.366840564384051,0.41156969877571,0.891320632872842,0.372757182689102,0.999544718469924
"33","GB40046",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.151282149263063,0.211973521225882,2.22611874398302,0.0952211205259496,0.924139194454801,0.999544718469924
