"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB40001",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0934247608911229,-0.31684829185468,3.00317535619469,-0.105504425907436,0.91597555822569,0.999689779797103
"2","GB40003",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.114834230571465,1.06500918247958,2.99938110440612,0.355076312548301,0.722532421764277,0.999689779797103
"3","GB40005",3,1,5,7,10,0,23,13,1,5,7,22,4,0,4,1,0,1,7,2,1,11,5,15,7.38297694721013,1.07520687032126,0.687939333479096,1.56293850052685,0.1180670608188,0.999689779797103
"4","GB40006",11,36,30,9,11,8,239,150,13,30,371,426,11,25,8,12,10,22,31,22,25,753,10,690,109.361711617878,0.731420232848655,0.856146510498513,0.854316666457903,0.392929555113062,0.999689779797103
"5","GB40007",114,487,519,213,134,24,68,73,356,753,108,237,187,288,193,139,53,129,501,124,245,88,177,76,204.379343878545,0.517208049860234,0.373684895549067,1.38407534267684,0.166335386073004,0.999689779797103
"6","GB40008",1620,1971,2325,1256,943,345,903,830,2344,2701,721,1046,1527,994,474,1066,867,955,2591,1773,1360,458,1178,396,1212.34030283604,0.499409302038334,0.254008026196865,1.96611622678126,0.0492851864025751,0.999689779797103
"7","GB40009",462,751,801,717,450,76,258,387,1436,1286,401,463,2149,544,1152,417,589,363,926,880,1174,307,716,188,701.112927561886,-0.298636871827688,0.373057840634111,-0.800510910908815,0.423414844516971,0.999689779797103
"8","GB40010",1905,5093,5200,1979,1660,267,1003,1084,4785,4323,1261,2777,3284,2179,1389,1660,1461,2078,6512,2711,3077,1027,2881,1236,2339.03131760553,0.192089643510078,0.297490791222639,0.645699460882875,0.518474009801028,0.999689779797103
"9","GB40011",0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,4,0,4,0,1,0,0,0,0,0.539824380083333,-0.473247156609919,1.39952785044181,-0.338147723505839,0.735251868326708,0.999689779797103
"10","GB40012",373,57,91,38,125,176,190,125,155,158,137,164,226,30,123,92,119,91,162,106,78,90,136,119,136.513325569631,0.52423820479822,0.32081206994995,1.63409751035866,0.102238377542144,0.999689779797103
"11","GB40013",170,31,213,312,194,97,246,73,106,90,50,114,458,24,50,23,295,158,91,248,22,46,344,31,156.56895804669,0.321328368101545,0.513884763309931,0.625292655170139,0.531778999657165,0.999689779797103
"12","GB40014",148,359,143,59,128,94,87,118,156,201,104,173,83,206,68,172,145,215,292,172,193,84,94,184,142.897858083237,0.00322651315117615,0.163631976059672,0.0197181090693394,0.98426824463973,0.999689779797103
"13","GB40015",33,133,46,15,57,44,20,45,50,56,41,61,31,71,18,48,78,110,134,60,82,22,64,60,51.7698549766021,-0.206299401663882,0.196708351492005,-1.04875771719467,0.294289642535903,0.999689779797103
"14","GB40016",23,22,20,1,10,7,18,8,26,21,10,47,8,10,8,16,8,29,48,10,15,5,28,22,15.9780320547104,0.21983448234036,0.321164362175724,0.684492142437891,0.493664449432096,0.999689779797103
"15","GB40017",105,227,112,39,95,70,43,77,137,139,68,140,70,134,70,114,102,142,214,118,135,74,94,136,103.254044884931,-0.0830760492554447,0.138087309982666,-0.601619723534864,0.547427296868236,0.999689779797103
"16","GB40018",261,295,208,164,401,375,159,262,287,264,220,273,274,218,269,286,483,392,254,315,441,177,435,244,284.436006616994,-0.0708564516223793,0.158259537088477,-0.44772310677723,0.654353043315121,0.999689779797103
"17","GB40019",168,464,231,101,262,308,171,269,202,239,110,251,177,255,89,276,328,541,443,326,216,96,277,161,230.71297416322,0.0290654962056089,0.173122693929324,0.167889579037366,0.866670148485266,0.999689779797103
"18","GB40020",57,152,78,29,72,81,48,52,87,109,57,114,54,59,37,78,143,153,176,94,68,45,111,107,79.3298619791435,-0.09384300269274,0.157993503176716,-0.593967478446099,0.552533864923532,0.999689779797103
