"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB41710",191,86,32,22,57,129,956,41,41,65,38,77,370,75,2281,99,224,1450,29,3875,29,62,102,115,313.399646612687,-2.96755724017235,0.626911320459809,-4.73361565395851,2.20555193947419e-06,0.0306262942315385
"2","GB51905",134,185,66,46,99,37,66,104,114,117,124,25,66,60,35,23,57,57,42,62,40,49,34,36,71.5732503033031,1.13312014710653,0.273690105645768,4.14015751293948,3.47067426083582e-05,0.240968913929831
"3","GB50526",579,254,293,677,608,796,338,791,1086,722,550,498,3691,1254,469,510,591,872,1329,2195,1643,1171,676,955,896.395457690169,-1.03022056114892,0.265559381863516,-3.87943575527075,0.000104699048498002,0.383062242771567
"4","GB52094",67,93,40,17,58,29,16,34,40,34,52,11,25,24,17,5,28,21,15,30,13,17,20,33,31.5248053029288,1.18969940320603,0.307682957724567,3.86664055755417,0.000110344877652763,0.383062242771567
"5","GB40860",8,8,3,11,11,14,1,6,7,8,2,3,6,2,0,2,2,5,2,1,1,3,4,4,4.60763774976429,1.47151052991691,0.396221361749962,3.71385965516295,0.000204122023829572,0.436387749285787
"6","GB43402",91,100,57,61,68,30,48,94,87,97,113,51,70,58,51,33,53,42,43,65,35,41,42,64,62.5483196828541,0.725774552235435,0.192904202019468,3.76235740143281,0.000168319280951857,0.436387749285787
"7","GB43697",246,174,139,173,198,312,123,262,289,264,253,178,304,199,170,150,189,259,171,308,114,143,218,196,201.118100088675,0.22336112339228,0.0610139985354154,3.66081766076403,0.000251411637209153,0.436387749285787
"8","GB47805",6188,457,890,1034,478,1102,492,789,547,659,555,1840,14738,511,8748,805,9303,764,2402,10134,3593,7831,2683,321,3049.51765138764,-1.92360817166291,0.521238494504351,-3.69045684834171,0.000223851661627769,0.436387749285787
"9","GB41980",484,300,211,284,345,508,184,427,475,421,496,266,408,355,278,260,329,395,282,397,153,214,339,423,328.980133476247,0.294721301229358,0.0821702117680011,3.58671707043269,0.000334867317158124,0.502955241706516
"10","GB54480",89,32,44,64,67,148,66,62,146,77,88,496,191,60,96,93,112,131,119,126,336,313,306,106,130.102530700873,-1.16993961228241,0.328063916586907,-3.56619412599276,0.000362203112276045,0.502955241706516
"11","GB47771",73,1,10,11,5,5,5,3,2,6,1,9,120,6,95,10,67,13,17,73,43,201,22,3,35.6998725778416,-2.4065915069347,0.696171611759936,-3.45689405641058,0.000546439632307259,0.63232172785155
"12","GB55315",21,57,15,18,43,20,4,24,36,24,41,19,28,15,6,10,19,11,6,16,12,14,16,21,20.664767138086,1.02479878353626,0.296396837646306,3.45752266344746,0.000545166385315008,0.63232172785155
"13","GB47348",79,61,35,34,59,78,21,76,89,81,79,37,69,66,33,31,47,48,23,49,27,25,54,66,50.182284189396,0.530919355957182,0.155746899717806,3.40885986763872,0.000652349803455753,0.696809951598968
"14","GB40904",338,543,305,213,286,308,155,382,503,322,389,139,312,274,211,160,214,333,216,229,159,182,217,269,277.105446905246,0.614404316941782,0.188233487979634,3.26405425270692,0.00109830132390761,0.701207705798688
"15","GB42908",7,5,1,5,9,7,17,17,4,9,8,32,4,16,40,7,2,6,31,30,202,70,93,6,32.4219506231131,-2.27395119391184,0.691371848150154,-3.28904221367425,0.00100528944808084,0.701207705798688
"16","GB42925",283,229,179,218,245,449,149,371,345,426,434,263,381,307,204,203,289,318,197,444,126,140,338,321,269.254882912558,0.256036973491725,0.0785194366249594,3.26081011908759,0.00111094408235425,0.701207705798688
"17","GB43325",45,108,34,45,183,26,17,288,74,73,97,13,98,21,39,8,27,67,12,37,16,49,38,24,58.5692761707395,1.35944216309845,0.409508264265335,3.31969408611891,0.000901161387778306,0.701207705798688
"18","GB43702",51,43,29,25,34,22,19,42,30,43,36,18,35,30,18,5,17,16,29,48,11,13,23,19,26.957978840159,0.77214811823685,0.230488128829579,3.35005591028842,0.000807952502882937,0.701207705798688
"19","GB45906",825,5976,8040,365,718,1333,3889,1017,4967,2080,798,1290,1026,616,940,1276,1272,1685,342,1106,1645,924,1888,734,2228.14941606604,1.5725274662445,0.481378857198567,3.26671486029941,0.00108803208266367,0.701207705798688
"20","GB47806",36,25,12,10,19,37,21,34,29,27,28,26,85,17,69,12,106,36,30,173,38,61,51,15,38.8212913145677,-1.03744104537967,0.312353014254099,-3.32137356784306,0.000895755558296895,0.701207705798688
"21","GB48915",353,341,172,60,181,105,135,171,197,166,127,60,95,133,102,65,98,106,120,136,61,107,78,128,143.04532517651,0.923123127918134,0.280653634353909,3.2891900012029,0.00100476171154383,0.701207705798688
"22","GB54340",39,31,17,50,24,74,15,51,42,53,50,45,80,56,64,44,52,68,47,72,38,27,75,65,46.1279998341359,-0.40045737983843,0.122739863985319,-3.2626513248078,0.00110375227668546,0.701207705798688
"23","GB47946",1510,2740,1264,553,1979,773,1673,2011,1617,1825,1363,370,1004,1645,492,198,527,1136,659,1413,703,734,580,1136,1209.33137708344,1.02843877686882,0.316967529311999,3.24461871252591,0.00117607984042171,0.710045420178083
