"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10148",248,386,217,449,422,659,-1.50595978598776,4.91587375144604,-2.29833095046566,0.0474859574703177,0.999663399188046,-4.55250108799901
"2","10149",19,17,7,55,20,37,-2.01898104450502,0.83018216323288,-2.64210066600856,0.0271071360293498,0.999663399188046,-4.57578323415034
"3","1021",1339,328,329,54,34,212,2.3697906985221,3.9996869133784,2.92331864643944,0.0171687788334547,0.999663399188046,-4.54661878692923
"4","10266",4569,3680,1816,1635,797,755,1.1270624959467,7.16422126467058,2.45803354863476,0.0366004697604582,0.999663399188046,-4.54695377775777
"5","10296",16,9,4,22,52,42,-2.55875186019385,0.559411128482554,-2.80946370848557,0.020646088616671,0.999663399188046,-4.57714822174411
"6","10372",42,26,10,49,59,77,-1.9418369295408,1.60144303144315,-2.79467657277349,0.0211477451731321,0.999663399188046,-4.56779897236173
"7","10434",197,51,28,17,27,5,1.71929746357325,1.29898405333947,2.19856137660563,0.055847935526795,0.999663399188046,-4.57997498625376
"8","1057",521,553,342,511,1535,1331,-1.74126079801552,5.79992894226642,-2.42916296569071,0.0383658139864073,0.999663399188046,-4.54690237715277
"9","10707",43,53,24,67,79,66,-1.56164544530933,2.08713865011982,-2.38028384172087,0.0415498148766396,0.999663399188046,-4.56973232331628
"10","11066",52,136,126,162,395,305,-2.29512522115207,3.71593086366752,-2.52617381094957,0.0327488930849123,0.999663399188046,-4.55402791141729
"11","1125",8,28,30,45,40,42,-2.24187582633594,1.23114272645274,-2.28723374450409,0.0483515779225336,0.999663399188046,-4.57710961428876
"12","11346",2346,1842,539,1951,1756,1743,-1.00361347282793,6.9790966070757,-2.25145147768583,0.0512497478635978,0.999663399188046,-4.55309647549467
"13","1611",81,39,12,74,234,141,-2.40473975910854,2.46872775908497,-3.1456771674112,0.012007726895702,0.999663399188046,-4.55525219217161
"14","1756",129,50,36,252,101,42,-1.39549697568395,2.69974022446631,-2.23806030320314,0.0523776442322102,0.999663399188046,-4.56809797663592
"15","1819",15,43,5,48,32,35,-1.95243352147939,0.984554964351773,-2.39263754767706,0.0407211294229593,0.999663399188046,-4.57749055771486
"16","2369",631,513,230,699,656,761,-1.31509326431535,5.46929076526625,-2.72226564408989,0.0237894887791703,0.999663399188046,-4.53768435611024
"17","2448",48,14,30,41,82,55,-1.77505145887591,1.70052321222298,-2.25667601622432,0.0508161906558444,0.999663399188046,-4.57456633202656
"18","266",82,59,26,13,5,12,1.80087850083857,0.854327721534987,2.28278214806164,0.0487031657969312,0.999663399188046,-4.58158416150305
"19","2900",16,3,6,49,10,81,-2.86578067235292,0.366886923860679,-2.43676762564926,0.0378927462221511,0.999663399188046,-4.58188659366469
"20","2959",589,594,100,422,583,698,-1.26985358508551,5.11802932711803,-2.21217969030074,0.0546267971876642,0.999663399188046,-4.55466531224823
"21","2968",244,65,441,840,1307,288,-2.64250018709898,4.87870676994526,-2.86832835259891,0.0187665195728133,0.999663399188046,-4.5374900384848
"22","3080",2131,573,229,856,1296,812,-1.11461885456189,6.01522064594192,-2.19318664830671,0.0563371810870889,0.999663399188046,-4.55422974870442
"23","36",261,204,54,199,261,392,-1.43247361853464,4.00683333278856,-2.40645691500576,0.0398135567795172,0.999663399188046,-4.5543687410434
"24","3675",4312,1608,1145,4231,2249,2165,-0.996941993095226,7.57152130864475,-2.18702114367063,0.0569035588814541,0.999663399188046,-4.55636155770132
"25","3682",46,22,2,38,145,67,-2.57701873981786,1.36002467824943,-2.69750678103,0.0247677347718974,0.999663399188046,-4.57290363791746
