"Gene,""DataPlot""";Global;Ind
1,8;0.5;0.5
2,4;0.5;0
3,2;0.5;0.5
4,8;1;1
5,2;0;1
6,1;1;1
7,3;1;1
8,5;0;0.5
9,10;;
10,4;;
11,5;;
12,8;;
13,10;;
14,1;;
15,10;;
16,4;;
17,1;;
18,10;;
19,6;;
20,6;;
21,8;;
22,2;;
23,3;;
24,3;;
25,2;;
26,1;;
27,9;;
28,3;;
29,7;;
30,9;;
31,9;;
32,4;;
33,1;;
34,5;;
35,2;;
36,5;;
37,5;;
38,5;;
39,10;;
40,6;;
41,4;;
42,4;;
43,7;;
44,6;;
45,10;;
46,10;;
47,8;;
48,1;;
49,9;;
50,8;;
