"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB52077",31,21,11,10,28,33,41,37,41,28,13,29,38,64,49,36,25,28,57,28,80,39,119,37,38.0207430055247,-1.10679748254578,0.235934350015886,-4.69112480853786,2.71707154776988e-06,0.0377292555123325
"2","GB40262",2,4,1,1,0,5,1,4,2,1,3,4,15,6,3,9,1,1,19,12,4,8,24,19,7.19020998944465,-2.46982151408427,0.54651690031289,-4.51920427834942,6.2072482020324e-06,0.0430969242667109
"3","GB50662",18,26,16,12,23,26,46,19,30,20,17,25,10,107,96,13,215,28,11,138,14,42,95,91,47.2330829194595,-1.77597883184378,0.400860668375418,-4.43041428594467,9.40522255866224e-06,0.0435336401498613
"4","GB49105",21,19,9,13,26,41,30,40,32,22,24,33,39,89,77,12,35,26,18,29,80,22,81,43,33.3581680258852,-0.895792142280101,0.217534294574432,-4.11793526180579,3.82282043802256e-05,0.132709211505953
"5","GB45177",23,26,11,15,26,39,35,29,35,30,23,24,26,57,32,12,44,39,25,43,66,22,47,28,30.1155685153861,-0.592203415552939,0.147235815773423,-4.02214238731332,5.76711753827876e-05,0.160164388273078
"6","GB45279",190,192,185,163,180,287,156,232,187,247,101,216,102,196,126,72,132,231,53,114,193,104,195,132,157.062773678362,0.40002048562692,0.100668834553888,3.97362786009795,7.07861312292881e-05,0.161729329449638
"7","GB52038",16,19,6,4,25,53,30,36,38,21,15,22,11,64,57,15,28,33,43,15,107,42,74,102,34.8177523655736,-1.24534771755488,0.316089182964931,-3.93986186390011,8.15285399789331e-05,0.161729329449638
"8","GB40565",69,68,37,65,56,149,137,91,103,64,69,120,80,259,155,42,89,118,84,69,297,90,206,179,105.215450637482,-0.761926700267666,0.195337910416032,-3.90055723768575,9.59715318147493e-05,0.161849440472301
"9","GB42753",301,380,348,161,412,578,314,456,394,324,182,331,427,735,395,294,365,473,240,275,811,260,508,459,374.786142807165,-0.454165786707954,0.117865357975941,-3.85325929948528,0.000116555840754934,0.161849440472301
"10","GB46491",5,8,2,1,6,12,7,3,13,5,6,5,5,18,9,3,8,11,8,10,20,11,26,22,8.96360955779703,-1.17633298542262,0.303298017490341,-3.87847238553112,0.00010511445576825,0.161849440472301
"11","GB43261",74,53,44,26,50,84,102,93,78,55,62,59,158,134,118,65,58,57,113,66,145,72,114,85,83.1733851944695,-0.817757750445511,0.218300029555938,-3.74602675093073,0.000179657441657405,0.22259660858904
"12","GB47607",10,12,10,8,10,45,25,12,25,12,18,8,14,42,41,9,23,32,13,19,49,15,51,41,21.2754594999464,-0.931733638122388,0.252515533829162,-3.68980721301981,0.000224424061662578,0.22259660858904
"13","GB49413",477,463,444,404,452,597,487,495,518,586,238,547,298,562,310,214,309,632,190,379,494,219,408,249,395.039671738559,0.319035639988622,0.0856741784692607,3.72382491071204,0.000196227039621637,0.22259660858904
"14","GB55884",7,9,14,7,10,13,13,16,17,7,2,6,19,38,22,12,16,16,5,9,33,7,16,13,12.7322754290857,-0.859108225633835,0.232555252620699,-3.69421122916993,0.00022057039538313,0.22259660858904
"15","GB51195",8,1,2,6,6,7,6,7,4,3,11,6,7,11,5,4,4,8,18,16,5,12,62,66,12.6435158384862,-1.83911690507192,0.501074721725844,-3.67034461195224,0.000242223684173362,0.224234538562087
"16","GB40250",1,1,0,0,0,2,1,0,6,1,2,0,1,3,3,1,3,3,9,2,6,2,4,17,3.07254272918512,-2.22243915150953,0.646639111521117,-3.43690802475833,0.000588395371557715,0.22489281983699
"17","GB40281",4,13,1,1,6,6,4,15,21,6,19,5,8,18,12,7,10,6,10,11,43,45,40,127,19.3073218220175,-1.88234702895487,0.528577704438555,-3.5611547992821,0.000369227309624206,0.22489281983699
"18","GB40583",1,3,1,0,5,4,1,1,3,0,2,5,4,5,5,0,2,6,6,2,6,9,9,14,4.04406625160673,-1.58553128058098,0.486669522830844,-3.25792186730393,0.00112231302527383,0.22489281983699
"19","GB40838",38,57,40,21,58,96,45,76,48,26,34,30,50,165,61,18,48,107,23,48,237,48,75,83,57.196919159284,-0.737346242282402,0.226320838548795,-3.25796885081542,0.00112212722790469,0.22489281983699
