"","ID","N.1","N.2","N.3","N.4","N.5","N.6","N.7","N.8","N.9","N.10","N.11","N.12","V.1","V.2","V.3","V.4","V.5","V.6","V.7","V.8","V.9","V.10","V.11","V.12","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","GB53370",98,87,45,30,34,9,37,112,126,65,37,68,10,2,12,48,10,25,38,22,10,16,13,23,38.8203467189549,1.66990221276191,0.348517591336002,4.79144311298759,1.65585971493611e-06,0.0229932680016029
"2","GB49689",116,57,57,24,68,219,499,292,10,187,48,14,27,37,7,19,7,50,92,51,19,17,20,31,73.1683306728949,1.91763406910154,0.463618243336675,4.13623513885102,3.53050425670489e-05,0.245122910543021
"3","GB40839",47,27,46,23,28,49,50,42,29,39,40,18,21,13,25,37,6,20,30,34,7,16,21,17,26.9306542386828,0.730604749107415,0.18264292507739,4.00018094759402,6.32940686750527e-05,0.292967145873927
"4","GB50468",5,2,19,1,12,8,8,18,1,45,19,4,1,2,1,3,0,6,3,6,0,5,5,2,5.88861692819788,1.7967203291089,0.473606012872493,3.79370252968605,0.000148417467030076,0.374858040021947
"5","GB51509",3,8,17,4,6,8,11,13,12,14,8,14,11,13,13,23,18,18,15,8,12,33,18,31,14.0439154738992,-1.04285013369301,0.276474576609065,-3.7719567074972,0.000161972363541098,0.374858040021947
"6","GB56000",3,6,4,4,7,9,0,15,10,1,0,1,17,6,25,253,20,2,16,2,2,12,23,5,16.2826472300042,-2.56842198062446,0.670833819116354,-3.82870080105335,0.000128821502093147,0.374858040021947
"7","GB42801",58,12,90,43,32,25,156,102,19,22,40,19,35,11,15,36,8,37,34,15,6,21,9,14,33.3682458388591,1.25503559423285,0.35842303764064,3.50154834492297,0.000462563040804188,0.490570152488123
"8","GB43246",386,153,312,135,178,188,180,500,436,647,247,275,481,457,328,511,190,470,399,388,189,561,497,321,335.133269914419,-0.578236964126756,0.166359163278969,-3.47583477056269,0.000509265942449773,0.490570152488123
"9","GB44703",1274,1274,2550,930,1605,1044,1818,2163,1655,2625,1552,520,1277,641,700,1634,504,947,1850,1611,517,1147,1007,846,1217.95268081264,0.460675994160784,0.12906738469799,3.56926728808162,0.000357981047167117,0.490570152488123
"10","GB45715",15,14,20,7,7,8,12,13,15,28,23,4,12,4,5,3,5,7,7,14,4,6,3,6,9.32042752190436,0.938822189837759,0.266486680312458,3.52296103031109,0.000426754103665454,0.490570152488123
"11","GB46056",25,15,35,16,24,10,64,43,36,36,30,10,18,8,5,13,14,15,24,23,6,23,13,6,19.7652161786999,0.885686062779489,0.25266226735463,3.50541484509186,0.000455896313671756,0.490570152488123
"12","GB47126",25,10,12,3,11,45,81,48,1,19,5,4,9,5,2,0,0,9,14,5,6,2,2,6,12.3594658248874,1.943093864433,0.560752368169854,3.46515498592496,0.000529925989292945,0.490570152488123
"13","GB47505",93,45,70,83,88,66,86,138,118,106,74,204,172,127,111,257,175,214,126,136,159,367,146,322,152.082170842705,-1.04125024459599,0.285667678593841,-3.64497044160332,0.000267422535720779,0.490570152488123
"14","GB49286",167,105,254,101,92,131,107,297,175,265,175,153,194,304,272,308,81,244,232,187,165,258,210,222,191.599673185171,-0.599208898159359,0.165342642145414,-3.62404332230503,0.000290032991929529,0.490570152488123
"15","GB51111",253,194,577,167,351,263,336,404,232,579,309,133,264,127,140,321,119,192,320,337,117,204,178,158,241.355559356078,0.459383086671276,0.13018706176908,3.52863856383907,0.000417703204795249,0.490570152488123
