"","ID","S1.1","S1.2","S1.3","S3.1","S3.2","S3.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","1050",0.802444419,0.802444419,0.802444419,3.859787307,3.299105444,3.255648587,-1.59130296608082,3.09004640843427,-18.5804226984669,1.67574736564783e-06,0.122865796849299,0.415837052094513
"2","11235",0.802444419,0.802444419,0.802444419,2.528801926,2.354658205,2.134442499,-1.10517504484681,2.8484769678497,-8.36388110174567,0.000164682289170977,0.538455707505934,-1.97433067983261
"3","12275",0.802444419,0.802444419,0.802444419,2.528801926,2.967061604,2.134442499,-1.19736419913783,2.89520954326065,-8.70551981457059,0.000131797637536618,0.538455707505934,-1.73457051939699
"4","17",0.802444419,0.802444419,0.802444419,2.138459829,2.59424315,2.629277496,-1.15457367983203,2.87606850855227,-8.45899422119871,0.00015465892310797,0.538455707505934,-1.84960106693179
"5","18340",0.802444419,0.802444419,0.802444419,2.906502055,2.354658205,2.134442499,-1.16442828978546,2.87673427510413,-8.52484926036981,0.00014813151380147,0.538455707505934,-1.84006392238109
"6","22172",0.802444419,0.802444419,0.802444419,2.528801926,2.440040652,2.134442499,-1.11918105498514,2.85556331530706,-8.50702562348311,0.000149866179210811,0.538455707505934,-1.93283734725257
"7","26694",0.802444419,0.802444419,0.802444419,2.284122113,2.262366414,2.979755932,-1.17726344741178,2.88723536205226,-8.36161965749442,0.000164929589841936,0.538455707505934,-1.8078119653553
"8","30562",0.802444419,0.802444419,0.802444419,2.284122113,2.664562324,3.255648587,-1.27570009173802,2.93826490206593,-9.18054410022157,9.78977040259928e-05,0.538455707505934,-1.44745762054307
"9","31352",2.57615938,2.708883726,2.400776787,0.802444419,0.802444419,0.802444419,1.24700349282819,2.90348998617154,10.0460168065264,5.8888569522782e-05,0.538455707505934,-1.58206485890753
"10","33888",0.802444419,0.802444419,0.802444419,2.284122113,2.354658205,2.979755932,-1.19265287682452,2.8951375820696,-8.65249238534282,0.000136365369479465,0.538455707505934,-1.74014577228055
"11","34878",0.802444419,0.802444419,0.802444419,2.138459829,2.664562324,2.629277496,-1.16508500451039,2.88147174366984,-8.51166730964566,0.000149412181258181,0.538455707505934,-1.81946918858637
"12","3707",0.802444419,0.802444419,0.802444419,2.284122113,2.664562324,2.629277496,-1.19192207691802,2.8943928222508,-9.26125363367674,9.32008452017703e-05,0.538455707505934,-1.68857555584881
"13","38332",0.802444419,0.802444419,0.802444419,2.822146858,2.519621769,2.979755932,-1.30815845590806,2.95112811435967,-11.3647447459087,2.91559496217275e-05,0.538455707505934,-1.19596821402152
"14","41172",0.802444419,0.802444419,0.802444419,3.131044685,2.050358216,2.979755932,-1.27380325189089,2.93189492776689,-8.75626431947464,0.000127591482224877,0.538455707505934,-1.52957293471125
"15","4395",0.802444419,0.802444419,0.802444419,2.528801926,2.262366414,2.629277496,-1.17018128614938,2.88196339911954,-9.18212044314526,9.78033829940867e-05,0.538455707505934,-1.75640506110024
"16","44046",0.802444419,0.802444419,0.802444419,2.731821462,2.59424315,2.629277496,-1.25651923646565,2.92484375554528,-10.9239903144423,3.65584079005981e-05,0.538455707505934,-1.39732497907239
"17","51471",0.802444419,0.802444419,0.802444419,2.634493029,2.050358216,2.979755932,-1.19915909380613,2.89653616721367,-8.37502649578261,0.000163469725180767,0.538455707505934,-1.76181900997876
"18","61639",0.802444419,0.802444419,0.802444419,2.138459829,2.912002562,2.629277496,-1.20026712542812,2.89957386850038,-8.55488632989179,0.000145260434226709,0.538455707505934,-1.72754251119927
"19","66504",0.802444419,0.802444419,0.802444419,2.412894115,2.59424315,2.134442499,-1.12388104775328,2.85847273083219,-8.44297716785015,0.000156296384615963,0.538455707505934,-1.92696204806232
"20","71704",0.802444419,0.802444419,0.802444419,2.412894115,2.79429905,2.134442499,-1.15355185103817,2.8735368901281,-8.4718281877926,0.000153361175696448,0.538455707505934,-1.85960990657014
