"","ID","S1.1","S1.2","S1.3","S3.1","S3.2","S3.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10767",0.802444419,0.802444419,0.802444419,2.195941712,3.181867923,3.457575535,-1.37620367165436,2.97952382165067,-9.04102262473722,0.000100413042291253,0.528058321676949,-1.9442706010168
"2","12990",2.57615938,3.641178542,2.134442499,0.802444419,0.802444419,0.802444419,1.31815915171436,2.94166136871243,8.644581654772,0.000129334728829725,0.528058321676949,-2.19695694749452
"3","19549",0.802444419,0.802444419,0.802444419,2.708883726,2.400776787,2.262366414,-1.17794688634093,2.87761906038758,-8.58984519435478,0.000134040720495454,0.528058321676949,-2.51044315646386
"4","29819",0.802444419,0.802444419,0.802444419,3.070193613,2.400776787,2.354658205,-1.24634449558136,2.91117641370926,-8.99756427653934,0.000103188580388348,0.528058321676949,-2.33768597354648
"5","30734",0.802444419,0.802444419,0.802444419,2.480108018,3.800033846,3.166774704,-1.4611766174533,3.02258718823954,-10.5598325534212,4.13822883627596e-05,0.528058321676949,-1.51922594818095
"6","31810",3.189934035,3.543105605,2.134442499,0.802444419,0.802444419,0.802444419,1.38956345267994,2.97964257788652,9.4356003157403,7.87983417739846e-05,0.528058321676949,-1.90535708160917
"7","32299",0.802444419,0.802444419,0.802444419,3.070193613,2.400776787,2.79429905,-1.31536024984683,2.94561866494329,-10.3291666701373,4.69822908851315e-05,0.528058321676949,-2.07881765009358
"8","32349",0.802444419,0.802444419,0.802444419,2.480108018,2.970397346,2.440040652,-1.25602455384268,2.91793340771045,-9.41419153261231,7.98229660393612e-05,0.528058321676949,-2.27956024507673
"9","34184",4.409914796,9.140208565,3.680652147,0.802444419,0.802444419,0.802444419,2.17978454913102,3.36829820345024,9.07812498274718,9.81115373604196e-05,0.528058321676949,0.559992747826525
"10","37081",0.802444419,0.802444419,0.802444419,3.070193613,2.400776787,2.354658205,-1.24634449558136,2.91117641370926,-8.99756427653934,0.000103188580388348,0.528058321676949,-2.33768597354648
"11","4734",0.802444419,0.802444419,0.802444419,2.708883726,2.400776787,3.119595914,-1.30787518983799,2.94260638498203,-10.0559417748631,5.47880967857394e-05,0.528058321676949,-2.11026932480034
"12","53647",0.802444419,0.802444419,0.802444419,2.195941712,2.970397346,3.166774704,-1.31233509224684,2.94695010826819,-9.04052800811787,0.000100444142671622,0.528058321676949,-2.1457402066962
"13","6489",0.802444419,0.802444419,0.802444419,2.708883726,2.717845277,3.817761013,-1.44111244765301,3.00995812169507,-10.7922745787969,3.65063601680748e-05,0.528058321676949,-1.60735328913008
"14","64916",0.802444419,0.802444419,0.802444419,2.195941712,3.669489075,2.912002562,-1.36345334830835,2.97376291782215,-8.62306070845242,0.000131161876393781,0.528058321676949,-2.01577560160029
"15","69302",3.189934035,2.528801926,2.134442499,0.802444419,0.802444419,0.802444419,1.23995789110782,2.91018980231796,8.55832823363076,0.000136839990614594,0.528058321676949,-2.36514963177273
"16","70456",2.57615938,2.138459829,2.979755932,0.802444419,0.802444419,0.802444419,1.21702983986625,2.90018520925525,8.57422127995088,0.000135420055852868,0.528058321676949,-2.4103069881376
"17","73231",0.802444419,0.802444419,0.802444419,2.480108018,2.400776787,2.519621769,-1.18443623596447,2.88124510425425,-8.95847051908489,0.000105761339660251,0.528058321676949,-2.47357500477605
"18","8071",0.802444419,0.802444419,0.802444419,2.195941712,3.181867923,3.256422827,-1.35137614954106,2.9669809178635,-9.10097900721044,9.6724222997706e-05,0.528058321676949,-2.0209418521353
"19","8756",3.189934035,3.437521613,2.629277496,0.802444419,0.802444419,0.802444419,1.45662314021513,3.01466855508798,13.4412063710792,1.01961638910305e-05,0.528058321676949,-1.44538224953862
"20","8383",2.57615938,2.284122113,2.134442499,0.802444419,0.802444419,0.802444419,1.11395894844076,2.84619154967454,8.21702014919191,0.000171908203865379,0.555330161202597,-2.64402033322254
