"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40091",41,130,101,62,132,76,36,23,57,55,44,85,0.872459420540766,3.26745064359031,2.60571849957287,0.0209095269881973,0.999518307118195,-4.29580504442312
"2","GB40227",47,157,5,27,84,43,4,6,22,16,66,3,1.89535050516154,1.73442730094278,2.86500758318205,0.0126021871591204,0.999518307118195,-4.39857122181917
"3","GB40263",175,466,100,155,388,578,83,83,165,237,233,114,0.924737168964267,4.86311579501944,3.42950695362771,0.00413258729577186,0.999518307118195,-3.86768488998121
"4","GB41010",6,14,9,9,27,30,2,9,8,9,7,4,1.18650532179863,0.528219564899253,2.78333803426522,0.0147913024185127,0.999518307118195,-4.4684290110361
"5","GB41761",118,150,63,71,112,124,95,98,139,189,208,134,-0.392989541018658,4.19166036945494,-2.90141661304477,0.0117318237652323,0.999518307118195,-4.09828119743988
"6","GB41896",38,72,22,27,44,76,62,33,63,100,78,70,-0.536093336480675,3.01241767467138,-2.61798933677258,0.020417730526736,0.999518307118195,-4.31773268529809
"7","GB42370",24,31,10,8,18,22,24,31,34,40,36,19,-0.700654589343345,1.82323899384125,-3.24129155481406,0.00599707993238652,0.999518307118195,-4.3401819587721
"8","GB43122",285,391,148,193,281,278,251,265,367,475,500,241,-0.350450297476561,5.47953663461308,-2.88718346233745,0.0120648033445057,0.999518307118195,-3.99020459048119
"9","GB43453",116,173,104,58,291,276,46,93,48,60,144,50,1.22711225929395,3.93394637795949,3.71494439359098,0.00235315706601843,0.999518307118195,-3.97027958551044
"10","GB44200",8,30,3,10,23,34,3,3,9,12,7,6,1.25240861487757,0.548750843388373,2.96299303314101,0.0103924603325911,0.999518307118195,-4.45449059529422
"11","GB44593",20,21,10,13,20,17,18,26,28,36,31,23,-0.636411513020672,1.70833452514266,-3.18217577294327,0.00674109935740987,0.999518307118195,-4.35596780814419
"12","GB44661",168,219,141,221,324,283,140,151,165,165,216,114,0.534704032605377,4.82553209855412,2.68457298707578,0.0179383613079084,0.999518307118195,-4.09007888203009
"13","GB45140",50,131,46,49,192,163,32,31,91,46,71,66,0.86797983315027,3.38894732916534,2.69523557441024,0.0175694800604687,0.999518307118195,-4.26357350391713
"14","GB45454",12,28,10,18,27,13,5,3,12,9,12,15,1.00732695216476,0.913465614965173,2.89175087362265,0.0119569507196177,0.999518307118195,-4.44037474679292
"15","GB45748",11,14,3,5,76,50,47,143,61,98,33,74,-1.92519750406372,2.31155965129317,-3.21393137100335,0.00633066324630813,0.999518307118195,-4.31458841894215
"16","GB45763",147,186,35,75,125,300,56,75,23,149,87,18,1.23891121172712,3.61887989087878,2.84711467330363,0.0130528470279341,0.999518307118195,-4.20789915101443
"17","GB47021",6,20,4,16,12,19,2,7,4,7,8,5,1.12477471865101,0.303691535591935,2.8606674669737,0.0127100766842606,0.999518307118195,-4.47232096248335
"18","GB47079",667,1411,538,600,761,782,274,305,803,945,732,241,0.767078123613945,6.52055425872065,3.01098742727144,0.00945413707128374,0.999518307118195,-4.01419641043843
