"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40139",199,480,377,349,418,284,489,140,245,124,230,100,1.02684635019521,5.28987793889404,2.83137751249738,0.0134246250859452,0.994894421903701,-4.01689007424867
"2","GB40439",126,136,110,171,180,98,110,109,60,146,118,94,0.532094897687214,4.17676005823356,3.72181397744303,0.0023087753673561,0.994894421903701,-3.88848350569761
"3","GB41203",5614,4878,5920,5040,7965,3777,9610,4364,2353,2860,3769,2077,0.764590393787874,9.40636785795669,3.02042622627043,0.00924905845032819,0.994894421903701,-4.23725985436961
"4","GB41297",230,285,395,570,516,433,516,173,291,138,108,149,1.18883721700077,5.40753029362067,3.04190261974918,0.00886467542136821,0.994894421903701,-3.94826121146007
"5","GB41540",63,32,20,188,216,27,11,126,12,30,12,1,2.23599859214554,2.19723136016629,2.92482309386771,0.0111697213930305,0.994894421903701,-4.35745559614257
"6","GB41608",16,10,12,26,31,16,27,44,18,46,44,42,-0.834733998771244,1.9425993620948,-3.0802772571929,0.00821681587200023,0.994894421903701,-4.34784816373011
"7","GB41643",225,404,565,754,320,740,354,240,385,113,82,136,1.57736778866277,5.49018554274688,3.09196383840173,0.00802900399500823,0.994894421903701,-3.94505456356284
"8","GB41713",198,184,187,228,384,123,340,368,152,339,336,252,-0.318734631507814,5.22035367139289,-2.80866086484105,0.0140369647155234,0.994894421903701,-4.02005945587155
"9","GB42062",353,341,329,370,394,220,442,287,199,308,284,180,0.453880092053019,5.52432938323533,3.08042255748055,0.00821445425801457,0.994894421903701,-3.91857612144083
"10","GB42145",20,15,18,37,33,20,32,55,25,51,55,35,-0.666264646743924,2.24031121067214,-2.77949619057267,0.0148632881681282,0.994894421903701,-4.35911438098498
"11","GB42596",171,431,423,330,251,597,410,184,223,127,65,58,1.47561589336578,5.08070030444487,2.86685850582014,0.0125202036191536,0.994894421903701,-4.03161191954475
"12","GB43518",13,24,9,5,17,3,43,44,28,50,50,8,-1.53847128071986,1.47993729938066,-3.36481678820174,0.00467634711694797,0.994894421903701,-4.36550389998622
"13","GB43612",2,3,4,4,23,7,14,20,12,21,15,14,-1.30529295202069,0.551553678693719,-3.20633138803656,0.00640187949919896,0.994894421903701,-4.4378614597449
"14","GB43670",19,26,22,16,35,16,16,19,10,5,20,9,0.982327726892,1.34341137109559,2.99650318929669,0.00969665380258586,0.994894421903701,-4.40284704276215
