"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40091",41,36,23,57,55,44,130,101,62,132,76,85,-1.27145404110944,3.26745064359031,-5.7102567086061,5.89244909313458e-05,0.167389047705725,1.87516742172731
"2","GB41282",50,28,22,63,57,52,113,59,73,140,108,124,-1.29580259334258,3.32488277968913,-6.11989093986395,2.9338262766812e-05,0.167389047705725,2.46207484219682
"3","GB45704",85,87,65,86,139,182,257,129,161,428,239,382,-1.39240068096977,4.59584714090339,-5.65988410482121,6.43038728392447e-05,0.167389047705725,1.96552868804333
"4","GB50682",9,8,9,15,16,25,36,34,24,63,43,53,-1.70095591237742,1.82755734134348,-5.6413437673754,6.64110484847153e-05,0.167389047705725,1.32634039122738
"5","GB40504",71,49,40,92,95,109,161,173,124,373,118,249,-1.4293868129485,4.14447196347774,-4.31022486203842,0.000756840412327627,0.225525921786235,-0.27764071735558
"6","GB40565",68,37,65,56,118,64,149,69,90,206,120,179,-1.09318235420633,3.80034497038998,-4.49928607207876,0.000528653831053846,0.225525921786235,0.0414901762267945
"7","GB41746",25,12,20,48,35,34,77,30,26,82,54,60,-1.03980526275918,2.50919752966699,-4.25242916587032,0.000845212431263961,0.225525921786235,-0.452914567373135
"8","GB41861",54,39,43,108,69,77,148,40,71,209,163,123,-1.01084112784765,3.66567388816357,-4.1067840228287,0.00111802588027999,0.225525921786235,-0.629891402946391
"9","GB41983",234,161,149,169,338,226,356,198,228,389,326,324,-0.667321858161714,5.24165454015742,-4.42550421051711,0.000607836921503362,0.225525921786235,-0.0924043522298987
"10","GB41999",10,12,9,19,14,18,36,13,21,32,23,28,-0.974973244451241,1.50066346897535,-4.44394567131827,0.000586964854088033,0.225525921786235,-0.338468271793697
"11","GB42873",2,2,1,3,7,5,10,10,15,22,10,32,-2.23470388676805,0.136505478529379,-4.65982701972759,0.000391023679343656,0.225525921786235,-0.452393774166733
"12","GB43141",45,44,24,89,69,54,107,68,74,179,126,100,-1.1321975972864,3.47888818918545,-4.85662950552364,0.000271313186778416,0.225525921786235,0.610066855867208
"13","GB43467",59,32,54,38,75,67,119,46,59,131,102,86,-0.844218725482711,3.36212065870727,-4.59063660259646,0.000445132700090573,0.225525921786235,0.172243428949958
"14","GB43832",33,33,33,41,59,52,80,54,59,135,68,116,-1.05720692332655,3.15090474552787,-4.23760943704287,0.000869535343152482,0.225525921786235,-0.42425724703177
"15","GB44148",204,86,186,273,290,361,546,217,242,599,450,435,-0.987148283271435,5.46748159023025,-4.39493579177014,0.000644133931010048,0.225525921786235,-0.146113843014429
"16","GB44158",14,10,20,26,21,39,43,27,31,94,69,37,-1.29069695597338,2.23063351064604,-4.22239619223819,0.000895252364851638,0.225525921786235,-0.538092888391622
"17","GB44178",38,24,20,63,51,55,106,100,107,184,71,150,-1.58369512322184,3.36281433981653,-4.6144636102315,0.00042567554824326,0.225525921786235,0.203351930681798
"18","GB44183",149,108,81,176,202,190,364,98,138,288,227,235,-0.645687884916949,4.72922780250491,-4.2540489827157,0.000842596601285642,0.225525921786235,-0.388830872354645
"19","GB46018",5,3,2,7,5,4,13,8,11,16,10,18,-1.55992283089226,0.227269957164944,-4.82425447519032,0.000288032189973134,0.225525921786235,-0.267948989229606
"20","GB46877",106,100,87,139,160,156,236,98,118,237,158,186,-0.550448292800785,4.44228237432501,-4.11854927675514,0.00109296559511572,0.225525921786235,-0.622504275619934
"21","GB46908",146,129,119,189,252,162,349,151,164,387,224,294,-0.744067009273139,4.9381780218837,-4.66159967184873,0.000389730346259867,0.225525921786235,0.325707197123149
"22","GB46925",180,98,123,227,232,230,320,146,210,409,373,407,-0.888147944263624,5.11048843621392,-4.47668537147613,0.000551710595357247,0.225525921786235,0.000623888857365529
"23","GB47138",14,6,20,14,20,27,37,25,29,48,34,41,-1.237490989967,1.8642024725642,-4.25945180998071,0.000833931574140917,0.225525921786235,-0.538825902116156
"24","GB47165",509,441,453,346,676,865,358,138,29,159,177,284,1.62188947324987,5.43450016682263,4.46201081720657,0.000567234220791462,0.225525921786235,-0.019846630396688
